Title,Note,URL,Tags,Comment
,,,,
Ruins of Mari Indus Hindu Temple,,https://www.google.com/maps/place/Ruins+of+Mari+Indus+Hindu+Temple/data=!4m2!3m1!1s0x39275db067399e83:0x2ee57a0fe392cc92,,
Old Mandir,,https://www.google.com/maps/place/Old+Mandir/data=!4m2!3m1!1s0x39275d5d100c9ba1:0xe29436e8bee185ea,,
Navghan Kuvo,,https://www.google.com/maps/place/Navghan+Kuvo/data=!4m2!3m1!1s0x3958018441df3f49:0xa61420380aa247f8,,
Baidyapur Temples (JORA DEUL),,https://www.google.com/maps/place/Baidyapur+Temples+(JORA+DEUL)/data=!4m2!3m1!1s0x39f8f0b540a7ae95:0xe5308650fb2f8356,,
Siddheswar Temple (Archaeological Site),,https://www.google.com/maps/place/Siddheswar+Temple+(Archaeological+Site)/data=!4m2!3m1!1s0x39f797f647fd10df:0xc100d18b551a9c5e,,
Sompur Mahavihara,,https://www.google.com/maps/place/Sompur+Mahavihara/data=!4m2!3m1!1s0x39fc8f1cd3684259:0x2fa1fbfef3d89234,,
"Ancient Jain Temple Lord Sambhav Nath, Shravasti",,"https://www.google.com/maps/place/Ancient+Jain+Temple+Lord+Sambhav+Nath,+Shravasti/data=!4m2!3m1!1s0x3999d006b3ed68e9:0x44ec9ac0ae2c214a",,
Angulimala Stupa,,https://www.google.com/maps/place/Angulimala+Stupa/data=!4m2!3m1!1s0x3999d005b0f297c9:0x6f4bfc6c778b13a4,,
Aoutshahi Moth,,https://www.google.com/maps/place/Aoutshahi+Moth/data=!4m2!3m1!1s0x3755a59e9c6b3533:0x93ef03bd69e96f07,,
Small Temple Of Amb Shareef,,https://www.google.com/maps/place/Small+Temple+Of+Amb+Shareef/data=!4m2!3m1!1s0x39272b337333d4c1:0x579e888041019d7b,,
Amb Sharif Temple,,https://www.google.com/maps/place/Amb+Sharif+Temple/data=!4m2!3m1!1s0x39272b511a7463e9:0x9c028e6620246d52,,
Jagaddal Vihar,,https://www.google.com/maps/place/Jagaddal+Vihar/data=!4m2!3m1!1s0x39fc9bbf3d03f1e5:0xf7949a45870378c8,,
Najigram Stupa Barikot,,https://www.google.com/maps/place/Najigram+Stupa+Barikot/data=!4m2!3m1!1s0x38dc1d61bd87d85d:0x7d803e85049d5ed2,,
Balokalay Stupa,,https://www.google.com/maps/place/Balokalay+Stupa/data=!4m2!3m1!1s0x38dc1cfd7a37f697:0xb71fce1084f7d4db,,
Temple of Ichhai Ghosh ( Deul Mandir ),,https://www.google.com/maps/place/Temple+of+Ichhai+Ghosh+(+Deul+Mandir+)/data=!4m2!3m1!1s0x39f7647ae8eccbe9:0xdc2ba3512c69f926,,
That Bin Nyu Temple,,https://www.google.com/maps/place/That+Bin+Nyu+Temple/data=!4m2!3m1!1s0x30b5e51d3790dc2b:0x1a93e53d957a0a4d,,
Ananda Temple,,https://www.google.com/maps/place/Ananda+Temple/data=!4m2!3m1!1s0x30b5e51c276be127:0x392ae5db3a1149b9,,
चतुर्भुज प्राचीन मंदिर *,,https://www.google.com/maps/place/%E0%A4%9A%E0%A4%A4%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%AD%E0%A5%81%E0%A4%9C+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%9A%E0%A5%80%E0%A4%A8+%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0+*/data=!4m2!3m1!1s0x399c894b7bf74585:0x651bae9dc0e14e05,,
Buddhist Stupa in Shewaki (ستوپه بودایی در شیوکی),,https://www.google.com/maps/place/Buddhist+Stupa+in+Shewaki+(%D8%B3%D8%AA%D9%88%D9%BE%D9%87+%D8%A8%D9%88%D8%AF%D8%A7%DB%8C%DB%8C+%D8%AF%D8%B1+%D8%B4%DB%8C%D9%88%DA%A9%DB%8C)%E2%80%AD/data=!4m2!3m1!1s0x38d141001a994cdd:0xd6adf598de12ca15,,
Kaushambi Rajmahal and Goshitharamaya,,https://www.google.com/maps/place/Kaushambi+Rajmahal+and+Goshitharamaya/data=!4m2!3m1!1s0x3984d24902b46d2d:0x46cb5556e6895989,,
Mahabodhi Temple,,https://www.google.com/maps/place/Mahabodhi+Temple/data=!4m2!3m1!1s0x39f32c5b4bd80877:0xf8dd2e286fa80c97,,
Brick Temple of Bhitargaon,,https://www.google.com/maps/place/Brick+Temple+of+Bhitargaon/data=!4m2!3m1!1s0x399c509fc9aedecd:0x20ffe91e6b752db3,,
Harsh Ka Tila,,https://www.google.com/maps/place/Harsh+Ka+Tila/data=!4m2!3m1!1s0x390e475ff53e15a1:0x8892334ae3b5d07a,,
