Title,Note,URL,Tags,Comment
,,,,
Gopal Mandir Indore,,https://www.google.com/maps/place/Gopal+Mandir+Indore/data=!4m2!3m1!1s0x3962fd0a1f17959d:0xafa726a24dc0fbe6,,
Mahadev Mandir,,https://www.google.com/maps/place/Mahadev+Mandir/data=!4m2!3m1!1s0x3962fd89d5ab2211:0x80624f2dcf3b47b6,,
ASIRGARH FORT,,https://www.google.com/maps/place/ASIRGARH+FORT/data=!4m2!3m1!1s0x397e1d064f36bb23:0xa8ea66908b13c104,,
Shri Panch Pandav Caves. Pachmarhi,,https://www.google.com/maps/place/Shri+Panch+Pandav+Caves.+Pachmarhi/data=!4m2!3m1!1s0x397e3a4b7769699b:0xd5f0d12484c9241c,,
Jagdishpur Kila,,https://www.google.com/maps/place/Jagdishpur+Kila/data=!4m2!3m1!1s0x397c6f2f38388177:0xaccd3125b41f0783,,
Solah Khamb,,https://www.google.com/maps/place/Solah+Khamb/data=!4m2!3m1!1s0x397b7fd85b6d57cb:0x2d263436dc74ce4b,,
Narsinghgarh,,https://www.google.com/maps/place/Narsinghgarh/data=!4m2!3m1!1s0x397b7be5c50b0887:0xb410bb3c2103d6a8,,
Ginnorgarh Fort,,https://www.google.com/maps/place/Ginnorgarh+Fort/data=!4m2!3m1!1s0x397db575d1c8aeb1:0x117b6dc6c9e8d52e,,
Boliya Sarkar Ki Chhatri,,https://www.google.com/maps/place/Boliya+Sarkar+Ki+Chhatri/data=!4m2!3m1!1s0x3962fd0c74fc979b:0xe7b8b3b6f2fd64e,,
"Central Museum, Indore",,"https://www.google.com/maps/place/Central+Museum,+Indore/data=!4m2!3m1!1s0x3962fd21abd5dfcf:0x9c32a8a7a319ee2d",,
Hari Rao Holkar Chhatri,,https://www.google.com/maps/place/Hari+Rao+Holkar+Chhatri/data=!4m2!3m1!1s0x3962fd7565dc0c79:0xb3001a190fad9915,,
Rajwada Palace,,https://www.google.com/maps/place/Rajwada+Palace/data=!4m2!3m1!1s0x3962fd0a3c2422a1:0xb8cf3a1b62708158,,
Sanka Syam ji Temple,,https://www.google.com/maps/place/Sanka+Syam+ji+Temple/data=!4m2!3m1!1s0x397c81dbf75f7f3b:0x718449e4d4112f61,,
