Title,Note,URL,Tags,Comment
,,,,
"Gyaraspur Shri Bajramath Jain Temple - Vidisha District, Madhya Pradesh, 
India",,"https://www.google.com/maps/place/Gyaraspur+Shri+Bajramath+Jain+Temple+-+Vidisha+District,+Madhya+Pradesh,+%0AIndia/data=!4m2!3m1!1s0x397eb2a064dff417:0x113730a26b3e4a76",,
Ancient Shiva temple,,https://www.google.com/maps/place/Ancient+Shiva+temple/data=!4m2!3m1!1s0x397d134a5bad9213:0x2c0094b1ea5168da,,
"Central Museum, Indore",,"https://www.google.com/maps/place/Central+Museum,+Indore/data=!4m2!3m1!1s0x3962fd21abd5dfcf:0x9c32a8a7a319ee2d",,
Rajwada Palace,,https://www.google.com/maps/place/Rajwada+Palace/data=!4m2!3m1!1s0x3962fd0a3c2422a1:0xb8cf3a1b62708158,,
"Shri Siddheshwar Mahadeva Temple - Dewas District, Madhya Pradesh, India",,"https://www.google.com/maps/place/Shri+Siddheshwar+Mahadeva+Temple+-+Dewas+District,+Madhya+Pradesh,+India/data=!4m2!3m1!1s0x397d12e8259ce001:0x8b81d0cde627c35",,
Raja Mardansingh Kila Fort,,https://www.google.com/maps/place/Raja+Mardansingh+Kila+Fort/data=!4m2!3m1!1s0x3978b388c95715e5:0x9f62d0249fef2eaa,,
District Museum- Vidisha,,https://www.google.com/maps/place/District+Museum-+Vidisha/data=!4m2!3m1!1s0x397c048a81ab6421:0xe6e7747ab535e393,,
"Gondwana fort, Jagdeeshpur Fort",,"https://www.google.com/maps/place/Gondwana+fort,+Jagdeeshpur+Fort/data=!4m2!3m1!1s0x397c6f2f38388177:0xaccd3125b41f0783",,
Sanodha Fort,,https://www.google.com/maps/place/Sanodha+Fort/data=!4m2!3m1!1s0x3978cf21a7ddbfad:0x38230d18fe26f77b,,
GADARMAL DEVI TEMPLE,,https://www.google.com/maps/place/GADARMAL+DEVI+TEMPLE/data=!4m2!3m1!1s0x3979466704563feb:0x9ad4c0ceb206d2dc,,
