Title,Note,URL,Tags,Comment
,,,,
Mutiny Memorial,,https://www.google.com/maps/place/Mutiny+Memorial/data=!4m2!3m1!1s0x390cfd9dccaa2041:0x33a2ea14a3643df4,,
Dak Bungalow,,https://www.google.com/maps/place/Dak+Bungalow/data=!4m2!3m1!1s0x3973918644e6a727:0x7e65f0bb3f2a48fc,,
Lord Cornwallis Tomb,,https://www.google.com/maps/place/Lord+Cornwallis+Tomb/data=!4m2!3m1!1s0x3991fe5248471af1:0x629c67c67a81fea5,,
"Mohol Court Tal, Mohol",,"https://www.google.com/maps/place/Mohol+Court+Tal,+Mohol/data=!4m2!3m1!1s0x3bc4353f1b8a588d:0xf9eedb86c8237f93",,
Benti Kothi,,https://www.google.com/maps/place/Benti+Kothi/data=!4m2!3m1!1s0x399b2704b8319f63:0x9c19c291cdb83f88,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bc3a5376b10f21d:0xca122f1fb63dc59a,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bdd95c53e356741:0x68ac2e21d0e99be,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x390eb3650bfe37a7:0xa9d19b15af050467,,
Patna Museum,,https://www.google.com/maps/place/Patna+Museum/data=!4m2!3m1!1s0x39ed58446df97609:0xa3a4580463faf378,,
Wilson Hill,,https://www.google.com/maps/place/Wilson+Hill/data=!4m2!3m1!1s0x3be0a5cdb908b227:0x44b43643e2b2c6d0,,
Indian Military Academy,,https://www.google.com/maps/place/Indian+Military+Academy/data=!4m2!3m1!1s0x39092a7bd86982a7:0xb7293c6429694ff7,,
FRI ( Forest Research Institute) Timber Museum,,https://www.google.com/maps/place/FRI+(+Forest+Research+Institute)+Timber+Museum/data=!4m2!3m1!1s0x3908d5f4c48d6bb7:0x6ecfe5ab716cd554,,
Colonel Hill Pillar,,https://www.google.com/maps/place/Colonel+Hill+Pillar/data=!4m2!3m1!1s0x3bbc3afe76db693f:0xb2ed664fc7620064,,
