Buddhist sites outside India

Title,Note,URL,Tags,Comment
,,,,
Maha Bodhi Phaya,,https://www.google.com/maps/place/Maha+Bodhi+Phaya/data=!4m2!3m1!1s0x30b5e5049d83ff21:0xa53649f94ab40a57,,
Kashgar Old City,,https://www.google.com/maps/place/Kashgar+Old+City/data=!4m2!3m1!1s0x3892ea1fe15014a3:0x34237cf298cf4b5d,,
Thousand Buddha Caves Temple,,https://www.google.com/maps/place/Thousand+Buddha+Caves+Temple/data=!4m2!3m1!1s0x3801685246799eff:0x730cbf86d085c250,,
Mingsha Mountain and Crescent Moon Spring,,https://www.google.com/maps/place/Mingsha+Mountain+and+Crescent+Moon+Spring/data=!4m2!3m1!1s0x37eac6f8166c149b:0xdf4b7f5a20457eb8,,
Thousand-Buddha Cave,,https://www.google.com/maps/place/Thousand-Buddha+Cave/data=!4m2!3m1!1s0x37eab751751aa179:0x260af0b707d691d,,
五个庙石窟,,https://www.google.com/maps/place/%E4%BA%94%E4%B8%AA%E5%BA%99%E7%9F%B3%E7%AA%9F/data=!4m2!3m1!1s0x379546dd34fd6f45:0xf564c29efb5e2d8d,,
Kizil Ga Ha Cave Temple,,https://www.google.com/maps/place/Kizil+Ga+Ha+Cave+Temple/data=!4m2!3m1!1s0x386faccae7a6da0b:0xc3679e8a3325a1b3,,
Kezi'er Thousand Buddha Cave,,https://www.google.com/maps/place/Kezi'er+Thousand+Buddha+Cave/data=!4m2!3m1!1s0x386fab83a7b4a191:0xb4222723fe6958de,,
榆林窟,,https://www.google.com/maps/place/%E6%A6%86%E6%9E%97%E7%AA%9F/data=!4m2!3m1!1s0x37c101b003d146d9:0xa1daabc3a6debd4f,,
Erdene Zuu Monastery,,https://www.google.com/maps/place/Erdene+Zuu+Monastery/data=!4m2!3m1!1s0x5d9cf209068cf281:0x9e4e07fa516f844f,,
Itakhola Mura,,https://www.google.com/maps/place/Itakhola+Mura/data=!4m2!3m1!1s0x37547c25934c7e51:0xde9c6f91b223ff83,,
Mogalmari Bauddha Mahavihara (মোগলমারী বৌদ্ধবিহার),,https://www.google.com/maps/place/Mogalmari+Bauddha+Mahavihara+(%E0%A6%AE%E0%A7%8B%E0%A6%97%E0%A6%B2%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%80+%E0%A6%AC%E0%A7%8C%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0)/data=!4m2!3m1!1s0x3a1d23648057118d:0x5e6d6c4c332efc1a,,
Ayaz Kala,,https://www.google.com/maps/place/Ayaz+Kala/data=!4m2!3m1!1s0x41e0eb65c78cf0e7:0xff869cf24e07e977,,
Leshan Giant Buddha,,https://www.google.com/maps/place/Leshan+Giant+Buddha/data=!4m2!3m1!1s0x36ef4e619bac7a53:0x129642f46b1c443e,,
Kaiyuan Temple,,https://www.google.com/maps/place/Kaiyuan+Temple/data=!4m2!3m1!1s0x3414d42b47d7a043:0x6c75eab5f89246a0,,
Hozanji,,https://www.google.com/maps/place/Hozanji/data=!4m2!3m1!1s0x600123c4a709cc89:0x271ae425f847bcde,,
Menuma Shodenzan Kangiin Temple / Kangiin Kumagaya,,https://www.google.com/maps/place/Menuma+Shodenzan+Kangiin+Temple+%2F+Kangiin+Kumagaya/data=!4m2!3m1!1s0x601f277a657671b1:0x5f9742e4e0380852,,
Matsuchiyama Shoden,,https://www.google.com/maps/place/Matsuchiyama+Shoden/data=!4m2!3m1!1s0x60188ec2d70a9d4b:0x44034dcf66fc80c7,,
Longmen,,https://www.google.com/maps/place/Longmen/data=!4m2!3m1!1s0x36d085415a990717:0xf0e9ba50325e805a,,
克孜尔千佛洞,,https://www.google.com/maps/place/%E5%85%8B%E5%AD%9C%E5%B0%94%E5%8D%83%E4%BD%9B%E6%B4%9E/data=!4m2!3m1!1s0x386f9905f9dc835d:0x66a2c97f52683126,,
Kafirkala Settlement,,https://www.google.com/maps/place/Kafirkala+Settlement/data=!4m2!3m1!1s0x3f4d1f063aa4007d:0x874f223c10e1dccd,,
Alexandria Oxiana,,https://www.google.com/maps/place/Alexandria+Oxiana/data=!4m2!3m1!1s0x38c9163c1332164d:0x8c43e2effdac6b34,,
Mati Temple,,https://www.google.com/maps/place/Mati+Temple/data=!4m2!3m1!1s0x37b4b835ff27ba53:0x6720480c864d6219,,
Xumishan Grottoes,,https://www.google.com/maps/place/Xumishan+Grottoes/data=!4m2!3m1!1s0x3642cdec67a238d7:0xc3566df53733da80,,
天梯山石窟,,https://www.google.com/maps/place/%E5%A4%A9%E6%A2%AF%E5%B1%B1%E7%9F%B3%E7%AA%9F/data=!4m2!3m1!1s0x364ee1131bc84eeb:0x6a7a444d766b43e8,,
Mengshan Giant Buddha,,https://www.google.com/maps/place/Mengshan+Giant+Buddha/data=!4m2!3m1!1s0x360aad4b29703c25:0x41346e742b31e2b1,,
Longhong Cave,,https://www.google.com/maps/place/Longhong+Cave/data=!4m2!3m1!1s0x344b7cd3209d5ce1:0xc79d5fe0a0069cb3,,
Longmen Grottoes,,https://www.google.com/maps/place/Longmen+Grottoes/data=!4m2!3m1!1s0x36787b8200945e11:0xa7a3038bb26eb9e9,,
