Buddhist sites outside India

Title,Note,URL,Tags,Comment
,,,,
Fayaztepe,,https://www.google.com/maps/place/Fayaztepe/data=!4m2!3m1!1s0x3f353a086a8535ab:0xa9a50c635c1fde84,,
Buddhist Stupa of Zurmala,,https://www.google.com/maps/place/Buddhist+Stupa+of+Zurmala/data=!4m2!3m1!1s0x3f353055c922d68b:0x67728e5469fe2f32,,
Buddiyskiy Kul'tovyy Tsentr Karatepa,,https://www.google.com/maps/place/Buddiyskiy+Kul'tovyy+Tsentr+Karatepa/data=!4m2!3m1!1s0x3f353a0c9791630d:0x36279e9db52d0737,,
Karatepе,,https://www.google.com/maps/place/Karatep%D0%B5/data=!4m2!3m1!1s0x3f353a0c8e35f291:0xa38ebd41b3ddeae1,,
Daianji Temple,,https://www.google.com/maps/place/Daianji+Temple/data=!4m2!3m1!1s0x60013a3e664c5075:0x79d842b61665a596,,
Gango-ji,,https://www.google.com/maps/place/Gango-ji/data=!4m2!3m1!1s0x6001398bbe9b575f:0x28d8fbe8300829dd,,
Kongōbu-ji,,https://www.google.com/maps/place/Kong%C5%8Dbu-ji/data=!4m2!3m1!1s0x60072772879f585d:0x2a93aeed57548dc5,,
Dōjō-ji,,https://www.google.com/maps/place/D%C5%8Dj%C5%8D-ji/data=!4m2!3m1!1s0x6007683bd8119f21:0x2965533671331767,,
Saidai-ji,,https://www.google.com/maps/place/Saidai-ji/data=!4m2!3m1!1s0x60013b6fca5fbcf1:0x3b9ad2ec02224429,,
Shin Yakushi-ji,,https://www.google.com/maps/place/Shin+Yakushi-ji/data=!4m2!3m1!1s0x600139e9c277aeff:0xf23b1ffa5db379cb,,
Hokke-ji Temple,,https://www.google.com/maps/place/Hokke-ji+Temple/data=!4m2!3m1!1s0x60013bbbdfcc27c1:0xfd9f5ad5cc9404d9,,
Muro-ji,,https://www.google.com/maps/place/Muro-ji/data=!4m2!3m1!1s0x6006b21e3f176237:0xd4d792b7229d7f3d,,
Tōdai-ji,,https://www.google.com/maps/place/T%C5%8Ddai-ji/data=!4m2!3m1!1s0x600139907a0876dd:0xf890ac3f9dd53c8f,,
Yakushi-ji,,https://www.google.com/maps/place/Yakushi-ji/data=!4m2!3m1!1s0x60013afc39dd7a9f:0x870f22fa71820527,,
Toshodai-ji,,https://www.google.com/maps/place/Toshodai-ji/data=!4m2!3m1!1s0x60013b040778f7e9:0x57c638784fa5da2e,,
