Title,Note,URL,Tags,Comment
,,,,
Nipani fort,,https://www.google.com/maps/place/Nipani+fort/data=!4m2!3m1!1s0x3bc0f3a8f0a0a3c9:0xda40fbb3b6d6df53,,
Piplia Fort,,https://www.google.com/maps/place/Piplia+Fort/data=!4m2!3m1!1s0x3965dde1cc48b4d1:0x9748f24555bf1bc1,,
Padmadurg Fort,,https://www.google.com/maps/place/Padmadurg+Fort/data=!4m2!3m1!1s0x3be8436f9544a283:0x5996862651e158d8,,
Kurumbera Fort,,https://www.google.com/maps/place/Kurumbera+Fort/data=!4m2!3m1!1s0x3a1d3db10658f73f:0xb6dffb5053850fad,,
Roopgarh Fort,,https://www.google.com/maps/place/Roopgarh+Fort/data=!4m2!3m1!1s0x396c90f39757beb7:0xfe634777741ba39e,,
Achalpur Fort,,https://www.google.com/maps/place/Achalpur+Fort/data=!4m2!3m1!1s0x3bd6f3c3c36ed6b3:0xd98ef17440ceec70,,
Markandya Fort,,https://www.google.com/maps/place/Markandya+Fort/data=!4m2!3m1!1s0x3bde75d2f19780d3:0xa5570c4ddb313b46,,
Palakkad Fort,,https://www.google.com/maps/place/Palakkad+Fort/data=!4m2!3m1!1s0x3ba86dee9706765f:0xbe653c3f3ca26523,,
Saray Fort,,https://www.google.com/maps/place/Saray+Fort/data=!4m2!3m1!1s0x3962437de110f4d3:0x8ac7c108a0ebc6d6,,
Rajgarh Fort,,https://www.google.com/maps/place/Rajgarh+Fort/data=!4m2!3m1!1s0x39727d1efd955555:0xd05f675b935cf4cd,,
TALLUR FORT,,https://www.google.com/maps/place/TALLUR+FORT/data=!4m2!3m1!1s0x3bb8ad06a8a824ad:0x8b3ae045be0f2afc,,
Murud-Janjira Fort,,https://www.google.com/maps/place/Murud-Janjira+Fort/data=!4m2!3m1!1s0x3be8446defa9a063:0xae1f9c6ab9d9aefc,,
Suvarnadurga Fort,,https://www.google.com/maps/place/Suvarnadurga+Fort/data=!4m2!3m1!1s0x3be9b880fbffffff:0x76371152d5c66d1b,,
TodaRaisingh Mahal.,,https://www.google.com/maps/place/TodaRaisingh+Mahal./data=!4m2!3m1!1s0x396eed0496e46415:0x344885340334b4ed,,
Hotel Rajmahal Palace - Kanota Hotels (Near Bisalpur Dam),,https://www.google.com/maps/place/Hotel+Rajmahal+Palace+-+Kanota+Hotels+(Near+Bisalpur+Dam)/data=!4m2!3m1!1s0x396ee5f81a444343:0x65d3b4cf35cbc8ab,,
Sheopur Fort,,https://www.google.com/maps/place/Sheopur+Fort/data=!4m2!3m1!1s0x397030fb0be50ca9:0xbc35beb31d45cb11,,
Fort,,https://www.google.com/maps/place/Fort/data=!4m2!3m1!1s0x3bb8af373ab961d1:0xdb9c51a5bb5240c6,,
Chandragad fort,,https://www.google.com/maps/place/Chandragad+fort/data=!4m2!3m1!1s0x3bc9ef957a92c741:0xc7bf0256fa61d6ee,,
Indragarh Fort,,https://www.google.com/maps/place/Indragarh+Fort/data=!4m2!3m1!1s0x396fcc90d7c70127:0x765f5ea003556699,,
Fort Begu (1430 AD),,https://www.google.com/maps/place/Fort+Begu+(1430+AD)/data=!4m2!3m1!1s0x396f525555555555:0x788b55c290ef9228,,
Aanjna fort,,https://www.google.com/maps/place/Aanjna+fort/data=!4m2!3m1!1s0x3969b32f9d63dd57:0x8c1a9a1b2f000911,,
BIKAMPUR FORT,,https://www.google.com/maps/place/BIKAMPUR+FORT/data=!4m2!3m1!1s0x393f458ac5431b95:0x9e5888a2fa0cec98,,
Nawab Zaman Khan Fort,,https://www.google.com/maps/place/Nawab+Zaman+Khan+Fort/data=!4m2!3m1!1s0x38d9c78aa6cd02af:0x55cdacab9bdd8dbe,,
Moroshicha Bhairavgad Fort,,https://www.google.com/maps/place/Moroshicha+Bhairavgad+Fort/data=!4m2!3m1!1s0x3bdd6ec49e5b825f:0x5136d23277858332,,
Malthan Fort / Pawar Wada,,https://www.google.com/maps/place/Malthan+Fort+%2F+Pawar+Wada/data=!4m2!3m1!1s0x3bc32bf4c6c40d89:0xfb4a9497ba27c639,,
Bawal fort Shaktawat,,https://www.google.com/maps/place/Bawal+fort+Shaktawat/data=!4m2!3m1!1s0x3966093cbfc985d1:0xa20bee3329267e93,,
Ras Fort,,https://www.google.com/maps/place/Ras+Fort/data=!4m2!3m1!1s0x396a2a958a327f25:0x9992de7b72b0c58f,,
Auwa fort,,https://www.google.com/maps/place/Auwa+fort/data=!4m2!3m1!1s0x3969d104a4952081:0x5e811552768dda7e,,
Sitamau Fort,,https://www.google.com/maps/place/Sitamau+Fort/data=!4m2!3m1!1s0x3964491b69436ee1:0xc6e97cc6aa0717a3,,
Fort of Bijna,,https://www.google.com/maps/place/Fort+of+Bijna/data=!4m2!3m1!1s0x39779332df91f6a9:0x2dc1762cd2df1c0e,,
Domkonda Fort,,https://www.google.com/maps/place/Domkonda+Fort/data=!4m2!3m1!1s0x3bcc457156aaaaab:0x8f22abff2b30d3d6,,
Vetal vadi Fort,,https://www.google.com/maps/place/Vetal+vadi+Fort/data=!4m2!3m1!1s0x3bd97e9e182bc43b:0x3f258a2c8bff8cf2,,
Sathin Garh,,https://www.google.com/maps/place/Sathin+Garh/data=!4m2!3m1!1s0x396a0fd4337e56db:0x79864bcacd52766a,,
Ancient Bath Pool,,https://www.google.com/maps/place/Ancient+Bath+Pool/data=!4m2!3m1!1s0x391357b8f7157f29:0xb7c6b51696d1cde7,,
Kotgarh Fort,,https://www.google.com/maps/place/Kotgarh+Fort/data=!4m2!3m1!1s0x3a27c3ce8779842f:0x5258b1845e3e00df,,
Rajgarh Fort,,https://www.google.com/maps/place/Rajgarh+Fort/data=!4m2!3m1!1s0x397b3ecc96421135:0x7abcc5bf7249ecfe,,
"Ancient castle, Sap",,"https://www.google.com/maps/place/Ancient+castle,+Sap/data=!4m2!3m1!1s0x3bc3d3abf183d25f:0x867f78d4c83df047",,
Pratapgarh Fort,,https://www.google.com/maps/place/Pratapgarh+Fort/data=!4m2!3m1!1s0x396d75ec088ed037:0xe386d64f804d3bc,,
Rajgarh Fort,,https://www.google.com/maps/place/Rajgarh+Fort/data=!4m2!3m1!1s0x3982fae8337ec1a1:0xaedcde0088aa3c58,,
Rangmahal,,https://www.google.com/maps/place/Rangmahal/data=!4m2!3m1!1s0x3bdc2ae659a1c87b:0xe48205e5c1201a0f,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x391e70fbc25ea04f:0xa46bf5c8372e3ec7,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x3968dd2e83cd8d3d:0x64b0d32000659171,,
Shahar Fort,,https://www.google.com/maps/place/Shahar+Fort/data=!4m2!3m1!1s0x39721d6f4e9cb8b1:0x6d4c6db27ce9d9e0,,
Hindoli Fort,,https://www.google.com/maps/place/Hindoli+Fort/data=!4m2!3m1!1s0x396f1b66033df775:0x38249b876a2af2d,,
Ankai Fort,,https://www.google.com/maps/place/Ankai+Fort/data=!4m2!3m1!1s0x3bdc3ada90143b51:0x2873fbf2bf60fa38,,
Parwadi Fort पारवडी किल्ला छत्रपती शिवाजी महाराज,,https://www.google.com/maps/place/Parwadi+Fort+%E0%A4%AA%E0%A4%BE%E0%A4%B0%E0%A4%B5%E0%A4%A1%E0%A5%80+%E0%A4%95%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A4%BE+%E0%A4%9B%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%A4%E0%A5%80+%E0%A4%B6%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%9C%E0%A5%80+%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%9C/data=!4m2!3m1!1s0x3bc37385c08556f9:0xb66b4e151d142f65,,
"City Palace, Karauli",,"https://www.google.com/maps/place/City+Palace,+Karauli/data=!4m2!3m1!1s0x397187272fffafa3:0x1a644fb25452ab7b",,
Kyuti fort,,https://www.google.com/maps/place/Kyuti+fort/data=!4m2!3m1!1s0x3984fd1ac026d565:0xbee791a65f26bcec,,
Kankwari Fort,,https://www.google.com/maps/place/Kankwari+Fort/data=!4m2!3m1!1s0x396d7eb2963fdca7:0x45fafd124f10c3c3,,
Chehni Kothi,,https://www.google.com/maps/place/Chehni+Kothi/data=!4m2!3m1!1s0x3905ae0c884e3c05:0xdd6d2796807a109b,,
Leh Palace,,https://www.google.com/maps/place/Leh+Palace/data=!4m2!3m1!1s0x38fdeb150c993295:0xc41a8d83a5a327e6,,
