Title,Note,URL,Tags,Comment
,,,,
Shri Ramalingeshwara Swami Temple,,https://www.google.com/maps/place/Shri+Ramalingeshwara+Swami+Temple/data=!4m2!3m1!1s0x3bad8d6e2dc08559:0x385cabb4b582127f,,
Mrugvyadheshwar mandir,,https://www.google.com/maps/place/Mrugvyadheshwar+mandir/data=!4m2!3m1!1s0x3bddca41ca560bff:0x2247173ba47073ba,,
Lord Shiva Temple,,https://www.google.com/maps/place/Lord+Shiva+Temple/data=!4m2!3m1!1s0x394273864002345f:0xc381d7e57890ecf,,
shree Vashupujya swami mandir tinwari,,https://www.google.com/maps/place/shree+Vashupujya+swami+mandir+tinwari/data=!4m2!3m1!1s0x3941a35ce4bc41d5:0x48d4a775ef4a32ac,,
Goddess Saraswati Temple,,https://www.google.com/maps/place/Goddess+Saraswati+Temple/data=!4m2!3m1!1s0x396f0ae4370fd1f3:0x880101617a82ee33,,
Sri Moolanathar Temple,,https://www.google.com/maps/place/Sri+Moolanathar+Temple/data=!4m2!3m1!1s0x3a549f59cd5c8ab9:0x7bc771f336d65b6e,,
PRACHEEN SHIV MANDIR,,https://www.google.com/maps/place/PRACHEEN+SHIV+MANDIR/data=!4m2!3m1!1s0x3998d1f2c73d5ff5:0xd7b633d98fded2fa,,
Ratneshwar Bhavan Ram Mandir,,https://www.google.com/maps/place/Ratneshwar+Bhavan+Ram+Mandir/data=!4m2!3m1!1s0x3984a750667603d9:0xe461c2af4b2df42e,,
Delwada Mevad Tirth,,https://www.google.com/maps/place/Delwada+Mevad+Tirth/data=!4m2!3m1!1s0x39680b1441aae3b9:0xdad0c113e9e40bd4,,
Prachin Gangvo Kund,,https://www.google.com/maps/place/Prachin+Gangvo+Kund/data=!4m2!3m1!1s0x395949006425bfb9:0x4b456bf3379d1f4f,,
Bhadrakaali Mandir,,https://www.google.com/maps/place/Bhadrakaali+Mandir/data=!4m2!3m1!1s0x395d291bdd469ccd:0x7286098a046de763,,
Amka Jhamka Mandir,,https://www.google.com/maps/place/Amka+Jhamka+Mandir/data=!4m2!3m1!1s0x39622e5125a36fe1:0xa7059c7c00fd10ed,,
Chaturmukha Nath,,https://www.google.com/maps/place/Chaturmukha+Nath/data=!4m2!3m1!1s0x398397d976aa86b9:0xe28f353beea0a89e,,
SHIV TEMPLE,,https://www.google.com/maps/place/SHIV+TEMPLE/data=!4m2!3m1!1s0x3991eb08b040936f:0x798a6ea7e0600b2e,,
Panchganga Ghat,,https://www.google.com/maps/place/Panchganga+Ghat/data=!4m2!3m1!1s0x3bc1aa9de9220123:0x9ec025b576783184,,
"Shri Kalleshwara Swamy Temple,Baagali",,"https://www.google.com/maps/place/Shri+Kalleshwara+Swamy+Temple,Baagali/data=!4m2!3m1!1s0x3bb9916449a28463:0x834770bb73981aff",,
Gangoli Shivala,,https://www.google.com/maps/place/Gangoli+Shivala/data=!4m2!3m1!1s0x39854ad337f9959b:0x5ee5ae267ea6af40,,
Ram Janki Mandir,,https://www.google.com/maps/place/Ram+Janki+Mandir/data=!4m2!3m1!1s0x399ab556ba2b3e8f:0xcff535f4368750c2,,
RAMNATH MANDIR,,https://www.google.com/maps/place/RAMNATH+MANDIR/data=!4m2!3m1!1s0x396793e85988613f:0xc3f49baa915ac61d,,
Arulmigu Shri Pushpakuja Ambal udanurai Shri Singeeshwarar Swamy Temple,,https://www.google.com/maps/place/Arulmigu+Shri+Pushpakuja+Ambal+udanurai+Shri+Singeeshwarar+Swamy+Temple/data=!4m2!3m1!1s0x3a5293a49a155555:0x2614524b1e284c43,,
Sri varadarajula Swami Vari Temple,,https://www.google.com/maps/place/Sri+varadarajula+Swami+Vari+Temple/data=!4m2!3m1!1s0x3bb32de1a4fd7489:0x51ea1e9241688a47,,
Vontimitta Kodanda Rama Swamy Temple,,https://www.google.com/maps/place/Vontimitta+Kodanda+Rama+Swamy+Temple/data=!4m2!3m1!1s0x3bb33f9dc5df8e8d:0xe9d6e0dfcd55472e,,
Lord Aranganathar Temple,,https://www.google.com/maps/place/Lord+Aranganathar+Temple/data=!4m2!3m1!1s0x3bad4e5f0762e5af:0x60e931d0d455e761,,
Sarvapaapa Vinasheshwara Temple,,https://www.google.com/maps/place/Sarvapaapa+Vinasheshwara+Temple/data=!4m2!3m1!1s0x3bb37a17c078741b:0xc5bc97e477857fc9,,
Kasi Viswanatha Swamy Temple,,https://www.google.com/maps/place/Kasi+Viswanatha+Swamy+Temple/data=!4m2!3m1!1s0x3bb37a0e8e747c9f:0x884b27a63c579f56,,
"Shri Nageshwar Temple, Dhamantri",,"https://www.google.com/maps/place/Shri+Nageshwar+Temple,+Dhamantri/data=!4m2!3m1!1s0x3bd417a4e110043f:0x6c7832509890947e",,
"108 Shri Swayambhu Parshvanath Jain Tirth, Kaparda",,"https://www.google.com/maps/place/108+Shri+Swayambhu+Parshvanath+Jain+Tirth,+Kaparda/data=!4m2!3m1!1s0x396a0097badfcb11:0x8c7b139de38fe146",,
"YamaiTemple/ Sakhargadh, Kinhai, Satara",,"https://www.google.com/maps/place/YamaiTemple%2F+Sakhargadh,+Kinhai,+Satara/data=!4m2!3m1!1s0x3bc24a8e297fb9d9:0xb986da1f957fadb5",,
Shri Vishnu Mandir Wai,,https://www.google.com/maps/place/Shri+Vishnu+Mandir+Wai/data=!4m2!3m1!1s0x3bc25d20812533f5:0x7dc404b55f848d01,,
Someshwar Temple,,https://www.google.com/maps/place/Someshwar+Temple/data=!4m2!3m1!1s0x3bc23746ac2b5517:0x31f0036822efbdf5,,
Shree Biroba Temple Arewadi,,https://www.google.com/maps/place/Shree+Biroba+Temple+Arewadi/data=!4m2!3m1!1s0x3bc14aca8f6d3939:0xd93893d371897c37,,
Khalia Raja Ram Temple,,https://www.google.com/maps/place/Khalia+Raja+Ram+Temple/data=!4m2!3m1!1s0x37557de494252d85:0xbc1f4eba6b7836a8,,
Shri Naag Vasuki Mandir,,https://www.google.com/maps/place/Shri+Naag+Vasuki+Mandir/data=!4m2!3m1!1s0x399ab5413b990cf9:0x784b8544788a324c,,
Narthamalai Shri Sivan Kovil,,https://www.google.com/maps/place/Narthamalai+Shri+Sivan+Kovil/data=!4m2!3m1!1s0x3baa840b0b1408a3:0x6b808ae0093288f6,,
"Kodavooru Shankaranarayana Temple, ಕೊಡವೂರು ಶಂಕರನಾರಾಯಣ ದೇವಸ್ಥಾನ",,"https://www.google.com/maps/place/Kodavooru+Shankaranarayana+Temple,+%E0%B2%95%E0%B3%8A%E0%B2%A1%E0%B2%B5%E0%B3%82%E0%B2%B0%E0%B3%81+%E0%B2%B6%E0%B2%82%E0%B2%95%E0%B2%B0%E0%B2%A8%E0%B2%BE%E0%B2%B0%E0%B2%BE%E0%B2%AF%E0%B2%A3+%E0%B2%A6%E0%B3%87%E0%B2%B5%E0%B2%B8%E0%B3%8D%E0%B2%A5%E0%B2%BE%E0%B2%A8/data=!4m2!3m1!1s0x3bbcbc73f991504f:0x9fd2b33dcf7a53be",,
