Title,Note,URL,Tags,Comment
,,,,
Charumati vihar Chabahil / चारुमती बिहार,,https://www.google.com/maps/place/Charumati+vihar+Chabahil+%2F+%E0%A4%9A%E0%A4%BE%E0%A4%B0%E0%A5%81%E0%A4%AE%E0%A4%A4%E0%A5%80+%E0%A4%AC%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0/data=!4m2!3m1!1s0x39eb197a9cb7fc91:0xc9f1391737b1ac9,,
Ashok Stupa Ibahi Thura - Northern Stupa,,https://www.google.com/maps/place/Ashok+Stupa+Ibahi+Thura+-+Northern+Stupa/data=!4m2!3m1!1s0x39eb19c69757c64d:0x7c1c9100b158f554,,
Swoyambhu Mahachaitya,,https://www.google.com/maps/place/Swoyambhu+Mahachaitya/data=!4m2!3m1!1s0x39eb188d9b82c8ad:0xae31bde410797bf7,,
Sompur Mahavihara,,https://www.google.com/maps/place/Sompur+Mahavihara/data=!4m2!3m1!1s0x39fc8f1cd3684259:0x2fa1fbfef3d89234,,
That Bin Nyu Temple,,https://www.google.com/maps/place/That+Bin+Nyu+Temple/data=!4m2!3m1!1s0x30b5e51d3790dc2b:0x1a93e53d957a0a4d,,
Shwesandaw Pagoda,,https://www.google.com/maps/place/Shwesandaw+Pagoda/data=!4m2!3m1!1s0x30b5e4e3b424b491:0x849767f2de68f511,,
Maha Bodhi Phaya,,https://www.google.com/maps/place/Maha+Bodhi+Phaya/data=!4m2!3m1!1s0x30b5e5049d83ff21:0xa53649f94ab40a57,,
Phyatsa Shwegu ဖြတ်စရွှေဂူဘုရား,,https://www.google.com/maps/place/Phyatsa+Shwegu+%E1%80%96%E1%80%BC%E1%80%90%E1%80%BA%E1%80%85%E1%80%9B%E1%80%BD%E1%80%BE%E1%80%B1%E1%80%82%E1%80%B0%E1%80%98%E1%80%AF%E1%80%9B%E1%80%AC%E1%80%B8/data=!4m2!3m1!1s0x30b5e4f741f483df:0x119435903203847e,,
Sein Nyet NyiAma Gu Phaya,,https://www.google.com/maps/place/Sein+Nyet+NyiAma+Gu+Phaya/data=!4m2!3m1!1s0x30b5e48ceea7a04b:0xae9bd3b88fcc29f8,,
Temple-820,,https://www.google.com/maps/place/Temple-820/data=!4m2!3m1!1s0x30b5e5bc03d40ea1:0xe5a8cb275bfe6beb,,
Nan Hpaya Temple,,https://www.google.com/maps/place/Nan+Hpaya+Temple/data=!4m2!3m1!1s0x30b5e4f0e21da049:0xfe2a23da02fb48c3,,
Dhammayangyi Temple,,https://www.google.com/maps/place/Dhammayangyi+Temple/data=!4m2!3m1!1s0x30b5e4de1e0ca4d9:0x8d1e24b120882ac5,,
Ananda Temple,,https://www.google.com/maps/place/Ananda+Temple/data=!4m2!3m1!1s0x30b5e51c276be127:0x392ae5db3a1149b9,,
Buddhist Stupa in Shewaki (ستوپه بودایی در شیوکی),,https://www.google.com/maps/place/Buddhist+Stupa+in+Shewaki+(%D8%B3%D8%AA%D9%88%D9%BE%D9%87+%D8%A8%D9%88%D8%AF%D8%A7%DB%8C%DB%8C+%D8%AF%D8%B1+%D8%B4%DB%8C%D9%88%DA%A9%DB%8C)%E2%80%AD/data=!4m2!3m1!1s0x38d141001a994cdd:0xd6adf598de12ca15,,
