Title,Note,URL,Tags,Comment
,,,,
"Shivalayam 10, Thiruvithamcode Arulmigu Mahadevar Temple",,"https://www.google.com/maps/place/Shivalayam+10,+Thiruvithamcode+Arulmigu+Mahadevar+Temple/data=!4m2!3m1!1s0x3b04f8d7878a4575:0xde7038cdd53a681d",,
Arulmigu Keralapuram Mahadevar and Adhishaya Vinayagar Temple,,https://www.google.com/maps/place/Arulmigu+Keralapuram+Mahadevar+and+Adhishaya+Vinayagar+Temple/data=!4m2!3m1!1s0x3b04f8dd7a577e07:0x1383c6c8f05fdc92,,
Akneswar Mahadev Temple,,https://www.google.com/maps/place/Akneswar+Mahadev+Temple/data=!4m2!3m1!1s0x396efba69c7801b5:0x231155afeb9be43e,,
Shiv Mandir,,https://www.google.com/maps/place/Shiv+Mandir/data=!4m2!3m1!1s0x3984f3287e11fe37:0x4cf29445d203f3c5,,
"Very Old Shiv Temple, Jurmaniya",,"https://www.google.com/maps/place/Very+Old+Shiv+Temple,+Jurmaniya/data=!4m2!3m1!1s0x39845eb01bef39fb:0x189fe19d3d6140f6",,
SHIV Temple PARASI,,https://www.google.com/maps/place/SHIV+Temple+PARASI/data=!4m2!3m1!1s0x39850426fb0f386f:0xa61138e43ca4dcf9,,
Gola math temple,,https://www.google.com/maps/place/Gola+math+temple/data=!4m2!3m1!1s0x39838b281787c973:0x97821d47b9c1e6e9,,
Shri Gudde Hanumantha Temple,,https://www.google.com/maps/place/Shri+Gudde+Hanumantha+Temple/data=!4m2!3m1!1s0x3bc780dc14a12b55:0x53a14059497697d2,,
Gennur Mahalaxmi new temple,,https://www.google.com/maps/place/Gennur+Mahalaxmi+new+temple/data=!4m2!3m1!1s0x3bc70dc0b8814245:0x6acdcb1c00b37ea4,,
Ancient Temple,,https://www.google.com/maps/place/Ancient+Temple/data=!4m2!3m1!1s0x399c5a5e45c51461:0xee199edbca04dc6f,,
Ancient Shri Someshwara Temple (Haralahalli),,https://www.google.com/maps/place/Ancient+Shri+Someshwara+Temple+(Haralahalli)/data=!4m2!3m1!1s0x3bb9765c2bc5e7e1:0x2e15b92ac98b514b,,
Sri Chaya Someshwara Temple,,https://www.google.com/maps/place/Sri+Chaya+Someshwara+Temple/data=!4m2!3m1!1s0x3bcb2be0afae5df1:0x685abb9f11ea09f8,,
Piklewadi Mahadev Temple,,https://www.google.com/maps/place/Piklewadi+Mahadev+Temple/data=!4m2!3m1!1s0x3bbf070050e0ab41:0xd90906b9728e704a,,
"Thalapureeswarar Temple, Padal Petra Temple",,"https://www.google.com/maps/place/Thalapureeswarar+Temple,+Padal+Petra+Temple/data=!4m2!3m1!1s0x3a52c4dc7f1444b5:0x9799751df6a1ffcc",,
Arulmigu Sri Lakshmi Narasimha Swamy Temple,,https://www.google.com/maps/place/Arulmigu+Sri+Lakshmi+Narasimha+Swamy+Temple/data=!4m2!3m1!1s0x3a52c32261c7b301:0x3dc4026a412d51dc,,
Sri Varasiddi Vinayaka Swamy Temple,,https://www.google.com/maps/place/Sri+Varasiddi+Vinayaka+Swamy+Temple/data=!4m2!3m1!1s0x3a4cf2e44e757ccd:0xe75ffa17f733dd42,,
