Title,Note,URL,Tags,Comment
,,,,
MPT Samrat Vikramaditya The Heritage,,https://www.google.com/maps/place/MPT+Samrat+Vikramaditya+The+Heritage/data=!4m2!3m1!1s0x396375006d47b4b3:0x3c88c5b43d28a03a,,
Moti Mahal,,https://www.google.com/maps/place/Moti+Mahal/data=!4m2!3m1!1s0x3976c426b78b7057:0x58b7f177f3838c28,,
Shrimant Raje Gaikwad Wada,,https://www.google.com/maps/place/Shrimant+Raje+Gaikwad+Wada/data=!4m2!3m1!1s0x3bde99548c50e3cb:0xa409268dc8359c67,,
Lal Bagh Museum - Nathdwara,,https://www.google.com/maps/place/Lal+Bagh+Museum+-+Nathdwara/data=!4m2!3m1!1s0x39680d43aaa63b49:0x6f75ecb5d2c1bada,,
Gorkha Palace,,https://www.google.com/maps/place/Gorkha+Palace/data=!4m2!3m1!1s0x399522ca5b3f1353:0x33253cf54c91d5ff,,
"The Rajwada Palace - Alirajpur District, Madhya Pradesh, India",,"https://www.google.com/maps/place/The+Rajwada+Palace+-+Alirajpur+District,+Madhya+Pradesh,+India/data=!4m2!3m1!1s0x3961b79d1a6484e3:0x5f97c9ae1e8497b0",,
Lalgarh Palace,,https://www.google.com/maps/place/Lalgarh+Palace/data=!4m2!3m1!1s0x393fdda3c7d9ec1d:0xfa0a623e20e0c6a8,,
Ancient Twin Shiva Temple,,https://www.google.com/maps/place/Ancient+Twin+Shiva+Temple/data=!4m2!3m1!1s0x3baadde7f4cd8bb5:0x9c669b71fd38c6c7,,
Lunawada Old Palace Mahisagar District Gujarat India,,https://www.google.com/maps/place/Lunawada+Old+Palace+Mahisagar+District+Gujarat+India/data=!4m2!3m1!1s0x3960afabc526c2c3:0x3c90aa6a832e71ff,,
TALLUR FORT,,https://www.google.com/maps/place/TALLUR+FORT/data=!4m2!3m1!1s0x3bb8ad06a8a824ad:0x8b3ae045be0f2afc,,
"Sarkar wada, Nashik, Panchvati",,"https://www.google.com/maps/place/Sarkar+wada,+Nashik,+Panchvati/data=!4m2!3m1!1s0x3bddebd3b867f567:0x54cce99c8db925b3",,
ZAVERI NI HAVELI,,https://www.google.com/maps/place/ZAVERI+NI+HAVELI/data=!4m2!3m1!1s0x395c2a561edb1d07:0xff5ae33691895a36,,
Ranjit Vilas Palace (Ratlam Palace),,https://www.google.com/maps/place/Ranjit+Vilas+Palace+(Ratlam+Palace)/data=!4m2!3m1!1s0x3963ff42d589563f:0x1b81b29e0b590f3c,,
Surpur Palace,,https://www.google.com/maps/place/Surpur+Palace/data=!4m2!3m1!1s0x3bc86b129f4a678b:0xc3f476f2621a5d86,,
TodaRaisingh Mahal.,,https://www.google.com/maps/place/TodaRaisingh+Mahal./data=!4m2!3m1!1s0x396eed0496e46415:0x344885340334b4ed,,
Hotel Rajmahal Palace - Kanota Hotels (Near Bisalpur Dam),,https://www.google.com/maps/place/Hotel+Rajmahal+Palace+-+Kanota+Hotels+(Near+Bisalpur+Dam)/data=!4m2!3m1!1s0x396ee5f81a444343:0x65d3b4cf35cbc8ab,,
Patan Mahal,,https://www.google.com/maps/place/Patan+Mahal/data=!4m2!3m1!1s0x396d30c2dad93633:0xf319292747577cc4,,
Raja and Rani Palace,,https://www.google.com/maps/place/Raja+and+Rani+Palace/data=!4m2!3m1!1s0x397991a96fcfdbf3:0x1e067b7e8172e0b8,,
ANCIENT ARCHITECTURE,,https://www.google.com/maps/place/ANCIENT+ARCHITECTURE/data=!4m2!3m1!1s0x390fb702af4228df:0xa0969536b06e0517,,
Sathin Garh,,https://www.google.com/maps/place/Sathin+Garh/data=!4m2!3m1!1s0x396a0fd4337e56db:0x79864bcacd52766a,,
Padam Palace,,https://www.google.com/maps/place/Padam+Palace/data=!4m2!3m1!1s0x3905c1fd81ef6ed7:0xa467fe08c84951b8,,
Ek Hathiya Temple,,https://www.google.com/maps/place/Ek+Hathiya+Temple/data=!4m2!3m1!1s0x39a6d595026b53af:0x758322fd86f8a66b,,
Kanore Palace Rajmahal,,https://www.google.com/maps/place/Kanore+Palace+Rajmahal/data=!4m2!3m1!1s0x39664b526dbb0869:0xa20d9d69d6bc5f92,,
Nalknad Palace,,https://www.google.com/maps/place/Nalknad+Palace/data=!4m2!3m1!1s0x3ba44df463c1c3b3:0xcf46233acf5eb4fe,,
