Title,Note,URL,Tags,Comment
,,,,
Dutch's,,https://www.google.com/maps/place/Dutch's/data=!4m2!3m1!1s0x4cb29c14a003d7db:0xff0dda5dbbd22ec,,
Fatima's Cafe,,https://www.google.com/maps/place/Fatima's+Cafe/data=!4m2!3m1!1s0x89e407abb2d264bb:0xe7636699c415f43b,,
Alden & Harlow,,https://www.google.com/maps/place/Alden+%26+Harlow/data=!4m2!3m1!1s0x89e37768306eba37:0xa3a498bf2ae4121d,,
Pokeworks,,https://www.google.com/maps/place/Pokeworks/data=!4m2!3m1!1s0x89e37742f6b36ac3:0x46f9fedcec67edb3,,
Hokkaido Ramen Santouka Harvard Square,,https://www.google.com/maps/place/Hokkaido+Ramen+Santouka+Harvard+Square/data=!4m2!3m1!1s0x89e37743508533dd:0x4243a046d8931294,,
Mei Mei,,https://www.google.com/maps/place/Mei+Mei/data=!4m2!3m1!1s0x89e379f10ef7b84d:0xfa548a01801d4a07,,
Gyu-Kaku Japanese BBQ,,https://www.google.com/maps/place/Gyu-Kaku+Japanese+BBQ/data=!4m2!3m1!1s0x89e379f1881eb7f5:0x90e212b80a800bcd,,
Ganko Ittetsu Ramen - Brookline,,https://www.google.com/maps/place/Ganko+Ittetsu+Ramen+-+Brookline/data=!4m2!3m1!1s0x89e379bfa288df59:0xa79121b5f2236b14,,
OTTO,,https://www.google.com/maps/place/OTTO/data=!4m2!3m1!1s0x89e379bfc249e031:0x69ce88e56264c4b8,,
The Mad Monkfish,,https://www.google.com/maps/place/The+Mad+Monkfish/data=!4m2!3m1!1s0x89e377540bc57ef3:0xec4112ca562a5656,,
Dumpling Kingdom,,https://www.google.com/maps/place/Dumpling+Kingdom/data=!4m2!3m1!1s0x89e379c593c0902b:0x8a572054e377c5f,,
Mainely Burgers,,https://www.google.com/maps/place/Mainely+Burgers/data=!4m2!3m1!1s0x89e37751394811a1:0x42980bee22d74283,,
Mae Asian Eatery,,https://www.google.com/maps/place/Mae+Asian+Eatery/data=!4m2!3m1!1s0x89e371fe415f4379:0x57fa8b735b7ede52,,
Seoul Jangteo,,https://www.google.com/maps/place/Seoul+Jangteo/data=!4m2!3m1!1s0x89e3792d83416adf:0x3a7607150491490e,,
Coreanos Allston,,https://www.google.com/maps/place/Coreanos+Allston/data=!4m2!3m1!1s0x89e379cf7e6b504d:0xe1c48bca99fcba2b,,
Five Guys,,https://www.google.com/maps/place/Five+Guys/data=!4m2!3m1!1s0x89e379c5ddf7b0e7:0xce435fedcdbeda40,,
Wahlburgers,,https://www.google.com/maps/place/Wahlburgers/data=!4m2!3m1!1s0x89e379f42bf4faff:0xa1a78d6ae38fdd9c,,
K-Town Chicken,,https://www.google.com/maps/place/K-Town+Chicken/data=!4m2!3m1!1s0x89e379c596a8c7bb:0xa7845e3c621351e1,,
S & I To Go,,https://www.google.com/maps/place/S+%26+I+To+Go/data=!4m2!3m1!1s0x89e379c580875831:0x8b92ee37bf1bf2f8,,
StreetFood Revolution,,https://www.google.com/maps/place/StreetFood+Revolution/data=!4m2!3m1!1s0x89e379c55cb10f47:0xbe55401aabcc4a55,,
Zaftigs Delicatessen,,https://www.google.com/maps/place/Zaftigs+Delicatessen/data=!4m2!3m1!1s0x89e37982dfb38545:0x7dd74f70cc152f45,,
