Title,Note,URL,Tags,Comment
,,,,
Shangchul Mahadev Temple,,https://www.google.com/maps/place/Shangchul+Mahadev+Temple/data=!4m2!3m1!1s0x39044d00792a9793:0xbbd506982c04fa20,,
Sankaram Buddhist Archaeological Site,,https://www.google.com/maps/place/Sankaram+Buddhist+Archaeological+Site/data=!4m2!3m1!1s0x3a3970eaa708f291:0x4fce14be93908730,,
Ashapuri temple,,https://www.google.com/maps/place/Ashapuri+temple/data=!4m2!3m1!1s0x397c376104458cab:0x651ff1bdc228c1f4,,
"Gyaraspur Shri Mala Devi Jain Temple - Vidisha District, Madhya Pradesh, 
India",,"https://www.google.com/maps/place/Gyaraspur+Shri+Mala+Devi+Jain+Temple+-+Vidisha+District,+Madhya+Pradesh,+%0AIndia/data=!4m2!3m1!1s0x397eb29fa00e81fd:0x48e7a40985819f6c",,
Hire Basadi - Neminatha Swami Digambara,,https://www.google.com/maps/place/Hire+Basadi+-+Neminatha+Swami+Digambara/data=!4m2!3m1!1s0x3bbb561439825631:0x281013e2b2e587ca,,
Karkala Shri Gommateshwara Statue,,https://www.google.com/maps/place/Karkala+Shri+Gommateshwara+Statue/data=!4m2!3m1!1s0x3bbb56644ac3981b:0x56e4f4ff65f1b00,,
Bhimeshvara Temple,,https://www.google.com/maps/place/Bhimeshvara+Temple/data=!4m2!3m1!1s0x3bb98581bfffffff:0x177e3d6bd55be8fa,,
"Shri Ajitnath Bhagwan Shwetamber Jain Derasar, Taranga",,"https://www.google.com/maps/place/Shri+Ajitnath+Bhagwan+Shwetamber+Jain+Derasar,+Taranga/data=!4m2!3m1!1s0x395d01a9aaf51127:0xb275ac40a7a37fdb",,
Shree Shamlaji Vishnu Mandir,,https://www.google.com/maps/place/Shree+Shamlaji+Vishnu+Mandir/data=!4m2!3m1!1s0x395d8bec6906ba4d:0x57808063befa65cb,,
Neelkantheshwar Temple,,https://www.google.com/maps/place/Neelkantheshwar+Temple/data=!4m2!3m1!1s0x39795a5a665ea6fb:0x4b88010f555d8888,,
DevSomnath - Mahadev Temple,,https://www.google.com/maps/place/DevSomnath+-+Mahadev+Temple/data=!4m2!3m1!1s0x39670ca0e3ac852b:0xf0cdee46b34b8484,,
Hutheesing Jain Temple,,https://www.google.com/maps/place/Hutheesing+Jain+Temple/data=!4m2!3m1!1s0x395e84402338beab:0x6fb65dff678b1499,,
Kumbhalgarh Fort,,https://www.google.com/maps/place/Kumbhalgarh+Fort/data=!4m2!3m1!1s0x39682237f6aa372b:0xa29571865cb41d01,,
Chittorgarh Fort,,https://www.google.com/maps/place/Chittorgarh+Fort/data=!4m2!3m1!1s0x3968a0f41033ea0d:0x4ef923088d726382,,
Chatri,,https://www.google.com/maps/place/Chatri/data=!4m2!3m1!1s0x3970bbdf421e7a5f:0x66ae32c9249d7a70,,
"Vellore Fort, Tamil Nadu",,"https://www.google.com/maps/place/Vellore+Fort,+Tamil+Nadu/data=!4m2!3m1!1s0x3bad38c0e6c1ab13:0xd40e80182e86caa3",,
Arulmigu Aadi Kumbeswarar Temple,,https://www.google.com/maps/place/Arulmigu+Aadi+Kumbeswarar+Temple/data=!4m2!3m1!1s0x3baacd4f4a3f7c17:0xc316d54947020faf,,
