Title,Note,URL,Tags,Comment
,,,,
"Shree Hinglaj devi Mata Mandir, Khede",,"https://www.google.com/maps/place/Shree+Hinglaj+devi+Mata+Mandir,+Khede/data=!4m2!3m1!1s0x3bddce78a38ee815:0x48e008473f580062",,
Lal Mandir,,https://www.google.com/maps/place/Lal+Mandir/data=!4m2!3m1!1s0x39191b7be914e32b:0x69ff66bc7e0e47c9,,
"Sant Shri Ishwar Singh Baba Temple, Amargad",,"https://www.google.com/maps/place/Sant+Shri+Ishwar+Singh+Baba+Temple,+Amargad/data=!4m2!3m1!1s0x3bd065be71d45a15:0x3399bcb18767ea87",,
SHREE SANT HIRAMANGIRI MAHARAJ JINTUR,,https://www.google.com/maps/place/SHREE+SANT+HIRAMANGIRI+MAHARAJ+JINTUR/data=!4m2!3m1!1s0x3bd0695be228e535:0x5ba0e4a48bf1ce81,,
Shri Nrusinh Mandir Warud,,https://www.google.com/maps/place/Shri+Nrusinh+Mandir+Warud/data=!4m2!3m1!1s0x3bd06fe79ec10e0b:0x4ff37087ec5fb2e6,,
Khedale Parmanand Fort,,https://www.google.com/maps/place/Khedale+Parmanand+Fort/data=!4m2!3m1!1s0x3bdc91b83bebb8ef:0xee7b4b8f6b8b1d8c,,
Varad Gupchup Ganpati Temple,,https://www.google.com/maps/place/Varad+Gupchup+Ganpati+Temple/data=!4m2!3m1!1s0x3bc2c0652d27c227:0x90e92874a08056ce,,
Bhapkar Fort,,https://www.google.com/maps/place/Bhapkar+Fort/data=!4m2!3m1!1s0x3bc3064064555555:0x6da8e07815a9954e,,
Shri Anchaleshwar Mandir,,https://www.google.com/maps/place/Shri+Anchaleshwar+Mandir/data=!4m2!3m1!1s0x3bdcd2453813509b:0x12367bb9d3a81f0b,,
Ganjibhoyare Gadhi Fort,,https://www.google.com/maps/place/Ganjibhoyare+Gadhi+Fort/data=!4m2!3m1!1s0x3bdcd3f98576e265:0x9c0d5d70fc4d7922,,
"गढी, Gadhi",,"https://www.google.com/maps/place/%E0%A4%97%E0%A4%A2%E0%A5%80,+Gadhi/data=!4m2!3m1!1s0x3bc4b16937bfff07:0xbb9f244f0440c36b",,
Suvarnadurga Fort,,https://www.google.com/maps/place/Suvarnadurga+Fort/data=!4m2!3m1!1s0x3be9b880fbffffff:0x76371152d5c66d1b,,
Pant Amatya Bawadekar Wada,,https://www.google.com/maps/place/Pant+Amatya+Bawadekar+Wada/data=!4m2!3m1!1s0x3bc04bd646972a99:0xf09c3a387f20333f,,
MPT Samrat Vikramaditya The Heritage,,https://www.google.com/maps/place/MPT+Samrat+Vikramaditya+The+Heritage/data=!4m2!3m1!1s0x396375006d47b4b3:0x3c88c5b43d28a03a,,
"Maruti Mandir, Kanersar",,"https://www.google.com/maps/place/Maruti+Mandir,+Kanersar/data=!4m2!3m1!1s0x3bc2cde806b0b379:0xf02b6db5def64feb",,
"chandrachud wada, Kanhersar",,"https://www.google.com/maps/place/chandrachud+wada,+Kanhersar/data=!4m2!3m1!1s0x3bc2cdaa9d7b7ff9:0x6c67fad89345c45e",,
"Torkheda Fort, Khandesh (MH)",,"https://www.google.com/maps/place/Torkheda+Fort,+Khandesh+(MH)/data=!4m2!3m1!1s0x3bdf3d191d7d3469:0x41fcd10fbd73dbb0",,
Kadambande fort कदमबांडे फोर्ट,,https://www.google.com/maps/place/Kadambande+fort+%E0%A4%95%E0%A4%A6%E0%A4%AE%E0%A4%AC%E0%A4%BE%E0%A4%82%E0%A4%A1%E0%A5%87+%E0%A4%AB%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%9F/data=!4m2!3m1!1s0x3bdcd7d7ccd47447:0x99e001d727ae1de3,,
Rajwada Bhale DNSB,,https://www.google.com/maps/place/Rajwada+Bhale+DNSB/data=!4m2!3m1!1s0x3bc22f2ebf141ea5:0x24c677a4e9816ccd,,
Adalat Rajwada,,https://www.google.com/maps/place/Adalat+Rajwada/data=!4m2!3m1!1s0x3bc23988cedd220d:0x26f830a44416d967,,
Rajwada(pavnaai devi),,https://www.google.com/maps/place/Rajwada(pavnaai+devi)/data=!4m2!3m1!1s0x3bbf710038b3b033:0x9a9257187f523a71,,
Ancient Shri Kedareshwar Mandir,,https://www.google.com/maps/place/Ancient+Shri+Kedareshwar+Mandir/data=!4m2!3m1!1s0x3bc2c06590f6491f:0x808772382357bf0e,,
