Title,Note,URL,Tags,Comment
,,,,
"46°53'53.4""N 121°39'43.7""W",,"https://www.google.com/maps/search/46.898161,-121.662136",,
Dege Peak,,https://www.google.com/maps/place/Dege+Peak/data=!4m2!3m1!1s0x5490c9227fcb26c9:0x6c01252fb8c141c6,,
Mt. Fremont Fire Lookout,,https://www.google.com/maps/place/Mt.+Fremont+Fire+Lookout/data=!4m2!3m1!1s0x5490cf4ea7c68c4d:0x474c2a1f2fc7167a,,
Tolmie Peak Fire Lookout,,https://www.google.com/maps/place/Tolmie+Peak+Fire+Lookout/data=!4m2!3m1!1s0x5490db69ddb5c021:0x1b7c00cbe43c03a4,,
Tolmie Peak Trailhead,,https://www.google.com/maps/place/Tolmie+Peak+Trailhead/data=!4m2!3m1!1s0x5490dae2f6ab5115:0x45aff6e8b598bff3,,
Paradise,,https://www.google.com/maps/place/Paradise/data=!4m2!3m1!1s0x5490d313885f52ef:0x2bd9d849528574f3,,
"Copper Creek Inn, Cabins, and Restaurant",,"https://www.google.com/maps/place/Copper+Creek+Inn,+Cabins,+and+Restaurant/data=!4m2!3m1!1s0x54912bcb01351461:0x6e7b983c34d5f48b",,
Pinnacle Peak Trail,,https://www.google.com/maps/place/Pinnacle+Peak+Trail/data=!4m2!3m1!1s0x5490d352f848fef1:0x7da8c80f25da4bf9,,
Bench and Snow Lake Trail,,https://www.google.com/maps/place/Bench+and+Snow+Lake+Trail/data=!4m2!3m1!1s0x54972cc93b70d2a5:0x910d60b778c7f735,,
High Rock,,https://www.google.com/maps/place/High+Rock/data=!4m2!3m1!1s0x5496d4ea3940c93d:0xe43bacf52bea6357,,
High Rock Trail Head,,https://www.google.com/maps/place/High+Rock+Trail+Head/data=!4m2!3m1!1s0x5496d461b577143b:0x157b463bb2b153eb,,
Sunrise Visitor Center,,https://www.google.com/maps/place/Sunrise+Visitor+Center/data=!4m2!3m1!1s0x5490c92b2b54f329:0x56867a073004dc80,,
