Title,Note,URL,Tags,Comment
,,,,
Bhimashankar Buddhist Caves,,https://www.google.com/maps/place/Bhimashankar+Buddhist+Caves/data=!4m2!3m1!1s0x3bdd3fab15702da1:0x31db0bc15ee86b65,,
Mahadji Shinde Chhatri,,https://www.google.com/maps/place/Mahadji+Shinde+Chhatri/data=!4m2!3m1!1s0x3bc2c1d6e76f6591:0x428a3ab2d8e0aa1d,,
Laal Mahal,,https://www.google.com/maps/place/Laal+Mahal/data=!4m2!3m1!1s0x3bc2c065793c91a1:0x4a206d80daf21f92,,
Vishrambaug Wada,,https://www.google.com/maps/place/Vishrambaug+Wada/data=!4m2!3m1!1s0x3bc2c06e20750ff1:0x2ef3b67bf88d87f,,
Shree Omkareshwar Temple,,https://www.google.com/maps/place/Shree+Omkareshwar+Temple/data=!4m2!3m1!1s0x3bc2c07a37459ce3:0x90646f988cfb5dd9,,
Tulshibaug Shri Ram Mandir,,https://www.google.com/maps/place/Tulshibaug+Shri+Ram+Mandir/data=!4m2!3m1!1s0x3bc2c06e6a4e3f97:0xae67d104e0390548,,
Kanheri Caves,,https://www.google.com/maps/place/Kanheri+Caves/data=!4m2!3m1!1s0x3be7b9e6e2b92f91:0xbf74be4bdbb53955,,
Elephanta Caves,,https://www.google.com/maps/place/Elephanta+Caves/data=!4m2!3m1!1s0x3be7c5307da3602f:0xf4ab181b1aaef53f,,
Karla Caves,,https://www.google.com/maps/place/Karla+Caves/data=!4m2!3m1!1s0x3bc2aa834e2141d3:0x7a7b9cf6961b6d76,,
Shaniwar Wada,,https://www.google.com/maps/place/Shaniwar+Wada/data=!4m2!3m1!1s0x3bc2c1e2226b7b11:0xa4bb8106175ca68b,,
