Title,Note,URL,Tags,Comment
,,,,
"Buddhist Site Museum, Phanigiri",,"https://www.google.com/maps/place/Buddhist+Site+Museum,+Phanigiri/data=!4m2!3m1!1s0x3a34b7001288a2e9:0x9f4a95850f39586",,
Ramling Appa Lamture Government Museum Ter,,https://www.google.com/maps/place/Ramling+Appa+Lamture+Government+Museum+Ter/data=!4m2!3m1!1s0x3bc5759f5d3724c3:0x62ff49b5119344b0,,
National Trust - Powis Castle and Garden,,https://www.google.com/maps/place/National+Trust+-+Powis+Castle+and+Garden/data=!4m2!3m1!1s0x4870009070c47b9f:0xd24ac7d019feecde,,
Museum of Bala Hisar,,https://www.google.com/maps/place/Museum+of+Bala+Hisar/data=!4m2!3m1!1s0x38d917b68861cfc3:0xdd11bede50f78ca0,,
Hampi Archeological Museum in Kamalapura,,https://www.google.com/maps/place/Hampi+Archeological+Museum+in+Kamalapura/data=!4m2!3m1!1s0x3bb77e39d2efcc53:0xf7433d0c643bccbe,,
Pushkalavati Museum charsadda,,https://www.google.com/maps/place/Pushkalavati+Museum+charsadda/data=!4m2!3m1!1s0x38d937e101ca1331:0xfae0b20645306829,,
Goa State Museum,,https://www.google.com/maps/place/Goa+State+Museum/data=!4m2!3m1!1s0x3bbfc09b280ef60b:0x94fcb078281177c4,,
Sri Ksetra Archaeological Museum,,https://www.google.com/maps/place/Sri+Ksetra+Archaeological+Museum/data=!4m2!3m1!1s0x30c79dbe28b1ee49:0x832011e994b2dfc6,,
Sanghol Buddhist Archaeological Museum,,https://www.google.com/maps/place/Sanghol+Buddhist+Archaeological+Museum/data=!4m2!3m1!1s0x391003b7aaf6c095:0xc7a754a88aec988c,,
Charithra Malika History Museum,,https://www.google.com/maps/place/Charithra+Malika+History+Museum/data=!4m2!3m1!1s0x3b05ac229296888d:0x2ffd827789f5dcb9,,
Baradevi Temple,,https://www.google.com/maps/place/Baradevi+Temple/data=!4m2!3m1!1s0x3be7cefcb8d8470f:0xec7469ec6baf9d27,,
Coin Museum (Shanti-Krishna Museum of Money and History),,https://www.google.com/maps/place/Coin+Museum+(Shanti-Krishna+Museum+of+Money+and+History)/data=!4m2!3m1!1s0x3bddf2deed80751f:0xf510e847bf37af24,,
Interpretation cum Museums sun temple,,https://www.google.com/maps/place/Interpretation+cum+Museums+sun+temple/data=!4m2!3m1!1s0x395c71125ddf44cf:0xc06e3a7bff3e662e,,
The Calico Museum of Textiles,,https://www.google.com/maps/place/The+Calico+Museum+of+Textiles/data=!4m2!3m1!1s0x395e8472b482907f:0x4e40a0c83ece73b5,,
University Museum,,https://www.google.com/maps/place/University+Museum/data=!4m2!3m1!1s0x395e4e7392cd7203:0xee0f55060aa52e31,,
Antique Coins Museum,,https://www.google.com/maps/place/Antique+Coins+Museum/data=!4m2!3m1!1s0x39580303c2d2c067:0xfe50f99c75a4ae5d,,
