Title,Note,URL,Tags,Comment
,,,,
The National Arts Club,,https://www.google.com/maps/place/The+National+Arts+Club/data=!4m2!3m1!1s0x89c259a1baac1c31:0xb4df7320fc31fd97,,
Museum at Eldridge Street,,https://www.google.com/maps/place/Museum+at+Eldridge+Street/data=!4m2!3m1!1s0x89c25a2860561339:0xeb6b213e26767bde,,
The Riverside Church,,https://www.google.com/maps/place/The+Riverside+Church/data=!4m2!3m1!1s0x89c2f6409b0bfa6d:0xe3a8a9470ffc2472,,
The New York Life Building,,https://www.google.com/maps/place/The+New+York+Life+Building/data=!4m2!3m1!1s0x89c2591ab31980a3:0x2e47103c760d07b2,,
The Woolworth Building,,https://www.google.com/maps/place/The+Woolworth+Building/data=!4m2!3m1!1s0x89c25a18ed652051:0x7489abf50a82e5d6,,
New York County Supreme Court,,https://www.google.com/maps/place/New+York+County+Supreme+Court/data=!4m2!3m1!1s0x89c25a2140507c9b:0x660aeef42acf9b9b,,
Hall des Lumières,,https://www.google.com/maps/place/Hall+des+Lumi%C3%A8res/data=!4m2!3m1!1s0x89c25bc6f59bb035:0xd3737b4399aaac7f,,
Castle Clinton National Monument,,https://www.google.com/maps/place/Castle+Clinton+National+Monument/data=!4m2!3m1!1s0x89c25a104bf906a1:0x51da08909d2f87b5,,
Radio City Music Hall,,https://www.google.com/maps/place/Radio+City+Music+Hall/data=!4m2!3m1!1s0x89c258f8d61b2f3d:0x92c4e681d9aada95,,
Paramount Building,,https://www.google.com/maps/place/Paramount+Building/data=!4m2!3m1!1s0x89c25854ef155555:0xd78128cc04bb31d3,,
Bryant Park Hotel,,https://www.google.com/maps/place/Bryant+Park+Hotel/data=!4m2!3m1!1s0x89c259aae7a0b1bd:0xa403090a9fa4b85d,,
60 Hudson Street,,https://www.google.com/maps/place/60+Hudson+Street/data=!4m2!3m1!1s0x89c25a1fb9aa9263:0xcab4f5951742199b,,
70 Pine Street,,https://www.google.com/maps/place/70+Pine+Street/data=!4m2!3m1!1s0x89c25a16343c49b1:0x6b76c5e61f73d8b,,
Judson Memorial Church,,https://www.google.com/maps/place/Judson+Memorial+Church/data=!4m2!3m1!1s0x89c2599107dc55e9:0x9017e9ab375bfe2,,
8 Thomas St,,https://www.google.com/maps/place/8+Thomas+St/data=!4m2!3m1!1s0x89c25a21cf5fe54d:0x28dbc91d16578d14,,
American Bank Note Company Building,,https://www.google.com/maps/place/American+Bank+Note+Company+Building/data=!4m2!3m1!1s0x89c25bc27aec4839:0xfc5bd32e832153ab,,
70 Lafayette St,,https://www.google.com/maps/place/70+Lafayette+St/data=!4m2!3m1!1s0x89c25a2095569397:0xaeb80fd4e9bca657,,
St. Mark's Historic District,,https://www.google.com/maps/place/St.+Mark's+Historic+District/data=!4m2!3m1!1s0x89c2599c1a97cb57:0x8af3ba73f74af968,,
170 Sullivan St,,https://www.google.com/maps/place/170+Sullivan+St/data=!4m2!3m1!1s0x89c259920793c8e1:0x3352a5fe7a20bfa3,,
74 MacDougal St,,https://www.google.com/maps/place/74+MacDougal+St/data=!4m2!3m1!1s0x89c259920fa4a14b:0xf77115d7c9772c76,,
Charlton–King–Vandam Historic District,,https://www.google.com/maps/place/Charlton%E2%80%93King%E2%80%93Vandam+Historic+District/data=!4m2!3m1!1s0x89c2598d74113abb:0x6093c1688d4305b0,,
Stone St,,https://www.google.com/maps/place/Stone+St/data=!4m2!3m1!1s0x89c25a141b8302f7:0xa2e83270cb4f3c1b,,
Empire State Building,,https://www.google.com/maps/place/Empire+State+Building/data=!4m2!3m1!1s0x89c259a9b3117469:0xd134e199a405a163,,
Graffiti Hall of Fame,,https://www.google.com/maps/place/Graffiti+Hall+of+Fame/data=!4m2!3m1!1s0x89c2f61cc964fa35:0x6da79d7a1af5ad04,,
The Jewish Museum,,https://www.google.com/maps/place/The+Jewish+Museum/data=!4m2!3m1!1s0x89c258a23ac76261:0x2bed5df89b6e459a,,
"Cooper Hewitt, Smithsonian Design Museum",,"https://www.google.com/maps/place/Cooper+Hewitt,+Smithsonian+Design+Museum/data=!4m2!3m1!1s0x89c258a2492a3fb1:0x2028546238b46dfa",,
67th Street Library,,https://www.google.com/maps/place/67th+Street+Library/data=!4m2!3m1!1s0x89c258c27609a739:0xa8cacfa1cd900e44,,
MetLife Building,,https://www.google.com/maps/place/MetLife+Building/data=!4m2!3m1!1s0x89c259ae62779285:0x69793600d82d9da2,,
Carnegie Hall,,https://www.google.com/maps/place/Carnegie+Hall/data=!4m2!3m1!1s0x89c258f7785411d9:0x3d14b15e5c7a9477,,
Federal Hall,,https://www.google.com/maps/place/Federal+Hall/data=!4m2!3m1!1s0x89c25a170305a201:0x700fdb83dd5cdcf2,,
Federal Reserve Bank of New York,,https://www.google.com/maps/place/Federal+Reserve+Bank+of+New+York/data=!4m2!3m1!1s0x89c25a179906015b:0xf852558eb9a54257,,
