Title,Note,URL,Tags,Comment
,,,,
Arthuna Group Of Temples,,https://www.google.com/maps/place/Arthuna+Group+Of+Temples/data=!4m2!3m1!1s0x39672f426f7b8e49:0xaf97d51da91d42bb,,
Old historical nonaveshvara temple ಪುರಾತನ ಕಾಲದ ನೊಣವೇಶ್ವರ ದೇವಾಲಯ,,https://www.google.com/maps/place/Old+historical+nonaveshvara+temple+%E0%B2%AA%E0%B3%81%E0%B2%B0%E0%B2%BE%E0%B2%A4%E0%B2%A8+%E0%B2%95%E0%B2%BE%E0%B2%B2%E0%B2%A6+%E0%B2%A8%E0%B3%8A%E0%B2%A3%E0%B2%B5%E0%B3%87%E0%B2%B6%E0%B3%8D%E0%B2%B5%E0%B2%B0+%E0%B2%A6%E0%B3%87%E0%B2%B5%E0%B2%BE%E0%B2%B2%E0%B2%AF/data=!4m2!3m1!1s0x3bb00d46db074adb:0x2d6401c4a6f470e8,,
Sivalayam Very ancient temples,,https://www.google.com/maps/place/Sivalayam+Very+ancient+temples/data=!4m2!3m1!1s0x3bb479954215eebf:0xe92eafc51aba82b2,,
Lakshmana Teertha,,https://www.google.com/maps/place/Lakshmana+Teertha/data=!4m2!3m1!1s0x3bad8de0de073b71:0x4c20c12a6298aa34,,
Shri Sita Devi Devasthana (Avani),,https://www.google.com/maps/place/Shri+Sita+Devi+Devasthana+(Avani)/data=!4m2!3m1!1s0x3bad8d71baaaaaab:0xf5c988d0d41c8c11,,
Ancient Shri Virupaksha Devalaya,,https://www.google.com/maps/place/Ancient+Shri+Virupaksha+Devalaya/data=!4m2!3m1!1s0x3bad8c3473628555:0x2e30cc59166e39ac,,
Ambur Ancient Jain Temple,,https://www.google.com/maps/place/Ambur+Ancient+Jain+Temple/data=!4m2!3m1!1s0x3bad08fca394a72f:0x24918bc919841473,,
Shri Sridevi Bhudevi Sametha Chennakeshava Temple,,https://www.google.com/maps/place/Shri+Sridevi+Bhudevi+Sametha+Chennakeshava+Temple/data=!4m2!3m1!1s0x3bad8b5c5fe32093:0xf64f715ec1c908b5,,
Kurudumale Ganesha Temple,,https://www.google.com/maps/place/Kurudumale+Ganesha+Temple/data=!4m2!3m1!1s0x3bad8bc3e7a27607:0xbce25940cc151202,,
Mallikarjuna swamy temple,,https://www.google.com/maps/place/Mallikarjuna+swamy+temple/data=!4m2!3m1!1s0x3bb287af9a11239f:0xf13e62173bb32c75,,
