Title,Note,URL,Tags,Comment
,,,,
Bhimashankar Buddhist Caves,,https://www.google.com/maps/place/Bhimashankar+Buddhist+Caves/data=!4m2!3m1!1s0x3bdd3fab15702da1:0x31db0bc15ee86b65,,
Shivbhagirathi Mandir,,https://www.google.com/maps/place/Shivbhagirathi+Mandir/data=!4m2!3m1!1s0x3bc2efcff17d53b3:0x4669514b3812e9ae,,
Sopan Dev Samadhi Mandir,,https://www.google.com/maps/place/Sopan+Dev+Samadhi+Mandir/data=!4m2!3m1!1s0x3bc2ef8bdd13149d:0xf1f9c8305bc4a9b5,,
Sangameshwar Mandir,,https://www.google.com/maps/place/Sangameshwar+Mandir/data=!4m2!3m1!1s0x3bc2ef8af7e60c31:0xd80b242074f6333f,,
Sardar Purandare Wada,,https://www.google.com/maps/place/Sardar+Purandare+Wada/data=!4m2!3m1!1s0x3bc2ef8a13ce82bb:0x4eb78bdb2732b89,,
Shiv Mandir,,https://www.google.com/maps/place/Shiv+Mandir/data=!4m2!3m1!1s0x3bc2ef087b269caf:0xad17c345951cacca,,
पाणपोई शिवकालीन,,https://www.google.com/maps/place/%E0%A4%AA%E0%A4%BE%E0%A4%A3%E0%A4%AA%E0%A5%8B%E0%A4%88+%E0%A4%B6%E0%A4%BF%E0%A4%B5%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A5%80%E0%A4%A8/data=!4m2!3m1!1s0x3bc25930d529a887:0x8ae5086f6d10692b,,
Kedareshwar Temple,,https://www.google.com/maps/place/Kedareshwar+Temple/data=!4m2!3m1!1s0x3bc2f64908ed7949:0xbf377cc007c63947,,
Baaneshwar Mandir,,https://www.google.com/maps/place/Baaneshwar+Mandir/data=!4m2!3m1!1s0x3bc25d068c66c431:0x705f011b9d9892ca,,
Mahaganapati Temple,,https://www.google.com/maps/place/Mahaganapati+Temple/data=!4m2!3m1!1s0x3bc25d20e07ee50b:0x48282850814168e2,,
Laxmi Narasinha Temple,,https://www.google.com/maps/place/Laxmi+Narasinha+Temple/data=!4m2!3m1!1s0x3bc267730370cc87:0x6c219dbaca042076,,
Nana Fadnavis Wada,,https://www.google.com/maps/place/Nana+Fadnavis+Wada/data=!4m2!3m1!1s0x3bc25d72ecbbdc75:0x8d807ef54fac79e0,,
Menavali Ghat wai,,https://www.google.com/maps/place/Menavali+Ghat+wai/data=!4m2!3m1!1s0x3bc25daef28b7229:0x9ee4a499ac238871,,
Vishrambaug Wada,,https://www.google.com/maps/place/Vishrambaug+Wada/data=!4m2!3m1!1s0x3bc2c06e20750ff1:0x2ef3b67bf88d87f,,
Tulshibaug Shri Ram Mandir,,https://www.google.com/maps/place/Tulshibaug+Shri+Ram+Mandir/data=!4m2!3m1!1s0x3bc2c06e6a4e3f97:0xae67d104e0390548,,
Shree Trishunda Ganpati Mandir,,https://www.google.com/maps/place/Shree+Trishunda+Ganpati+Mandir/data=!4m2!3m1!1s0x3bc2c066f80ca1df:0x2bef7438a1bfb61d,,
Raste Wada,,https://www.google.com/maps/place/Raste+Wada/data=!4m2!3m1!1s0x3bc2c11d65205347:0x54e8fd1cf2d241a3,,
Shree Nageshwar Shiva Temple,,https://www.google.com/maps/place/Shree+Nageshwar+Shiva+Temple/data=!4m2!3m1!1s0x3bc2c067b01e2453:0xa9c19c02cc56e68b,,
Sardar Shitole Wada,,https://www.google.com/maps/place/Sardar+Shitole+Wada/data=!4m2!3m1!1s0x3bc2c065bd9f7ddf:0xf1463382268c9b8e,,
