Title,Note,URL,Tags,Comment
,,,,
Velimalai Sri Kumaraswamy Temple,,https://www.google.com/maps/place/Velimalai+Sri+Kumaraswamy+Temple/data=!4m2!3m1!1s0x3b04f84bfe2793b3:0x903df9a1ba52d678,,
Chopsticks Spice Malabar,,https://www.google.com/maps/place/Chopsticks+Spice+Malabar/data=!4m2!3m1!1s0x3bc2c147612d2283:0x99931da5ee69218a,,
Berenice Troglodytica,,https://www.google.com/maps/place/Berenice+Troglodytica/data=!4m2!3m1!1s0x15ca742378c03fad:0x27b58432f9cb1ca7,,
Villa Romana del Casale,,https://www.google.com/maps/place/Villa+Romana+del+Casale/data=!4m2!3m1!1s0x13111e60efb48b51:0xfecf5649b99a481f,,
Powis Castle,,https://www.google.com/maps/place/Powis+Castle/data=!4m2!3m1!1s0x4870009a73d551c5:0xc519a9f74cc5ad6,,
Bogie's Place,,https://www.google.com/maps/place/Bogie's+Place/data=!4m2!3m1!1s0x89e3709d28366dc3:0x1354a7e87fa7e150,,
Fuchun Ju,,https://www.google.com/maps/place/Fuchun+Ju/data=!4m2!3m1!1s0x89e37b007b20ac67:0xd910c874efab61ca,,
900 Park Ave #4e,,https://www.google.com/maps/place/900+Park+Ave+%234e/data=!4m2!3m1!1s0x89c25895e676dcd1:0x92fb02d0e3df2e85,,
Yamato II,,https://www.google.com/maps/place/Yamato+II/data=!4m2!3m1!1s0x89e37a0b7c9a3bcd:0x3a4ab15379f89a8d,,
Kyuramen - Brookline,,https://www.google.com/maps/place/Kyuramen+-+Brookline/data=!4m2!3m1!1s0x89e3790043ff56a7:0x767dddc6803458aa,,
Gigantic Wonton,,https://www.google.com/maps/place/Gigantic+Wonton/data=!4m2!3m1!1s0x89e3799b424557c7:0x47e7041faa78d3a,,
Raja Ampat Regency,,https://www.google.com/maps/place/Raja+Ampat+Regency/data=!4m2!3m1!1s0x2d5c3eaaccb47097:0x7851bd844c4cdf44,,
Bull Run Restaurant,,https://www.google.com/maps/place/Bull+Run+Restaurant/data=!4m2!3m1!1s0x89e3ea157fa25b11:0xca34291f835eb705,,
The 1761 Old Mill,,https://www.google.com/maps/place/The+1761+Old+Mill/data=!4m2!3m1!1s0x89e3e24ea73d4965:0xa31f909528b53567,,
Daianji Temple,,https://www.google.com/maps/place/Daianji+Temple/data=!4m2!3m1!1s0x60013a3e664c5075:0x79d842b61665a596,,
Gango-ji,,https://www.google.com/maps/place/Gango-ji/data=!4m2!3m1!1s0x6001398bbe9b575f:0x28d8fbe8300829dd,,
Kongōbu-ji,,https://www.google.com/maps/place/Kong%C5%8Dbu-ji/data=!4m2!3m1!1s0x60072772879f585d:0x2a93aeed57548dc5,,
Dōjō-ji,,https://www.google.com/maps/place/D%C5%8Dj%C5%8D-ji/data=!4m2!3m1!1s0x6007683bd8119f21:0x2965533671331767,,
Saidai-ji,,https://www.google.com/maps/place/Saidai-ji/data=!4m2!3m1!1s0x60013b6fca5fbcf1:0x3b9ad2ec02224429,,
Shin Yakushi-ji,,https://www.google.com/maps/place/Shin+Yakushi-ji/data=!4m2!3m1!1s0x600139e9c277aeff:0xf23b1ffa5db379cb,,
Hokke-ji Temple,,https://www.google.com/maps/place/Hokke-ji+Temple/data=!4m2!3m1!1s0x60013bbbdfcc27c1:0xfd9f5ad5cc9404d9,,
Muro-ji,,https://www.google.com/maps/place/Muro-ji/data=!4m2!3m1!1s0x6006b21e3f176237:0xd4d792b7229d7f3d,,
Tōdai-ji,,https://www.google.com/maps/place/T%C5%8Ddai-ji/data=!4m2!3m1!1s0x600139907a0876dd:0xf890ac3f9dd53c8f,,
