Title,Note,URL,Tags,Comment
,,,,
Phanigiri Buddhist Site,,https://www.google.com/maps/place/Phanigiri+Buddhist+Site/data=!4m2!3m1!1s0x3a34b678f51c4b9f:0x655cd8d6c286318e,,
Shortugai Archeological Site,,https://www.google.com/maps/place/Shortugai+Archeological+Site/data=!4m2!3m1!1s0x38c91ad8694ce11f:0x4ec48092a6fc6a24,,
Chaneti Stupa,,https://www.google.com/maps/place/Chaneti+Stupa/data=!4m2!3m1!1s0x390efb731c7860d7:0xb7adbf81502a668c,,
Bairag Tekdi Archaeological site 4 Ter,,https://www.google.com/maps/place/Bairag+Tekdi+Archaeological+site+4+Ter/data=!4m2!3m1!1s0x3bc575a5c862aefb:0xed8e2163d33fbd78,,
Teerth Kund Archaeological site 3 Ter.,,https://www.google.com/maps/place/Teerth+Kund+Archaeological+site+3+Ter./data=!4m2!3m1!1s0x3bc57561bd1d68bb:0x24efda4166f3de44,,
Takht-e Rustam,,https://www.google.com/maps/place/Takht-e+Rustam/data=!4m2!3m1!1s0x38cc8cc7bc355cbf:0x4cbf027cbd078118,,
Puranokot (Queen palace) Durbar,,https://www.google.com/maps/place/Puranokot+(Queen+palace)+Durbar/data=!4m2!3m1!1s0x399575e99db1244d:0xbd87165853410a3a,,
Aleksandriya Na Okse,,https://www.google.com/maps/place/Aleksandriya+Na+Okse/data=!4m2!3m1!1s0x3f3541071f32e501:0xa8fce8ee1f6183bf,,
Chudanga Gada Fort,,https://www.google.com/maps/place/Chudanga+Gada+Fort/data=!4m2!3m1!1s0x3a190f003c333f93:0x9d3dc579248ec62e,,
Aduru Buddha Stupa,,https://www.google.com/maps/place/Aduru+Buddha+Stupa/data=!4m2!3m1!1s0x3a37e401c0f83dc3:0x11121f083b134129,,
Pedavegi Buddhist Archaeological Site,,https://www.google.com/maps/place/Pedavegi+Buddhist+Archaeological+Site/data=!4m2!3m1!1s0x3a3669628389d68f:0x80ad3afa2a9880d6,,
