Title,Note,URL,Tags,Comment
,,,,
Gharapuri Buddhist Stupa,,https://www.google.com/maps/place/Gharapuri+Buddhist+Stupa/data=!4m2!3m1!1s0x3be7c506f0fb8d75:0xb376403f9cfdaa93,,
Hulaskheda / Hulas Khera Excavation Site,,https://www.google.com/maps/place/Hulaskheda+%2F+Hulas+Khera+Excavation+Site/data=!4m2!3m1!1s0x399bef021f1fabf1:0xc89d1adc4ff94d3a,,
Erravaram stupa Buddhist monuments,,https://www.google.com/maps/place/Erravaram+stupa+Buddhist+monuments/data=!4m2!3m1!1s0x3a39d707f4c9c489:0x423a4239904177d7,,
Kotturu Dhanadibbalu and Caves,,https://www.google.com/maps/place/Kotturu+Dhanadibbalu+and+Caves/data=!4m2!3m1!1s0x3a390aa79c8ebb75:0x4e83f1c2545e8e11,,
Kalingapatnam Buddhist Site,,https://www.google.com/maps/place/Kalingapatnam+Buddhist+Site/data=!4m2!3m1!1s0x3a3c37fb5e9f1435:0x65b3de9582a4aaa1,,
Salihundam Buddhist Heritage Site,,https://www.google.com/maps/place/Salihundam+Buddhist+Heritage+Site/data=!4m2!3m1!1s0x3a3c389de346873d:0xbbfd2254ea245968,,
Itakhola Mura,,https://www.google.com/maps/place/Itakhola+Mura/data=!4m2!3m1!1s0x37547c25934c7e51:0xde9c6f91b223ff83,,
"Ancient Buddhist Stupa, Malvali मळवली बौद्ध स्तूप, भाजे",,"https://www.google.com/maps/place/Ancient+Buddhist+Stupa,+Malvali+%E0%A4%AE%E0%A4%B3%E0%A4%B5%E0%A4%B2%E0%A5%80+%E0%A4%AC%E0%A5%8C%E0%A4%A6%E0%A5%8D%E0%A4%A7+%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%82%E0%A4%AA,+%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A5%87/data=!4m2!3m1!1s0x3bc2a9174213b223:0xf7c063d85e482c44",,
"Buddhist Site Museum, Phanigiri",,"https://www.google.com/maps/place/Buddhist+Site+Museum,+Phanigiri/data=!4m2!3m1!1s0x3a34b7001288a2e9:0x9f4a95850f39586",,
Phanigiri Buddhist Site,,https://www.google.com/maps/place/Phanigiri+Buddhist+Site/data=!4m2!3m1!1s0x3a34b678f51c4b9f:0x655cd8d6c286318e,,
Chaneti Stupa,,https://www.google.com/maps/place/Chaneti+Stupa/data=!4m2!3m1!1s0x390efb731c7860d7:0xb7adbf81502a668c,,
Bairag Tekdi Archaeological site 4 Ter,,https://www.google.com/maps/place/Bairag+Tekdi+Archaeological+site+4+Ter/data=!4m2!3m1!1s0x3bc575a5c862aefb:0xed8e2163d33fbd78,,
Teerth Kund Archaeological site 3 Ter.,,https://www.google.com/maps/place/Teerth+Kund+Archaeological+site+3+Ter./data=!4m2!3m1!1s0x3bc57561bd1d68bb:0x24efda4166f3de44,,
Ancient Buddhist Lama Stupa,,https://www.google.com/maps/place/Ancient+Buddhist+Lama+Stupa/data=!4m2!3m1!1s0x39a33b0046342bdb:0x34bc9ea719e0d64a,,
Drukgyel Dzong འབྲུག་རྒྱལ་རྫོང་།,,https://www.google.com/maps/place/Drukgyel+Dzong+%E0%BD%A0%E0%BD%96%E0%BE%B2%E0%BD%B4%E0%BD%82%E0%BC%8B%E0%BD%A2%E0%BE%92%E0%BE%B1%E0%BD%A3%E0%BC%8B%E0%BD%A2%E0%BE%AB%E0%BD%BC%E0%BD%84%E0%BC%8B%E0%BC%8D/data=!4m2!3m1!1s0x39e17473833cda17:0x21c4ac324201beab,,
Buddha Stupam,,https://www.google.com/maps/place/Buddha+Stupam/data=!4m2!3m1!1s0x3a4a1da760f2223f:0x354536aaacfaa3db,,
Buddhist temple( Mulgandh kuti vihar ),,https://www.google.com/maps/place/Buddhist+temple(+Mulgandh+kuti+vihar+)/data=!4m2!3m1!1s0x3999cfb1ac5b1017:0x57efc7417e1330ad,,
"Ancient Jain Temple Lord Sambhav Nath, Shravasti",,"https://www.google.com/maps/place/Ancient+Jain+Temple+Lord+Sambhav+Nath,+Shravasti/data=!4m2!3m1!1s0x3999d006b3ed68e9:0x44ec9ac0ae2c214a",,
Kachchi Kuti Mahet( Vishakha Palace),,https://www.google.com/maps/place/Kachchi+Kuti+Mahet(+Vishakha+Palace)/data=!4m2!3m1!1s0x3999d005e98ab1f9:0x16936c02109e1148,,
Shree Gha,,https://www.google.com/maps/place/Shree+Gha/data=!4m2!3m1!1s0x39eb18fe91565215:0xec464dd3c7c648af,,
"World Heritage Pyu Ancient City, Sri Ksetra",,"https://www.google.com/maps/place/World+Heritage+Pyu+Ancient+City,+Sri+Ksetra/data=!4m2!3m1!1s0x30c79da8f3b3c453:0xae59b269181fa125",,
Bawbawgyi Stupa,,https://www.google.com/maps/place/Bawbawgyi+Stupa/data=!4m2!3m1!1s0x30c79c4bde8c9471:0xdff3026046efa1a6,,
Yamethin Monastery,,https://www.google.com/maps/place/Yamethin+Monastery/data=!4m2!3m1!1s0x30cb6d04d59a001b:0x93f2410d66cb9c9a,,
Kyauk Ka Char Monastery,,https://www.google.com/maps/place/Kyauk+Ka+Char+Monastery/data=!4m2!3m1!1s0x30ce6f005d7d25c1:0xa9694edd346c8169,,
Jagaddal Vihar,,https://www.google.com/maps/place/Jagaddal+Vihar/data=!4m2!3m1!1s0x39fc9bbf3d03f1e5:0xf7949a45870378c8,,
Win Ka Par Temple,,https://www.google.com/maps/place/Win+Ka+Par+Temple/data=!4m2!3m1!1s0x30cb0eca159296f3:0x4d6c415d10069439,,
Tawagu Pagoda,,https://www.google.com/maps/place/Tawagu+Pagoda/data=!4m2!3m1!1s0x30cb0eb30980f955:0xe7e7942d8d8de687,,
Sat Taw Yar Pagoda,,https://www.google.com/maps/place/Sat+Taw+Yar+Pagoda/data=!4m2!3m1!1s0x30cb14643c485049:0x42e2d92e585055a5,,
Sandamuni Temple,,https://www.google.com/maps/place/Sandamuni+Temple/data=!4m2!3m1!1s0x30cb09557548f25f:0xe0e3846edb185a1a,,
Yadana Hsemee Pagoda Complex,,https://www.google.com/maps/place/Yadana+Hsemee+Pagoda+Complex/data=!4m2!3m1!1s0x30cb0eb0ee8e6581:0xcca6521e6dab65c8,,
