Title,Note,URL,Tags,Comment
,,,,
Meenakshipuram Rock cut cave temple,,https://www.google.com/maps/place/Meenakshipuram+Rock+cut+cave+temple/data=!4m2!3m1!1s0x3b00c18df95a4c63:0x1225d10abf39dc98,,
Kudaivarai Shri Sivan Temple (Arittapatti),,https://www.google.com/maps/place/Kudaivarai+Shri+Sivan+Temple+(Arittapatti)/data=!4m2!3m1!1s0x3b00c00de21d1df3:0x51a3fae80d9adccf,,
Buddiyskiy Kul'tovyy Tsentr Karatepa,,https://www.google.com/maps/place/Buddiyskiy+Kul'tovyy+Tsentr+Karatepa/data=!4m2!3m1!1s0x3f353a0c9791630d:0x36279e9db52d0737,,
Kottukal Cave Temple,,https://www.google.com/maps/place/Kottukal+Cave+Temple/data=!4m2!3m1!1s0x3b05deb80d48f079:0x3b55a0a17efd815b,,
"Ancient Buddhist Stupa, Malvali मळवली बौद्ध स्तूप, भाजे",,"https://www.google.com/maps/place/Ancient+Buddhist+Stupa,+Malvali+%E0%A4%AE%E0%A4%B3%E0%A4%B5%E0%A4%B2%E0%A5%80+%E0%A4%AC%E0%A5%8C%E0%A4%A6%E0%A5%8D%E0%A4%A7+%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%82%E0%A4%AA,+%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A5%87/data=!4m2!3m1!1s0x3bc2a9174213b223:0xf7c063d85e482c44",,
Lohare Palpeshwar Caves,,https://www.google.com/maps/place/Lohare+Palpeshwar+Caves/data=!4m2!3m1!1s0x3bc25c6627bee0bb:0xed3d036e00e05444,,
Bumzuva Cave and Temple,,https://www.google.com/maps/place/Bumzuva+Cave+and+Temple/data=!4m2!3m1!1s0x38e20e39de5fa345:0x73171c7f77648bf6,,
Mother Durga carved on ancient rock,,https://www.google.com/maps/place/Mother+Durga+carved+on+ancient+rock/data=!4m2!3m1!1s0x3753a5c78b5cd217:0x4240ffa76967ea50,,
Valikote Cave(Vali Cave),,https://www.google.com/maps/place/Valikote+Cave(Vali+Cave)/data=!4m2!3m1!1s0x3bb77f929ddff275:0xfefae3e6b504f06,,
Melukote Cave Temple,,https://www.google.com/maps/place/Melukote+Cave+Temple/data=!4m2!3m1!1s0x3baf91cd58571e17:0x29f86c16041df96f,,
Pallavar lower rockcut cave temple,,https://www.google.com/maps/place/Pallavar+lower+rockcut+cave+temple/data=!4m2!3m1!1s0x3baaf5ae042760e7:0x1c118abce3aa2e0c,,
Pallavas Cave,,https://www.google.com/maps/place/Pallavas+Cave/data=!4m2!3m1!1s0x3a52dcdf036d30a5:0xaf62d6fd36e351cd,,
Mamandur Pallava cave temple 4,,https://www.google.com/maps/place/Mamandur+Pallava+cave+temple+4/data=!4m2!3m1!1s0x3a52dc89dea179c7:0x23335fa4afee180f,,
Mamandur Pallava Cave Temple 2,,https://www.google.com/maps/place/Mamandur+Pallava+Cave+Temple+2/data=!4m2!3m1!1s0x3a52dc896dc7df0d:0x5e3cee086538c260,,
Thondur Pallava Sayana Perumal,,https://www.google.com/maps/place/Thondur+Pallava+Sayana+Perumal/data=!4m2!3m1!1s0x3a5331d492b654c3:0xacccc21c12ff7c55,,
Satrumalla Pallava Cave Temple,,https://www.google.com/maps/place/Satrumalla+Pallava+Cave+Temple/data=!4m2!3m1!1s0x3a534b2c8e9c5a45:0xd62f7466df79f1d3,,
Pallava Rock-Cut Caves,,https://www.google.com/maps/place/Pallava+Rock-Cut+Caves/data=!4m2!3m1!1s0x3bad36adee7d5589:0x72a38833f910b0b7,,
Pallava Rock cut temple,,https://www.google.com/maps/place/Pallava+Rock+cut+temple/data=!4m2!3m1!1s0x3a5301425f28df0b:0xdbf4158623099e15,,
Moghalrajpuram Pallava Cave Temple,,https://www.google.com/maps/place/Moghalrajpuram+Pallava+Cave+Temple/data=!4m2!3m1!1s0x3a35faae780f7d85:0x71318adf8c676402,,
Shrimant Raje Gaikwad Wada,,https://www.google.com/maps/place/Shrimant+Raje+Gaikwad+Wada/data=!4m2!3m1!1s0x3bde99548c50e3cb:0xa409268dc8359c67,,
Shriram Mandir,,https://www.google.com/maps/place/Shriram+Mandir/data=!4m2!3m1!1s0x3bdcbe3fe5e4e5e9:0x4971b5590bdd77fe,,
