Title,Note,URL,Tags,Comment
,,,,
Bansilalpet Stepwell,,https://www.google.com/maps/place/Bansilalpet+Stepwell/data=!4m2!3m1!1s0x3bcb9b8f77241951:0x398dc435add88e93,,
Dhaulpur bavdi,,https://www.google.com/maps/place/Dhaulpur+bavdi/data=!4m2!3m1!1s0x3973ff279eb7c475:0x29a97c9e34b148d2,,
Lal Bagh Museum - Nathdwara,,https://www.google.com/maps/place/Lal+Bagh+Museum+-+Nathdwara/data=!4m2!3m1!1s0x39680d43aaa63b49:0x6f75ecb5d2c1bada,,
Sethani Ka Johara,,https://www.google.com/maps/place/Sethani+Ka+Johara/data=!4m2!3m1!1s0x39149dd697055b75:0x44c5ec0ba55a5eeb,,
"Koviloor Sivan temple,theppakulam",,"https://www.google.com/maps/place/Koviloor+Sivan+temple,theppakulam/data=!4m2!3m1!1s0x3b0061789d19b239:0xf58390e09f0b15fe",,
Ratba Alias Rajbai's Vav,,https://www.google.com/maps/place/Ratba+Alias+Rajbai's+Vav/data=!4m2!3m1!1s0x395915b83a4c0e57:0xb97ce48c562296e0,,
"Helical Stepwell, Walur",,"https://www.google.com/maps/place/Helical+Stepwell,+Walur/data=!4m2!3m1!1s0x3bd0736ad71947f3:0xf109c81789f4f87a",,
Prachin Gangvo Kund,,https://www.google.com/maps/place/Prachin+Gangvo+Kund/data=!4m2!3m1!1s0x395949006425bfb9:0x4b456bf3379d1f4f,,
Yaganti Temple,,https://www.google.com/maps/place/Yaganti+Temple/data=!4m2!3m1!1s0x3bb4319417241541:0x70f1feee60c64aed,,
RAMNATH MANDIR,,https://www.google.com/maps/place/RAMNATH+MANDIR/data=!4m2!3m1!1s0x396793e85988613f:0xc3f49baa915ac61d,,
Ladushah Kund,,https://www.google.com/maps/place/Ladushah+Kund/data=!4m2!3m1!1s0x395dbf20cfa0550d:0x5dc76b7ceba2efe2,,
"बारव Stepwell, Jamgaon",,"https://www.google.com/maps/place/%E0%A4%AC%E0%A4%BE%E0%A4%B0%E0%A4%B5+Stepwell,+Jamgaon/data=!4m2!3m1!1s0x3bdcc7579aef9915:0x9968c53349d9bab",,
Sapteshwar Temple Stepwell,,https://www.google.com/maps/place/Sapteshwar+Temple+Stepwell/data=!4m2!3m1!1s0x3bc1e3310df593a1:0xb422d6d5f094c0ad,,
Gomukh Temple,,https://www.google.com/maps/place/Gomukh+Temple/data=!4m2!3m1!1s0x3bd0833b325c067b:0x746d9170c51acfcf,,
Putla Barav - Stepwell,,https://www.google.com/maps/place/Putla+Barav+-+Stepwell/data=!4m2!3m1!1s0x3bda674668a4d37f:0xf0d889de43ca128c,,
Champaner Stepwell,,https://www.google.com/maps/place/Champaner+Stepwell/data=!4m2!3m1!1s0x39607e5200dc4e61:0x5aead7fec34df9c1,,
Stepwell Chandinath Mahadev,,https://www.google.com/maps/place/Stepwell+Chandinath+Mahadev/data=!4m2!3m1!1s0x39436b1b3f8ca199:0xa128f53bb7b988b5,,
Medtani Stepwell मेड़तनी बावड़ी,,https://www.google.com/maps/place/Medtani+Stepwell+%E0%A4%AE%E0%A5%87%E0%A4%A1%E0%A4%BC%E0%A4%A4%E0%A4%A8%E0%A5%80+%E0%A4%AC%E0%A4%BE%E0%A4%B5%E0%A4%A1%E0%A4%BC%E0%A5%80/data=!4m2!3m1!1s0x391339ffa9c5a7c9:0x3f4d7f980f28e204,,
Musakeena Bhavi,,https://www.google.com/maps/place/Musakeena+Bhavi/data=!4m2!3m1!1s0x3bb855f148a75a79:0x4c1d40f95f47ec0e,,
Vav Idar Gambhirpura,,https://www.google.com/maps/place/Vav+Idar+Gambhirpura/data=!4m2!3m1!1s0x395da3638573868d:0xc43d8c018da89e51,,
Step Well,,https://www.google.com/maps/place/Step+Well/data=!4m2!3m1!1s0x39727d20dfeef0d5:0xdb3bfa3d1455d124,,
"Ancient Stepwell, Ridhapur",,"https://www.google.com/maps/place/Ancient+Stepwell,+Ridhapur/data=!4m2!3m1!1s0x3bd68582557d1be5:0x461c9672c6cc777c",,
Bramhani Ancient Stepwell,,https://www.google.com/maps/place/Bramhani+Ancient+Stepwell/data=!4m2!3m1!1s0x3bdc9746629a0067:0x5622f55138854fbd,,
Hadi Rani Kund,,https://www.google.com/maps/place/Hadi+Rani+Kund/data=!4m2!3m1!1s0x396eecfd2bf40971:0x86054ff400d4e976,,
Champaka Sarasi,,https://www.google.com/maps/place/Champaka+Sarasi/data=!4m2!3m1!1s0x3bbb9169b44cf6cb:0x8418dc4a621523ae,,
Battisi Baodi,,https://www.google.com/maps/place/Battisi+Baodi/data=!4m2!3m1!1s0x3979921089f72ce7:0xf034887900e61432,,
Amer Stepwell,,https://www.google.com/maps/place/Amer+Stepwell/data=!4m2!3m1!1s0x396db1b504d15b83:0x1c864714ccf1a5d8,,
Ancient Kund Mandir,,https://www.google.com/maps/place/Ancient+Kund+Mandir/data=!4m2!3m1!1s0x3965dfd8415a9501:0xce06bd83384a740c,,
Balaji Mandir Mageespur,,https://www.google.com/maps/place/Balaji+Mandir+Mageespur/data=!4m2!3m1!1s0x39651e5ccebbb8bb:0xb0005d5904e1de2,,
Shiva Pushkarani,,https://www.google.com/maps/place/Shiva+Pushkarani/data=!4m2!3m1!1s0x3bb87df2f4f3e859:0x9103f23d3daa586e,,
MERTANI JI KI BAWARI,,https://www.google.com/maps/place/MERTANI+JI+KI+BAWARI/data=!4m2!3m1!1s0x391339384541f9e1:0x78c3955c4d05e010,,
Rajgarh Stepwell,,https://www.google.com/maps/place/Rajgarh+Stepwell/data=!4m2!3m1!1s0x39727d4fbdb26bab:0x9fb880de92791c0a,,
KJ^s KUND,,https://www.google.com/maps/place/KJ%5Es+KUND/data=!4m2!3m1!1s0x397aad529189caa3:0x9793ad17021a4763,,
Japadabavi Kola,,https://www.google.com/maps/place/Japadabavi+Kola/data=!4m2!3m1!1s0x3bb9ab04bc4e1e93:0x8618646d1dc41be3,,
Santhebennur Pushkarni,,https://www.google.com/maps/place/Santhebennur+Pushkarni/data=!4m2!3m1!1s0x3bba41458d63af27:0xefd2f42b8b16a4a4,,
Sri Devagange Temple,,https://www.google.com/maps/place/Sri+Devagange+Temple/data=!4m2!3m1!1s0x3bbb81c7f29eb6e7:0x5e5569a53f287d8c,,
Stepwell,,https://www.google.com/maps/place/Stepwell/data=!4m2!3m1!1s0x3bdd8b7b0f5cf803:0xe6aa3a6227da47aa,,
Pushkarni Lake,,https://www.google.com/maps/place/Pushkarni+Lake/data=!4m2!3m1!1s0x3bdd6d8efc021403:0x28f68de14bf163c9,,
