Title,Note,URL,Tags,Comment
,,,,
Devagiri Mountain,,https://www.google.com/maps/place/Devagiri+Mountain/data=!4m2!3m1!1s0x3a24b5b30a3a2831:0x793c169b212e9f12,,
Madugula Fort,,https://www.google.com/maps/place/Madugula+Fort/data=!4m2!3m1!1s0x3a39875611daa57d:0xa53f01e18beb8fea,,
Kashi Naresh Fort,,https://www.google.com/maps/place/Kashi+Naresh+Fort/data=!4m2!3m1!1s0x398ff3ab1d92f9c3:0xbfcdb5a988ef95b6,,
Baghanda Fort,,https://www.google.com/maps/place/Baghanda+Fort/data=!4m2!3m1!1s0x398463bf5e8255c1:0xafbe935914abae42,,
Madwani fort,,https://www.google.com/maps/place/Madwani+fort/data=!4m2!3m1!1s0x39844980d46136bd:0x1db3836a3882bebb,,
Mangla Fort,,https://www.google.com/maps/place/Mangla+Fort/data=!4m2!3m1!1s0x391ff21272513f2d:0xf3860e36a261401e,,
"Noldenga Fort,Telwa bazar",,"https://www.google.com/maps/place/Noldenga+Fort,Telwa+bazar/data=!4m2!3m1!1s0x39f1738d5ca4f59d:0x466dfda8e7d4a6a3",,
Dhanidhar Fort,,https://www.google.com/maps/place/Dhanidhar+Fort/data=!4m2!3m1!1s0x391e2e9a38c00001:0x1221dc8359fb298c,,
Garhi fort,,https://www.google.com/maps/place/Garhi+fort/data=!4m2!3m1!1s0x391c43acdfb0052f:0xf22dc74beaa2bbf3,,
Southwest Corner of the Akbari Fort,,https://www.google.com/maps/place/Southwest+Corner+of+the+Akbari+Fort/data=!4m2!3m1!1s0x391f1b2082061955:0x27ddefaad759e328,,
Kaleeth Fort,,https://www.google.com/maps/place/Kaleeth+Fort/data=!4m2!3m1!1s0x391e5f021e9f9a0f:0x34d730e98708d955,,
Mangarh Kila,,https://www.google.com/maps/place/Mangarh+Kila/data=!4m2!3m1!1s0x391b39aa52ee3f33:0x77e252127e2b88c7,,
Anwa Dome,,https://www.google.com/maps/place/Anwa+Dome/data=!4m2!3m1!1s0x396efbf4058b9349:0xbc6ebbd38a99c105,,
Maihar Fort,,https://www.google.com/maps/place/Maihar+Fort/data=!4m2!3m1!1s0x39838b17aa82bff5:0x18de7a92f2816d4d,,
"Baiswara Fort, Maharaja Rao Ram Baksh Singh",,"https://www.google.com/maps/place/Baiswara+Fort,+Maharaja+Rao+Ram+Baksh+Singh/data=!4m2!3m1!1s0x399c7d229e8351e5:0x45128d9170d7f646",,
Madh Fort,,https://www.google.com/maps/place/Madh+Fort/data=!4m2!3m1!1s0x3be7b5fafa0d4c9d:0xb0b1a1ed6e265e54,,
Gharapuri Fort,,https://www.google.com/maps/place/Gharapuri+Fort/data=!4m2!3m1!1s0x3be7c50781dc0dbd:0x483a4c726d7c2d5e,,
Ratnadurga Fort,,https://www.google.com/maps/place/Ratnadurga+Fort/data=!4m2!3m1!1s0x3bea129b82de8597:0xd38137ef65faeec5,,
Barwai Fort,,https://www.google.com/maps/place/Barwai+Fort/data=!4m2!3m1!1s0x3bc2051361dc305b:0x90f732144a1d7c16,,
Rasalgad Fort,,https://www.google.com/maps/place/Rasalgad+Fort/data=!4m2!3m1!1s0x3bc2750dbc292f75:0x3f987e56b21cf239,,
Govindgad Fort Gowalkot Fort,,https://www.google.com/maps/place/Govindgad+Fort+Gowalkot+Fort/data=!4m2!3m1!1s0x3bc20812d0a6f5ed:0x41910e4713f92034,,
Vasota Fort,,https://www.google.com/maps/place/Vasota+Fort/data=!4m2!3m1!1s0x3bc2139e4cd4a975:0x6095bf7697d475b9,,
Vasantgad fort,,https://www.google.com/maps/place/Vasantgad+fort/data=!4m2!3m1!1s0x3bc1877e0d193fe1:0x413ae3cdce11fa13,,
Ghodbunder Fort,,https://www.google.com/maps/place/Ghodbunder+Fort/data=!4m2!3m1!1s0x3be7b00d9fa57c6d:0xa90b702b630eced0,,
Mrugagad Fort,,https://www.google.com/maps/place/Mrugagad+Fort/data=!4m2!3m1!1s0x3be80473ecf2761d:0xa105b23e7f6c377b,,
Maharaja Bijli Pasi Quila,,https://www.google.com/maps/place/Maharaja+Bijli+Pasi+Quila/data=!4m2!3m1!1s0x399bfbf4acff3efd:0x7d765f65e32f3db,,
Dumraon Garh,,https://www.google.com/maps/place/Dumraon+Garh/data=!4m2!3m1!1s0x399278836da7d709:0x981696b8262f43f,,
Lari Gadh,,https://www.google.com/maps/place/Lari+Gadh/data=!4m2!3m1!1s0x398d315764e02e8f:0x6103a63f5dfde6eb,,
Mohargarh fort,,https://www.google.com/maps/place/Mohargarh+fort/data=!4m2!3m1!1s0x391c23119602a915:0xeed91151da11c1f5,,
Jahangir Fort,,https://www.google.com/maps/place/Jahangir+Fort/data=!4m2!3m1!1s0x391a41f78159b3fb:0xb981fc1aca79b19,,
"Tomb of Subhan, Sirhind",,"https://www.google.com/maps/place/Tomb+of+Subhan,+Sirhind/data=!4m2!3m1!1s0x39101dcf7a7ae091:0x3b4bce9266cf3c3",,
Shambhu Sarai,,https://www.google.com/maps/place/Shambhu+Sarai/data=!4m2!3m1!1s0x390fc58e381d3557:0xa1b5e97d14d7888a,,
Amloh in Fort,,https://www.google.com/maps/place/Amloh+in+Fort/data=!4m2!3m1!1s0x3910176258c724af:0x5ad7a83c523e9a42,,
Fort Of Jasana,,https://www.google.com/maps/place/Fort+Of+Jasana/data=!4m2!3m1!1s0x3914031c0304be7b:0x70e5e8348a8ae3d8,,
Ancient mud fort,,https://www.google.com/maps/place/Ancient+mud+fort/data=!4m2!3m1!1s0x3917a7000b594ecd:0x570c47570067d69f,,
Monsoon Palace,,https://www.google.com/maps/place/Monsoon+Palace/data=!4m2!3m1!1s0x3967facab93fb0c3:0x8073d58113773525,,
Jetalpur fort,,https://www.google.com/maps/place/Jetalpur+fort/data=!4m2!3m1!1s0x395e8fa3cd2cfb23:0x6be74ee6a993dd51,,
Kote Betta,,https://www.google.com/maps/place/Kote+Betta/data=!4m2!3m1!1s0x3bb1edf47a44e341:0x5f32e55339231bdd,,
Nipani fort,,https://www.google.com/maps/place/Nipani+fort/data=!4m2!3m1!1s0x3bc0f3a8f0a0a3c9:0xda40fbb3b6d6df53,,
Bhujiyo Kotho,,https://www.google.com/maps/place/Bhujiyo+Kotho/data=!4m2!3m1!1s0x39576ac091caf6b7:0x39d3af188c555048,,
Khambhalia Gate,,https://www.google.com/maps/place/Khambhalia+Gate/data=!4m2!3m1!1s0x39576bae1c8445bb:0x49abf094ef5730c8,,
Hajiganj Fort,,https://www.google.com/maps/place/Hajiganj+Fort/data=!4m2!3m1!1s0x3755b1149c25d2c1:0xb12f159ebabc96f9,,
Ghantaghar (Clock Tower) Harda,,https://www.google.com/maps/place/Ghantaghar+(Clock+Tower)+Harda/data=!4m2!3m1!1s0x397d71ab339e9b7f:0x59630d62970a1e6d,,
Mahadev Gate,,https://www.google.com/maps/place/Mahadev+Gate/data=!4m2!3m1!1s0x39511e005226695b:0xe0d2db5090480dcc,,
Wafgaon Bhuikot,,https://www.google.com/maps/place/Wafgaon+Bhuikot/data=!4m2!3m1!1s0x3bdd33e16ee84529:0x80700eb2e6d4ca2a,,
Santoshgad Fort,,https://www.google.com/maps/place/Santoshgad+Fort/data=!4m2!3m1!1s0x3bc3b6a32604c30d:0x1fe642fe2b8fb0a6,,
Medad Gadhi Fort,,https://www.google.com/maps/place/Medad+Gadhi+Fort/data=!4m2!3m1!1s0x3bc30b3a6dbd6a7d:0xd62cb3a2c8e18177,,
पांडुरंग मंदीर आळणी,,https://www.google.com/maps/place/%E0%A4%AA%E0%A4%BE%E0%A4%82%E0%A4%A1%E0%A5%81%E0%A4%B0%E0%A4%82%E0%A4%97+%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A5%80%E0%A4%B0+%E0%A4%86%E0%A4%B3%E0%A4%A3%E0%A5%80/data=!4m2!3m1!1s0x3bc50a7356ed3d07:0x571f768207947696,,
Jat fort salwai,,https://www.google.com/maps/place/Jat+fort+salwai/data=!4m2!3m1!1s0x397721a0a034a16f:0x4adcf0534473e418,,
Kankarala Fort,,https://www.google.com/maps/place/Kankarala+Fort/data=!4m2!3m1!1s0x3bde939b32578dc7:0xb391617a39bf75ea,,
Shree Raj Rajeshwari Meldi Maa Temple,,https://www.google.com/maps/place/Shree+Raj+Rajeshwari+Meldi+Maa+Temple/data=!4m2!3m1!1s0x395fc58aed06159f:0xde74788e8c70871c,,
Panamalai Thalagireeshwarar Shiva Temple,,https://www.google.com/maps/place/Panamalai+Thalagireeshwarar+Shiva+Temple/data=!4m2!3m1!1s0x3bacb32cdda30ab1:0x331cad2e7fb46fee,,
Buxa Fort,,https://www.google.com/maps/place/Buxa+Fort/data=!4m2!3m1!1s0x39e247ae81957ec1:0xc18eecddddd90517,,
Nana Rao Peshva Smarak Park,,https://www.google.com/maps/place/Nana+Rao+Peshva+Smarak+Park/data=!4m2!3m1!1s0x399c307beeb5ab3d:0xb3b3ebc8109b1a2e,,
Anegundi Fort,,https://www.google.com/maps/place/Anegundi+Fort/data=!4m2!3m1!1s0x3bb77f15646e26e7:0x7187bcbd5e27f5ad,,
