Title,Note,URL,Tags,Comment
,,,,
Arthuna Group Of Temples,,https://www.google.com/maps/place/Arthuna+Group+Of+Temples/data=!4m2!3m1!1s0x39672f426f7b8e49:0xaf97d51da91d42bb,,
Old historical nonaveshvara temple ಪುರಾತನ ಕಾಲದ ನೊಣವೇಶ್ವರ ದೇವಾಲಯ,,https://www.google.com/maps/place/Old+historical+nonaveshvara+temple+%E0%B2%AA%E0%B3%81%E0%B2%B0%E0%B2%BE%E0%B2%A4%E0%B2%A8+%E0%B2%95%E0%B2%BE%E0%B2%B2%E0%B2%A6+%E0%B2%A8%E0%B3%8A%E0%B2%A3%E0%B2%B5%E0%B3%87%E0%B2%B6%E0%B3%8D%E0%B2%B5%E0%B2%B0+%E0%B2%A6%E0%B3%87%E0%B2%B5%E0%B2%BE%E0%B2%B2%E0%B2%AF/data=!4m2!3m1!1s0x3bb00d46db074adb:0x2d6401c4a6f470e8,,
Sivalayam Very ancient temples,,https://www.google.com/maps/place/Sivalayam+Very+ancient+temples/data=!4m2!3m1!1s0x3bb479954215eebf:0xe92eafc51aba82b2,,
Sri Thanthondri Amman Temple,,https://www.google.com/maps/place/Sri+Thanthondri+Amman+Temple/data=!4m2!3m1!1s0x3ba941a196d2e75b:0x22665c6dc2787c38,,
"Mangala Devi Kannagi Temple,Kerala",,"https://www.google.com/maps/place/Mangala+Devi+Kannagi+Temple,Kerala/data=!4m2!3m1!1s0x3b06ff15c933a817:0x5fa4aa28ad8315a5",,
Prachin Shiv Mandir & Mahamaya Devi Mandir Damru,,https://www.google.com/maps/place/Prachin+Shiv+Mandir+%26+Mahamaya+Devi+Mandir+Damru/data=!4m2!3m1!1s0x3a27d5fba20f17f9:0x5dfbaf4d0eba9ff0,,
Shiv Shankar Temple,,https://www.google.com/maps/place/Shiv+Shankar+Temple/data=!4m2!3m1!1s0x3bdc1338eaaaaaab:0x92e19ffd601189f7,,
Shri Khandoba Temple,,https://www.google.com/maps/place/Shri+Khandoba+Temple/data=!4m2!3m1!1s0x3bdb9896b07dee6d:0x58a581c1c40431be,,
Ancient Jain Temple Ruins,,https://www.google.com/maps/place/Ancient+Jain+Temple+Ruins/data=!4m2!3m1!1s0x3bddf3bc978be61f:0xc301ebe86c8d5db9,,
"Deoghar Pitha, Temple, Mahasingi, Baliguda",,"https://www.google.com/maps/place/Deoghar+Pitha,+Temple,+Mahasingi,+Baliguda/data=!4m2!3m1!1s0x3a230b918f20671f:0xd3e729171f6fc19a",,
