Title,Note,URL,Tags,Comment
,,,,
Hindu/ Vishnu Temple,,https://www.google.com/maps/place/Hindu%2F+Vishnu+Temple/data=!4m2!3m1!1s0x3927580ca3df03a9:0x5d1d200daf1ddf60,,
"Very Old Shiv Temple, Jurmaniya",,"https://www.google.com/maps/place/Very+Old+Shiv+Temple,+Jurmaniya/data=!4m2!3m1!1s0x39845eb01bef39fb:0x189fe19d3d6140f6",,
Shri Gudde Hanumantha Temple,,https://www.google.com/maps/place/Shri+Gudde+Hanumantha+Temple/data=!4m2!3m1!1s0x3bc780dc14a12b55:0x53a14059497697d2,,
Ancient Shri Kalmeshwara Temple (Rakkasagi),,https://www.google.com/maps/place/Ancient+Shri+Kalmeshwara+Temple+(Rakkasagi)/data=!4m2!3m1!1s0x3bb876190959a40d:0xe10b0a513332b256,,
Sacchiyay Mata Temple,,https://www.google.com/maps/place/Sacchiyay+Mata+Temple/data=!4m2!3m1!1s0x3941b0322256c07f:0x93360a6e9801af43,,
Gulabgarh Temple,,https://www.google.com/maps/place/Gulabgarh+Temple/data=!4m2!3m1!1s0x3921b12588ce27ad:0x92fb9c55bb3c04d1,,
پرانا مندر,,https://www.google.com/maps/place/%D9%BE%D8%B1%D8%A7%D9%86%D8%A7+%D9%85%D9%86%D8%AF%D8%B1%E2%80%AD/data=!4m2!3m1!1s0x3921b109e58fb09b:0x2dc24492ef96272e,,
Jain Mandir,,https://www.google.com/maps/place/Jain+Mandir/data=!4m2!3m1!1s0x39191d3e485ebef7:0x3b20fe1ea6495812,,
Rattan Chand Mandir,,https://www.google.com/maps/place/Rattan+Chand+Mandir/data=!4m2!3m1!1s0x39191b7d77c6f2cb:0x92e579cb40b5a37d,,
Lal Mandir,,https://www.google.com/maps/place/Lal+Mandir/data=!4m2!3m1!1s0x39191b7be914e32b:0x69ff66bc7e0e47c9,,
Chalukya era Shiva Temple,,https://www.google.com/maps/place/Chalukya+era+Shiva+Temple/data=!4m2!3m1!1s0x3bd07756ff79358b:0xe8a42ddc5060e964,,
ANCIENT BALI TEMPLE,,https://www.google.com/maps/place/ANCIENT+BALI+TEMPLE/data=!4m2!3m1!1s0x3bd07785cc75cb29:0x790ae5631e329cbb,,
Shri Nrusinh Mandir Warud,,https://www.google.com/maps/place/Shri+Nrusinh+Mandir+Warud/data=!4m2!3m1!1s0x3bd06fe79ec10e0b:0x4ff37087ec5fb2e6,,
Toilkup Shiva Templ,,https://www.google.com/maps/place/Toilkup+Shiva+Templ/data=!4m2!3m1!1s0x39fee14eef85bb6f:0x924a77e45b1693d1,,
Ancient Shri Someshwara Temple (Haralahalli),,https://www.google.com/maps/place/Ancient+Shri+Someshwara+Temple+(Haralahalli)/data=!4m2!3m1!1s0x3bb9765c2bc5e7e1:0x2e15b92ac98b514b,,
Kariyamma Devi Temple,,https://www.google.com/maps/place/Kariyamma+Devi+Temple/data=!4m2!3m1!1s0x3bba3381572649ff:0xd400624c836a5679,,
Shri Anchaleshwar Mandir,,https://www.google.com/maps/place/Shri+Anchaleshwar+Mandir/data=!4m2!3m1!1s0x3bdcd2453813509b:0x12367bb9d3a81f0b,,
Suraj Kund,,https://www.google.com/maps/place/Suraj+Kund/data=!4m2!3m1!1s0x3976c68558488c1b:0xb67140ee1357b484,,
Sri Chaya Someshwara Temple,,https://www.google.com/maps/place/Sri+Chaya+Someshwara+Temple/data=!4m2!3m1!1s0x3bcb2be0afae5df1:0x685abb9f11ea09f8,,
Shahi Jam-e-Masjid Bhadra,,https://www.google.com/maps/place/Shahi+Jam-e-Masjid+Bhadra/data=!4m2!3m1!1s0x395e8452046d29cb:0xa5b8924b54c806dc,,
Sri Ganapeshwaralayam,,https://www.google.com/maps/place/Sri+Ganapeshwaralayam/data=!4m2!3m1!1s0x3a34f07128495267:0xd568dea7d86df38f,,
Vyas Badora temples,,https://www.google.com/maps/place/Vyas+Badora+temples/data=!4m2!3m1!1s0x398325f75a0dfd2f:0xbc2aed55f3487097,,
Kote Betta,,https://www.google.com/maps/place/Kote+Betta/data=!4m2!3m1!1s0x3bb1edf47a44e341:0x5f32e55339231bdd,,
Sri Kailasanathar Temple,,https://www.google.com/maps/place/Sri+Kailasanathar+Temple/data=!4m2!3m1!1s0x3bad483fe0a6d0bb:0x8d1773fdb84053be,,
Ancient Hoysala Historical Shri Janardhana Swamy Temple,,https://www.google.com/maps/place/Ancient+Hoysala+Historical+Shri+Janardhana+Swamy+Temple/data=!4m2!3m1!1s0x3ba59f26a2a05aa1:0xb3961d3b27270c6f,,
Ancient Hoysal Shri Veerabhadra Someshwara Swamy Temple,,https://www.google.com/maps/place/Ancient+Hoysal+Shri+Veerabhadra+Someshwara+Swamy+Temple/data=!4m2!3m1!1s0x3ba5722b437f5375:0x241ea445b09e551d,,
Ancient Surya Mandir Ruins,,https://www.google.com/maps/place/Ancient+Surya+Mandir+Ruins/data=!4m2!3m1!1s0x395d8b006c3a1889:0xea68b87cb0dfa8cb,,
Bakor Nature Camp,,https://www.google.com/maps/place/Bakor+Nature+Camp/data=!4m2!3m1!1s0x39675365c2dd556f:0x5ada4b1e119b563a,,
Govishan Dronacharya Palace,,https://www.google.com/maps/place/Govishan+Dronacharya+Palace/data=!4m2!3m1!1s0x390a424d75c8a557:0xc14551391e7bc8a3,,
Shri Kshetra Mahamaya Temple ಶ್ರೀ ಕ್ಷೇತ್ರ ಮಹಾಮಾಯ ದೇವಸ್ಥಾನ,,https://www.google.com/maps/place/Shri+Kshetra+Mahamaya+Temple+%E0%B2%B6%E0%B3%8D%E0%B2%B0%E0%B3%80+%E0%B2%95%E0%B3%8D%E0%B2%B7%E0%B3%87%E0%B2%A4%E0%B3%8D%E0%B2%B0+%E0%B2%AE%E0%B2%B9%E0%B2%BE%E0%B2%AE%E0%B2%BE%E0%B2%AF+%E0%B2%A6%E0%B3%87%E0%B2%B5%E0%B2%B8%E0%B3%8D%E0%B2%A5%E0%B2%BE%E0%B2%A8/data=!4m2!3m1!1s0x3bb84f3460841525:0x3cc69cdacca34f0d,,
Hinglaj Mata Temple Khandosan,,https://www.google.com/maps/place/Hinglaj+Mata+Temple+Khandosan/data=!4m2!3m1!1s0x395c5afe0fb81759:0x79a7adfb8402f65e,,
Ancient Hemadpanti Shiv Temple (Very Old),,https://www.google.com/maps/place/Ancient+Hemadpanti+Shiv+Temple+(Very+Old)/data=!4m2!3m1!1s0x3bddfd0c8a662ee5:0x3c60a305cf607271,,
Naganna Step Well,,https://www.google.com/maps/place/Naganna+Step+Well/data=!4m2!3m1!1s0x3bccdfb576cbf363:0xc98cb6f1ca01a9df,,
Ruins of Mari Indus Hindu Temple,,https://www.google.com/maps/place/Ruins+of+Mari+Indus+Hindu+Temple/data=!4m2!3m1!1s0x39275db067399e83:0x2ee57a0fe392cc92,,
Old Mandir,,https://www.google.com/maps/place/Old+Mandir/data=!4m2!3m1!1s0x39275d5d100c9ba1:0xe29436e8bee185ea,,
RamBhuvan(Shri Ram Temple),,https://www.google.com/maps/place/RamBhuvan(Shri+Ram+Temple)/data=!4m2!3m1!1s0x395635329cccd9ab:0xedf980b86b64c203,,
Danteshwar Mahadev Mandir,,https://www.google.com/maps/place/Danteshwar+Mahadev+Mandir/data=!4m2!3m1!1s0x3956f1b8a9257caf:0xf92465fac2cd29fa,,
Bhadeshvar Temple,,https://www.google.com/maps/place/Bhadeshvar+Temple/data=!4m2!3m1!1s0x3950c747b627429d:0x422b08ede1159f02,,
Paddhargadh Manjal,,https://www.google.com/maps/place/Paddhargadh+Manjal/data=!4m2!3m1!1s0x395113d538c83771:0x3f0bad3a794ddd87,,
Shiv Mandir,,https://www.google.com/maps/place/Shiv+Mandir/data=!4m2!3m1!1s0x396a0a31c3ce8eeb:0x9d7d736f06b157d5,,
Kapileshwar Mahadev Temple Sardarpura(wav),,https://www.google.com/maps/place/Kapileshwar+Mahadev+Temple+Sardarpura(wav)/data=!4m2!3m1!1s0x395b36a9b87b5fff:0x78ebf69bdcbcb4b7,,
Sun Temple Varman,,https://www.google.com/maps/place/Sun+Temple+Varman/data=!4m2!3m1!1s0x395ccd27f0435325:0x1943c4237cd1103f,,
"Moghiya Shib Temple, Kachua, Bagerhat",,"https://www.google.com/maps/place/Moghiya+Shib+Temple,+Kachua,+Bagerhat/data=!4m2!3m1!1s0x39fff91ffd5a8e2d:0xf4e08231ff400c84",,
Harinmari Shiv Temple,,https://www.google.com/maps/place/Harinmari+Shiv+Temple/data=!4m2!3m1!1s0x39e4e39acef2e691:0xd11d32cf11179877,,
যোগীর থান,,https://www.google.com/maps/place/%E0%A6%AF%E0%A7%8B%E0%A6%97%E0%A7%80%E0%A6%B0+%E0%A6%A5%E0%A6%BE%E0%A6%A8/data=!4m2!3m1!1s0x39fc854b4d2aefa5:0x3893dc418d5a6065,,
Jaharatala Old Temple,,https://www.google.com/maps/place/Jaharatala+Old+Temple/data=!4m2!3m1!1s0x39faffea95a6ef7d:0xd17af6b29a4f33e6,,
Sharda Mandir (Shardibal),,https://www.google.com/maps/place/Sharda+Mandir+(Shardibal)/data=!4m2!3m1!1s0x38e16d90a0682259:0x4d74b761fbf22e95,,
"Daksheshwar Temple, Ladkhed",,"https://www.google.com/maps/place/Daksheshwar+Temple,+Ladkhed/data=!4m2!3m1!1s0x3bd15f829b773e75:0xdd626f99dc4246a0",,
Ramalayam Temple,,https://www.google.com/maps/place/Ramalayam+Temple/data=!4m2!3m1!1s0x3a34b67670000001:0x5e293103c5129cd8,,
Kadwaha Temples (Group 4),,https://www.google.com/maps/place/Kadwaha+Temples+(Group+4)/data=!4m2!3m1!1s0x397a1d46d862983d:0x6a77413613dc9b6a,,
