Title,Note,URL,Tags,Comment
,,,,
"Tomb of Subhan, Sirhind",,"https://www.google.com/maps/place/Tomb+of+Subhan,+Sirhind/data=!4m2!3m1!1s0x39101dcf7a7ae091:0x3b4bce9266cf3c3",,
Tomb of Bibi Maryam,,https://www.google.com/maps/place/Tomb+of+Bibi+Maryam/data=!4m2!3m1!1s0x3755b16dfbc4fee9:0x1009fdef07120062,,
Shaik roza,,https://www.google.com/maps/place/Shaik+roza/data=!4m2!3m1!1s0x3bc8b9668b85c6ef:0x3edc1c8d69112b1f,,
Dargah Udero Lal,,https://www.google.com/maps/place/Dargah+Udero+Lal/data=!4m2!3m1!1s0x394bf3e5de03ce09:0x7c1932aec990031d,,
Gol Gumbaj,,https://www.google.com/maps/place/Gol+Gumbaj/data=!4m2!3m1!1s0x3bc0bdfa661b5d65:0x69f0ed4d4e8c1ad7,,
Sabz Burj,,https://www.google.com/maps/place/Sabz+Burj/data=!4m2!3m1!1s0x390ce31ce163e95b:0x1647ce2764664122,,
"Ancient Temple, Dharul",,"https://www.google.com/maps/place/Ancient+Temple,+Dharul/data=!4m2!3m1!1s0x3bd70529aa6d24e7:0xf858738dc11b2e48",,
Hazart Shah Husain badsha dargah shareef,,https://www.google.com/maps/place/Hazart+Shah+Husain+badsha+dargah+shareef/data=!4m2!3m1!1s0x3bc8d77c42c113dd:0xe52b245038afbb46,,
Aalam Shahi Dargah,,https://www.google.com/maps/place/Aalam+Shahi+Dargah/data=!4m2!3m1!1s0x3bd0748e11d09587:0xffaac8f71becf5f8,,
Dargah Hazrath Syed shah Dawood (RA) Karamungii Dargah,,https://www.google.com/maps/place/Dargah+Hazrath+Syed+shah+Dawood+(RA)+Karamungii+Dargah/data=!4m2!3m1!1s0x3bce9567bc70f93b:0x972be8a0353095aa,,
Moulana Yaqub Dargah,,https://www.google.com/maps/place/Moulana+Yaqub+Dargah/data=!4m2!3m1!1s0x3bcf3b8d1682a2d7:0xc80e6921c03f2822,,
Thaneshwar Shiv Tample,,https://www.google.com/maps/place/Thaneshwar+Shiv+Tample/data=!4m2!3m1!1s0x396bc4454b5ae061:0xaee1b6be4ac3e685,,
Anarkali Tomb,,https://www.google.com/maps/place/Anarkali+Tomb/data=!4m2!3m1!1s0x39191cb00ee1d43f:0xa22f0b3033b41491,,
Hazrat Ismail Shah Quadri Dargah Sharif,,https://www.google.com/maps/place/Hazrat+Ismail+Shah+Quadri+Dargah+Sharif/data=!4m2!3m1!1s0x3bcf216240000001:0xd8804a2968da8a64,,
"Hazrat Syed Shah Ishaq Sanaullah Quadri RA, Roza Dargah",,"https://www.google.com/maps/place/Hazrat+Syed+Shah+Ishaq+Sanaullah+Quadri+RA,+Roza+Dargah/data=!4m2!3m1!1s0x3bb5e74159bcf7f9:0xc01089e940e1464a",,
Dharma Mahal,,https://www.google.com/maps/place/Dharma+Mahal/data=!4m2!3m1!1s0x39626b005e337f11:0xb6a143c8153ce3ac,,
Tomb of Pranpir Badshah,,https://www.google.com/maps/place/Tomb+of+Pranpir+Badshah/data=!4m2!3m1!1s0x3912332cfef70175:0xff5b7f27ab9878fa,,
Jafrabad fort,,https://www.google.com/maps/place/Jafrabad+fort/data=!4m2!3m1!1s0x3be25339ba653601:0x437d45f0e0e72274,,
Tomb of Tahir Khan,,https://www.google.com/maps/place/Tomb+of+Tahir+Khan/data=!4m2!3m1!1s0x393a42430ead28f1:0xcf7d1a2721bc8132,,
Dost Mohammad Khan Monument,,https://www.google.com/maps/place/Dost+Mohammad+Khan+Monument/data=!4m2!3m1!1s0x397c692050ff6259:0x66fa24b74128c77a,,
"Bahmani Tombs - Bidar District, Karnataka, India",,"https://www.google.com/maps/place/Bahmani+Tombs+-+Bidar+District,+Karnataka,+India/data=!4m2!3m1!1s0x3bcec7588696bf07:0xbaf112a5c6aba514",,
Shaikh Sanawali Baba Dargah,,https://www.google.com/maps/place/Shaikh+Sanawali+Baba+Dargah/data=!4m2!3m1!1s0x3bdb1bb008611379:0xe07c7457e99c3ff9,,
Hazrat Khaja Sayed Husaini Shirazi,,https://www.google.com/maps/place/Hazrat+Khaja+Sayed+Husaini+Shirazi/data=!4m2!3m1!1s0x3bdb92479c496e45:0xdb9b4a6fb2436726,,
Maqbara Malik Amber,,https://www.google.com/maps/place/Maqbara+Malik+Amber/data=!4m2!3m1!1s0x3bdb93000a483c31:0x660743841b9386e9,,
Makbara of Hayat Mohd Khan,,https://www.google.com/maps/place/Makbara+of+Hayat+Mohd+Khan/data=!4m2!3m1!1s0x397c6f7a9ed5a86b:0xda6aa1a90dce097f,,
Manpura Bhakri Dargah Pali,,https://www.google.com/maps/place/Manpura+Bhakri+Dargah+Pali/data=!4m2!3m1!1s0x394273db735c3d3f:0x34f9304f74fd38f5,,
Dargah Sharif Abdal Shah Baba,,https://www.google.com/maps/place/Dargah+Sharif+Abdal+Shah+Baba/data=!4m2!3m1!1s0x3973ffa688097463:0xcfca417be57714bd,,
Habsh khan tomb,,https://www.google.com/maps/place/Habsh+khan+tomb/data=!4m2!3m1!1s0x398c370d988e5acb:0x90ec271e96b2ab41,,
"Hazrat Malik Shah Datar Dargah,Jalore Fort",,"https://www.google.com/maps/place/Hazrat+Malik+Shah+Datar+Dargah,Jalore+Fort/data=!4m2!3m1!1s0x394300d38a0d6ba3:0x2e67d333ffae3eb7",,
Ancient caravan serai,,https://www.google.com/maps/place/Ancient+caravan+serai/data=!4m2!3m1!1s0x3bdb91461f2f091d:0x4b133068bf1fedfe,,
Allahabad fort,,https://www.google.com/maps/place/Allahabad+fort/data=!4m2!3m1!1s0x3972d7bc6a14705d:0xf965810a91a7ce9d,,
Quba Mir Shahdad Talpur,,https://www.google.com/maps/place/Quba+Mir+Shahdad+Talpur/data=!4m2!3m1!1s0x394bcc1b67a25435:0x769c5582c6d3f24a,,
Tilaa Shah,,https://www.google.com/maps/place/Tilaa+Shah/data=!4m2!3m1!1s0x3949573173bad81b:0x8b1a4aa7e0ba1f21,,
Adam Khan Mari Tomb,,https://www.google.com/maps/place/Adam+Khan+Mari+Tomb/data=!4m2!3m1!1s0x394937a61f838b87:0x2ed9dac4c8a6c737,,
Saiyed Usman Tomb And Mosque,,https://www.google.com/maps/place/Saiyed+Usman+Tomb+And+Mosque/data=!4m2!3m1!1s0x395e85ce4f1c1963:0xb37fee658a77ca95,,
Tomb of Bai Harir Sultani,,https://www.google.com/maps/place/Tomb+of+Bai+Harir+Sultani/data=!4m2!3m1!1s0x395e85e07e3b8597:0x9b105d9cd57ad621,,
Chauburgi,,https://www.google.com/maps/place/Chauburgi/data=!4m2!3m1!1s0x39190393415c6b2f:0xf9a821b0921b74bb,,
Zaibunnisa Tomb,,https://www.google.com/maps/place/Zaibunnisa+Tomb/data=!4m2!3m1!1s0x3919031cc37db013:0x9d1b24062db4af07,,
Tomb of Dai Anga,,https://www.google.com/maps/place/Tomb+of+Dai+Anga/data=!4m2!3m1!1s0x39191ad9839f9daf:0x14aa53ba8d618e17,,
Shahbabu Dargah,,https://www.google.com/maps/place/Shahbabu+Dargah/data=!4m2!3m1!1s0x3bd0cf2b0d87d68f:0x421bdc7442442b7f,,
Bibi ka maqbara,,https://www.google.com/maps/place/Bibi+ka+maqbara/data=!4m2!3m1!1s0x3bdb981f052f9c79:0x846308f37cdb4f9,,
Bahu Begam Maqbara,,https://www.google.com/maps/place/Bahu+Begam+Maqbara/data=!4m2!3m1!1s0x399a08a0ca12c3f9:0x60568df11b773919,,
Ancient Tomb,,https://www.google.com/maps/place/Ancient+Tomb/data=!4m2!3m1!1s0x3bc6ff9c232675b5:0x1c06cb4b4eb4c9a5,,
Hauz Khass Ki Madia,,https://www.google.com/maps/place/Hauz+Khass+Ki+Madia/data=!4m2!3m1!1s0x397993dd0ce6fd4d:0x443517767f81e367,,
Samara Peer Dargaah Shareef,,https://www.google.com/maps/place/Samara+Peer+Dargaah+Shareef/data=!4m2!3m1!1s0x399d4dedba23093d:0x574a9952ead91c25,,
Kulsum Begum’s Tomb,,https://www.google.com/maps/place/Kulsum+Begum%E2%80%99s+Tomb/data=!4m2!3m1!1s0x3bcb9720dc56793b:0xd05db569eacb4c27,,
Tomb of Mohammad Quli Qutub Shah,,https://www.google.com/maps/place/Tomb+of+Mohammad+Quli+Qutub+Shah/data=!4m2!3m1!1s0x3bcb9699fa8ac01b:0x2cb9d0d08b4b20ff,,
Tomb of Hayat Bakshi Begum,,https://www.google.com/maps/place/Tomb+of+Hayat+Bakshi+Begum/data=!4m2!3m1!1s0x3bcb96979f7a434d:0xfac6d78539a67596,,
Bahamani era masjid,,https://www.google.com/maps/place/Bahamani+era+masjid/data=!4m2!3m1!1s0x3bd7497130abaebd:0xa3814b590b85bb86,,
"Sakri Gumti, Delhi",,"https://www.google.com/maps/place/Sakri+Gumti,+Delhi/data=!4m2!3m1!1s0x390ce27335063ec5:0xa6d8b061be5cd01b",,
Tohfe wala Gumbad,,https://www.google.com/maps/place/Tohfe+wala+Gumbad/data=!4m2!3m1!1s0x390ce21408512db5:0x75ee4181c5c790a0,,
Dargah H. Surkh Abdal R. A.,,https://www.google.com/maps/place/Dargah+H.+Surkh+Abdal+R.+A./data=!4m2!3m1!1s0x3bc248a6537c319f:0xd44999134796b623,,
Hazrat Imam Badshah Dargah,,https://www.google.com/maps/place/Hazrat+Imam+Badshah+Dargah/data=!4m2!3m1!1s0x3bdf09c2d9994e3f:0xbe5d3c0afffa6b12,,
Museum,,https://www.google.com/maps/place/Museum/data=!4m2!3m1!1s0x3bc8c74c3c0ce50f:0xe52463137b1eb900,,
Tomb of Abdul Wahab Khan,,https://www.google.com/maps/place/Tomb+of+Abdul+Wahab+Khan/data=!4m2!3m1!1s0x3bb5e734686ad013:0xf65cd5627657ee02,,
Group of four chhatris,,https://www.google.com/maps/place/Group+of+four+chhatris/data=!4m2!3m1!1s0x397779534694f9c5:0x579cc5a721a354f8,,
Tomb of Bahu Begum,,https://www.google.com/maps/place/Tomb+of+Bahu+Begum/data=!4m2!3m1!1s0x399a08a0b6552a43:0x7e17a7fae59ea412,,
Son Burj,,https://www.google.com/maps/place/Son+Burj/data=!4m2!3m1!1s0x390d1e1153f26b33:0x10a44333e8e812c1,,
Bara Lao Ka Gumbad,,https://www.google.com/maps/place/Bara+Lao+Ka+Gumbad/data=!4m2!3m1!1s0x390d1da1b6bfd357:0x82c2c11d77fbf254,,
Ancient Gumbad,,https://www.google.com/maps/place/Ancient+Gumbad/data=!4m2!3m1!1s0x390cd3dfed9ce64f:0x5f6136dd5231d19e,,
Mir Mardan Ali Zaidi Makbara,,https://www.google.com/maps/place/Mir+Mardan+Ali+Zaidi+Makbara/data=!4m2!3m1!1s0x397b5540b357e347:0xb7fd0081086d49a,,
Panihari Makbara,,https://www.google.com/maps/place/Panihari+Makbara/data=!4m2!3m1!1s0x397b5531761d7c39:0xe281a32cc1ff7535,,
Rani Roopmati-Baz Bahadur Tomb,,https://www.google.com/maps/place/Rani+Roopmati-Baz+Bahadur+Tomb/data=!4m2!3m1!1s0x397b556ec7ec8909:0xede800e9075b5bee,,
Dargah Hazratbal Shrine,,https://www.google.com/maps/place/Dargah+Hazratbal+Shrine/data=!4m2!3m1!1s0x38e185bc7a3fbbd9:0x9b6cf66822475e36,,
Tomb of Khudawand Khan,,https://www.google.com/maps/place/Tomb+of+Khudawand+Khan/data=!4m2!3m1!1s0x3be04e8b8d0b21ff:0x9e032d1837def659,,
Rumi ka makbara,,https://www.google.com/maps/place/Rumi+ka+makbara/data=!4m2!3m1!1s0x396375203c6bfaf5:0xea09b4d6774e3572,,
Afzal Khan's Cenotaph,,https://www.google.com/maps/place/Afzal+Khan's+Cenotaph/data=!4m2!3m1!1s0x3bc6ff1a6286dedb:0x22c4b5f72571c9ca,,
Mini Golgumbaz,,https://www.google.com/maps/place/Mini+Golgumbaz/data=!4m2!3m1!1s0x3bc655efb51665dd:0x91b463f0b911bfeb,,
Adil Shahi Mausoleum (Jahan Begum Tomb),,https://www.google.com/maps/place/Adil+Shahi+Mausoleum+(Jahan+Begum+Tomb)/data=!4m2!3m1!1s0x3bc654f1aac8a893:0xa4cdf2457376d412,,
Sufi Sarkar Peer Maabri Khandayat,,https://www.google.com/maps/place/Sufi+Sarkar+Peer+Maabri+Khandayat/data=!4m2!3m1!1s0x3bc6557b93de687f:0x5a78d79c9644f08b,,
Gol Gumbaz,,https://www.google.com/maps/place/Gol+Gumbaz/data=!4m2!3m1!1s0x3bc65574c0cdafa3:0xd964a78d4d2e25a6,,
Ibrahim Roza - Vijayapura,,https://www.google.com/maps/place/Ibrahim+Roza+-+Vijayapura/data=!4m2!3m1!1s0x3bc6ff833559619d:0xa9dec25fc76d370,,
"60 Graves monument, Afzal Khan's 60 wives' graves",,"https://www.google.com/maps/place/60+Graves+monument,+Afzal+Khan's+60+wives'+graves/data=!4m2!3m1!1s0x3bc6ff068a7d21d3:0x20c2c021ebbc9873",,
सय्यदमीर बाबा दर्गाह,,https://www.google.com/maps/place/%E0%A4%B8%E0%A4%AF%E0%A5%8D%E0%A4%AF%E0%A4%A6%E0%A4%AE%E0%A5%80%E0%A4%B0+%E0%A4%AC%E0%A4%BE%E0%A4%AC%E0%A4%BE+%E0%A4%A6%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A4%BE%E0%A4%B9/data=!4m2!3m1!1s0x3bdcadcd8a5ec3ef:0x230ba084153caba4,,
