Title,Note,URL,Tags,Comment
,,,,
Uchail Shankarpasha Shahi Jame Mosjid,,https://www.google.com/maps/place/Uchail+Shankarpasha+Shahi+Jame+Mosjid/data=!4m2!3m1!1s0x37515072e3b15f7d:0x87c8e15b54ed1159,,
Lat ki masjid,,https://www.google.com/maps/place/Lat+ki+masjid/data=!4m2!3m1!1s0x3912338c250e9def:0x583ef2d8803c6ede,,
Chalukya era Shri Pingleshwar Temple & Stepwell,,https://www.google.com/maps/place/Chalukya+era+Shri+Pingleshwar+Temple+%26+Stepwell/data=!4m2!3m1!1s0x3bd0224765ebabcb:0x6a0271588f9ebf7e,,
"Dhamekh Stupa, Sarnath",,"https://www.google.com/maps/place/Dhamekh+Stupa,+Sarnath/data=!4m2!3m1!1s0x398e2ec2c11a7a87:0x4462d0cd478e7d64",,
Harihar Temple,,https://www.google.com/maps/place/Harihar+Temple/data=!4m2!3m1!1s0x390b1f000292441b:0x912e416cf00be095,,
Magarmandi Mata Mandir Nimaj,,https://www.google.com/maps/place/Magarmandi+Mata+Mandir+Nimaj/data=!4m2!3m1!1s0x39698f795019dbff:0x59312996283a8726,,
Juafar Masjid.,,https://www.google.com/maps/place/Juafar+Masjid./data=!4m2!3m1!1s0x39f2edf013ffa241:0x357e1d4099e1a32d,,
Shahi Jama Masjid,,https://www.google.com/maps/place/Shahi+Jama+Masjid/data=!4m2!3m1!1s0x390d2584afde1bfb:0x4cf30cce79ae11ef,,
Jama Masjid,,https://www.google.com/maps/place/Jama+Masjid/data=!4m2!3m1!1s0x390acbfae0a80e6d:0xc8875eeb42c82d7d,,
Firoz Minar,,https://www.google.com/maps/place/Firoz+Minar/data=!4m2!3m1!1s0x39fa5575c230f937:0xaac373ee3824f947,,
Kherur Heritage Masjid,,https://www.google.com/maps/place/Kherur+Heritage+Masjid/data=!4m2!3m1!1s0x39fa31005d56140f:0x878814e70a4c1fd0,,
Tantipara Masjid,,https://www.google.com/maps/place/Tantipara+Masjid/data=!4m2!3m1!1s0x39fa550e4ff05069:0x6b604fc83a65b9aa,,
Patthar mahal Masjid,,https://www.google.com/maps/place/Patthar+mahal+Masjid/data=!4m2!3m1!1s0x3983415b36a6a3db:0x5fab158866aee80e,,
Jami Masjid - جامع مسجد,,https://www.google.com/maps/place/Jami+Masjid+-+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m2!3m1!1s0x39fa8d1355c179df:0x9eadefc5de09bbb3,,
Eklakhi Mausoleum,,https://www.google.com/maps/place/Eklakhi+Mausoleum/data=!4m2!3m1!1s0x39fae26436bc0c93:0x489eaffdbd101188,,
Ancient Darga,,https://www.google.com/maps/place/Ancient+Darga/data=!4m2!3m1!1s0x3bd123fa8144e175:0x378cfd0af693b067,,
Jama Masjid جامع مسجد,,https://www.google.com/maps/place/Jama+Masjid+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m2!3m1!1s0x397bc39a87966ec9:0x1491f167aaf22af,,
Jama Masjid - جامع مسجد,,https://www.google.com/maps/place/Jama+Masjid+-+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m2!3m1!1s0x397e8bb9cf20e3bf:0x2825f15696a7e2be,,
Shri Nand Bhavan 84 khamma Old Gokul Mahavan,,https://www.google.com/maps/place/Shri+Nand+Bhavan+84+khamma+Old+Gokul+Mahavan/data=!4m2!3m1!1s0x3973777f6c574755:0x498cb9791f5309c1,,
Khirki Masjid,,https://www.google.com/maps/place/Khirki+Masjid/data=!4m2!3m1!1s0x390ce18a834f5b11:0xe3e0b2844b3bf52a,,
Jama Masjid Saharanpur,,https://www.google.com/maps/place/Jama+Masjid+Saharanpur/data=!4m2!3m1!1s0x390eeba9c3e592c5:0xf0938fe412a4a9f7,,
جامع مسجد نادان محل Jama Masjid Nadan Mahal,,https://www.google.com/maps/place/%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF+%D9%86%D8%A7%D8%AF%D8%A7%D9%86+%D9%85%D8%AD%D9%84+Jama+Masjid+Nadan+Mahal%E2%80%AD/data=!4m2!3m1!1s0x399bfdc2e142785f:0x6ffa67e27a3590de,,
Bagha Shahi Mosque,,https://www.google.com/maps/place/Bagha+Shahi+Mosque/data=!4m2!3m1!1s0x39fc010e5c9b90b1:0xfd45d7b07741203c,,
Chhota Sona Mosjid( Small Golden Mosque),,https://www.google.com/maps/place/Chhota+Sona+Mosjid(+Small+Golden+Mosque)/data=!4m2!3m1!1s0x39fa549130cab603:0x79edcce4894a85be,,
"Hazrat Malik Shah Datar Dargah,Jalore Fort",,"https://www.google.com/maps/place/Hazrat+Malik+Shah+Datar+Dargah,Jalore+Fort/data=!4m2!3m1!1s0x394300d38a0d6ba3:0x2e67d333ffae3eb7",,
Aalamgir Masjid,,https://www.google.com/maps/place/Aalamgir+Masjid/data=!4m2!3m1!1s0x3bc33509ba952aeb:0xed853f1e69a9777f,,
Pyati Basavanna Temple,,https://www.google.com/maps/place/Pyati+Basavanna+Temple/data=!4m2!3m1!1s0x3bc7e3cc4fe2ac79:0xf1bb4e0d28ab2380,,
Ancient Temple Patanadevi,,https://www.google.com/maps/place/Ancient+Temple+Patanadevi/data=!4m2!3m1!1s0x3bdbf8bb5d796279:0x5be016359d313380,,
Jama Masjid Moradabad,,https://www.google.com/maps/place/Jama+Masjid+Moradabad/data=!4m2!3m1!1s0x390afbcaaebba3bb:0xc45bb24b38234aa,,
Usha Temple,,https://www.google.com/maps/place/Usha+Temple/data=!4m2!3m1!1s0x3973cbdf44e905bb:0xe898f1e3eb10ec4e,,
Dargah H. Surkh Abdal R. A.,,https://www.google.com/maps/place/Dargah+H.+Surkh+Abdal+R.+A./data=!4m2!3m1!1s0x3bc248a6537c319f:0xd44999134796b623,,
Eid Gah,,https://www.google.com/maps/place/Eid+Gah/data=!4m2!3m1!1s0x3bce3333ee655555:0xe13f4f2b6325c2aa,,
Masjid-e-gadhi,,https://www.google.com/maps/place/Masjid-e-gadhi/data=!4m2!3m1!1s0x3bcee033aaa439a1:0xb9009ffcfa41f59c,,
Shahi Jama Masjid,,https://www.google.com/maps/place/Shahi+Jama+Masjid/data=!4m2!3m1!1s0x395e6061d7544bcd:0x4a97bfe95eafb88b,,
