Title,Note,URL,Tags,Comment
,,,,
Ancient Temple,,https://www.google.com/maps/place/Ancient+Temple/data=!4m2!3m1!1s0x399d2c9b21e11ccd:0xe53a1aab4f51e88c,,
Kubja Sangam Shiva Mandir,,https://www.google.com/maps/place/Kubja+Sangam+Shiva+Mandir/data=!4m2!3m1!1s0x396213b4a6904fe9:0xccb0d601e4176ce5,,
Prachin Mahadev Mandir,,https://www.google.com/maps/place/Prachin+Mahadev+Mandir/data=!4m2!3m1!1s0x3960a19fce43f27b:0x865d686d32780515,,
Nilkanth Palace,,https://www.google.com/maps/place/Nilkanth+Palace/data=!4m2!3m1!1s0x396241d925e55555:0x6d798ec40ac24444,,
Shri puratathvik prachin shiv mandir,,https://www.google.com/maps/place/Shri+puratathvik+prachin+shiv+mandir/data=!4m2!3m1!1s0x396223a9f60f4ab3:0x8da4a65279c89a7b,,
Prachin Shiv Mandir,,https://www.google.com/maps/place/Prachin+Shiv+Mandir/data=!4m2!3m1!1s0x39661024160bd677:0x91220c2f17c614ae,,
Prachin Shiv Mandir,,https://www.google.com/maps/place/Prachin+Shiv+Mandir/data=!4m2!3m1!1s0x39840b2d78906e33:0x76d6c24af4c96f4d,,
Parvati Temple,,https://www.google.com/maps/place/Parvati+Temple/data=!4m2!3m1!1s0x3983bd5a6dcc43ab:0x55c2712cf64aefd9,,
Ancient Statues of Kachch and Machch,,https://www.google.com/maps/place/Ancient+Statues+of+Kachch+and+Machch/data=!4m2!3m1!1s0x3983f0a71cb5050b:0x485c9fd0176e6ead,,
Ganesh temple Rohtash garh Fort,,https://www.google.com/maps/place/Ganesh+temple+Rohtash+garh+Fort/data=!4m2!3m1!1s0x398c37c1668e4f91:0xa4d9a0602d2011ec,,
Shiva Temple Rohtasgarh Fort,,https://www.google.com/maps/place/Shiva+Temple+Rohtasgarh+Fort/data=!4m2!3m1!1s0x398c379110891a01:0xa724b509ef1c81ec,,
Chaurasan Shiv Mandir,,https://www.google.com/maps/place/Chaurasan+Shiv+Mandir/data=!4m2!3m1!1s0x398c379c060706ab:0x76a233959287f31e,,
Jamrehi Nath Temple,,https://www.google.com/maps/place/Jamrehi+Nath+Temple/data=!4m2!3m1!1s0x399b516fa162b89b:0x2a47cc6371af3fdc,,
Ekattarso Mahadev Mandir ( Chausath Yogini Temple ),,https://www.google.com/maps/place/Ekattarso+Mahadev+Mandir+(+Chausath+Yogini+Temple+)/data=!4m2!3m1!1s0x3976bc45420320f7:0x888bbd10a9c7d9b,,
Sri Chaya Someshwara Temple,,https://www.google.com/maps/place/Sri+Chaya+Someshwara+Temple/data=!4m2!3m1!1s0x3bcb2be0afae5df1:0x685abb9f11ea09f8,,
Shiv Mandir,,https://www.google.com/maps/place/Shiv+Mandir/data=!4m2!3m1!1s0x3bd6693ebec80061:0xb2d42bad2d302f33,,
Hooli ancient Temples,,https://www.google.com/maps/place/Hooli+ancient+Temples/data=!4m2!3m1!1s0x3bb8bb29312190b5:0x66d73df1e7438280,,
Rameshwar Temple,,https://www.google.com/maps/place/Rameshwar+Temple/data=!4m2!3m1!1s0x3bda330bc57d843b:0x13d2cc932b098fe0,,
"Kondeshwar Temple, Govindpur",,"https://www.google.com/maps/place/Kondeshwar+Temple,+Govindpur/data=!4m2!3m1!1s0x3bd6a579727bf54b:0x447a404e6a878308",,
Bramheswara Temple,,https://www.google.com/maps/place/Bramheswara+Temple/data=!4m2!3m1!1s0x3a19a0d47001a4cb:0x9b7114230f5958c8,,
Mamaleshwar Temple,,https://www.google.com/maps/place/Mamaleshwar+Temple/data=!4m2!3m1!1s0x38e23f9817420ced:0xc47afd24a98b2f38,,
Mahadev Mandir,,https://www.google.com/maps/place/Mahadev+Mandir/data=!4m2!3m1!1s0x3bdd953e739641ab:0x591a6cd1022a206f,,
Harsh Deval Temple (Protected Monument),,https://www.google.com/maps/place/Harsh+Deval+Temple+(Protected+Monument)/data=!4m2!3m1!1s0x3969f404a86b9e31:0x96f7c1985ebaee34,,
Laksha Vinayak Temple,,https://www.google.com/maps/place/Laksha+Vinayak+Temple/data=!4m2!3m1!1s0x3bdb92653a37ac53:0x5cc2fe664f1f0fe,,
Kukarra Math shiv temple कुकर्रामठ शिव मंदिर,,https://www.google.com/maps/place/Kukarra+Math+shiv+temple+%E0%A4%95%E0%A5%81%E0%A4%95%E0%A4%B0%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%A0+%E0%A4%B6%E0%A4%BF%E0%A4%B5+%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0/data=!4m2!3m1!1s0x398717cb0dacb935:0x9fa5f4b33649f57e,,
"Ancient Shiv Temple, Mahadwadi",,"https://www.google.com/maps/place/Ancient+Shiv+Temple,+Mahadwadi/data=!4m2!3m1!1s0x3a2cb7eca46c2fab:0x81ad4ee921848218",,
"Pancha lingeswara temple, nice place located at sedam",,"https://www.google.com/maps/place/Pancha+lingeswara+temple,+nice+place+located+at+sedam/data=!4m2!3m1!1s0x3bc919517e6c2d6f:0xa9ed2ff66135ac0c",,
MAHADEV MANDIR,,https://www.google.com/maps/place/MAHADEV+MANDIR/data=!4m2!3m1!1s0x3bc6c102396b8bf3:0x3368cd8b24f8700f,,
Shri Uma Swayambhu Rameshwara Temple,,https://www.google.com/maps/place/Shri+Uma+Swayambhu+Rameshwara+Temple/data=!4m2!3m1!1s0x3bc6dc1ac6bc5be1:0x79c41cc22e92a363,,
"Ramling Temple , Gursale",,"https://www.google.com/maps/place/Ramling+Temple+,+Gursale/data=!4m2!3m1!1s0x3bc3da27eec3200f:0x7f2ac5f7e152cb7d",,
Ruined Surya Narayan Temple,,https://www.google.com/maps/place/Ruined+Surya+Narayan+Temple/data=!4m2!3m1!1s0x3bc8d8d48b8facfd:0x8387a0e9b44c0aa8,,
"Chandika Mata Temple, Katol",,"https://www.google.com/maps/place/Chandika+Mata+Temple,+Katol/data=!4m2!3m1!1s0x3bd4575f6a35e289:0x3972ccc39aea8bc3",,
Bagha Shahi Mosque,,https://www.google.com/maps/place/Bagha+Shahi+Mosque/data=!4m2!3m1!1s0x39fc010e5c9b90b1:0xfd45d7b07741203c,,
Chhota Sona Mosjid( Small Golden Mosque),,https://www.google.com/maps/place/Chhota+Sona+Mosjid(+Small+Golden+Mosque)/data=!4m2!3m1!1s0x39fa549130cab603:0x79edcce4894a85be,,
Thenparagkundram Rock Cut Cave Temple,,https://www.google.com/maps/place/Thenparagkundram+Rock+Cut+Cave+Temple/data=!4m2!3m1!1s0x3b00cfd40af65d13:0x231539fa6b1243e1,,
Jagannath Temple Mansoon Mandir,,https://www.google.com/maps/place/Jagannath+Temple+Mansoon+Mandir/data=!4m2!3m1!1s0x399c50cf62b90591:0x481d438c31c9b0ea,,
Karchulipur ancient brick temple,,https://www.google.com/maps/place/Karchulipur+ancient+brick+temple/data=!4m2!3m1!1s0x399c5952e3ffffff:0x6d4f9ccb3b1d99c5,,
Kaalka Maa Mandir,,https://www.google.com/maps/place/Kaalka+Maa+Mandir/data=!4m2!3m1!1s0x3984c676dcab672d:0xed9fbeed3a219256,,
