Title,Note,URL,Tags,Comment
,,,,
Hindu/ Vishnu Temple,,https://www.google.com/maps/place/Hindu%2F+Vishnu+Temple/data=!4m2!3m1!1s0x3927580ca3df03a9:0x5d1d200daf1ddf60,,
Gulabgarh Temple,,https://www.google.com/maps/place/Gulabgarh+Temple/data=!4m2!3m1!1s0x3921b12588ce27ad:0x92fb9c55bb3c04d1,,
Lal Nath Mandir,,https://www.google.com/maps/place/Lal+Nath+Mandir/data=!4m2!3m1!1s0x392397fcaab5725f:0x40eb7960a58b1652,,
پرانا مندر,,https://www.google.com/maps/place/%D9%BE%D8%B1%D8%A7%D9%86%D8%A7+%D9%85%D9%86%D8%AF%D8%B1%E2%80%AD/data=!4m2!3m1!1s0x3921b109e58fb09b:0x2dc24492ef96272e,,
Jain Mandir,,https://www.google.com/maps/place/Jain+Mandir/data=!4m2!3m1!1s0x39191d3e485ebef7:0x3b20fe1ea6495812,,
Chalukya era Shiva Temple,,https://www.google.com/maps/place/Chalukya+era+Shiva+Temple/data=!4m2!3m1!1s0x3bd07756ff79358b:0xe8a42ddc5060e964,,
ANCIENT BALI TEMPLE,,https://www.google.com/maps/place/ANCIENT+BALI+TEMPLE/data=!4m2!3m1!1s0x3bd07785cc75cb29:0x790ae5631e329cbb,,
Shri Nrusinh Mandir Warud,,https://www.google.com/maps/place/Shri+Nrusinh+Mandir+Warud/data=!4m2!3m1!1s0x3bd06fe79ec10e0b:0x4ff37087ec5fb2e6,,
Ancient Shri Someshwara Temple (Haralahalli),,https://www.google.com/maps/place/Ancient+Shri+Someshwara+Temple+(Haralahalli)/data=!4m2!3m1!1s0x3bb9765c2bc5e7e1:0x2e15b92ac98b514b,,
Shri Anchaleshwar Mandir,,https://www.google.com/maps/place/Shri+Anchaleshwar+Mandir/data=!4m2!3m1!1s0x3bdcd2453813509b:0x12367bb9d3a81f0b,,
Suraj Kund,,https://www.google.com/maps/place/Suraj+Kund/data=!4m2!3m1!1s0x3976c68558488c1b:0xb67140ee1357b484,,
Sri Ganapeshwaralayam,,https://www.google.com/maps/place/Sri+Ganapeshwaralayam/data=!4m2!3m1!1s0x3a34f07128495267:0xd568dea7d86df38f,,
Vyas Badora temples,,https://www.google.com/maps/place/Vyas+Badora+temples/data=!4m2!3m1!1s0x398325f75a0dfd2f:0xbc2aed55f3487097,,
Ancient Hoysala Historical Shri Janardhana Swamy Temple,,https://www.google.com/maps/place/Ancient+Hoysala+Historical+Shri+Janardhana+Swamy+Temple/data=!4m2!3m1!1s0x3ba59f26a2a05aa1:0xb3961d3b27270c6f,,
Ancient Hoysal Shri Veerabhadra Someshwara Swamy Temple,,https://www.google.com/maps/place/Ancient+Hoysal+Shri+Veerabhadra+Someshwara+Swamy+Temple/data=!4m2!3m1!1s0x3ba5722b437f5375:0x241ea445b09e551d,,
Ancient Surya Mandir Ruins,,https://www.google.com/maps/place/Ancient+Surya+Mandir+Ruins/data=!4m2!3m1!1s0x395d8b006c3a1889:0xea68b87cb0dfa8cb,,
Rahila Sagar Sun Temple Mirtala,,https://www.google.com/maps/place/Rahila+Sagar+Sun+Temple+Mirtala/data=!4m2!3m1!1s0x3982cc629d27e459:0xacc9e4aaf6b475a3,,
Sphola Stupa,,https://www.google.com/maps/place/Sphola+Stupa/data=!4m2!3m1!1s0x38d90bdb3d879b7d:0x5317df97c9333e74,,
Shri Kshetra Mahamaya Temple ಶ್ರೀ ಕ್ಷೇತ್ರ ಮಹಾಮಾಯ ದೇವಸ್ಥಾನ,,https://www.google.com/maps/place/Shri+Kshetra+Mahamaya+Temple+%E0%B2%B6%E0%B3%8D%E0%B2%B0%E0%B3%80+%E0%B2%95%E0%B3%8D%E0%B2%B7%E0%B3%87%E0%B2%A4%E0%B3%8D%E0%B2%B0+%E0%B2%AE%E0%B2%B9%E0%B2%BE%E0%B2%AE%E0%B2%BE%E0%B2%AF+%E0%B2%A6%E0%B3%87%E0%B2%B5%E0%B2%B8%E0%B3%8D%E0%B2%A5%E0%B2%BE%E0%B2%A8/data=!4m2!3m1!1s0x3bb84f3460841525:0x3cc69cdacca34f0d,,
Shree Malai Mataji Temple Palodar,,https://www.google.com/maps/place/Shree+Malai+Mataji+Temple+Palodar/data=!4m2!3m1!1s0x395c42f41f5fb8b5:0xa749f87a526339b3,,
Hinglaj Mata Temple Khandosan,,https://www.google.com/maps/place/Hinglaj+Mata+Temple+Khandosan/data=!4m2!3m1!1s0x395c5afe0fb81759:0x79a7adfb8402f65e,,
Chalukya style Ancient Temple,,https://www.google.com/maps/place/Chalukya+style+Ancient+Temple/data=!4m2!3m1!1s0x3bddf33afcb5b109:0x653866a48c84657a,,
Ancient Hemadpanti Shiv Temple (Very Old),,https://www.google.com/maps/place/Ancient+Hemadpanti+Shiv+Temple+(Very+Old)/data=!4m2!3m1!1s0x3bddfd0c8a662ee5:0x3c60a305cf607271,,
Ruins of Mari Indus Hindu Temple,,https://www.google.com/maps/place/Ruins+of+Mari+Indus+Hindu+Temple/data=!4m2!3m1!1s0x39275db067399e83:0x2ee57a0fe392cc92,,
Old Mandir,,https://www.google.com/maps/place/Old+Mandir/data=!4m2!3m1!1s0x39275d5d100c9ba1:0xe29436e8bee185ea,,
Danteshwar Mahadev Mandir,,https://www.google.com/maps/place/Danteshwar+Mahadev+Mandir/data=!4m2!3m1!1s0x3956f1b8a9257caf:0xf92465fac2cd29fa,,
Paddhargadh Manjal,,https://www.google.com/maps/place/Paddhargadh+Manjal/data=!4m2!3m1!1s0x395113d538c83771:0x3f0bad3a794ddd87,,
Vishnu Temple,,https://www.google.com/maps/place/Vishnu+Temple/data=!4m2!3m1!1s0x3941b103f7084bff:0x59799776cae00a3,,
Shiv Mandir,,https://www.google.com/maps/place/Shiv+Mandir/data=!4m2!3m1!1s0x396a0a31c3ce8eeb:0x9d7d736f06b157d5,,
Kapileshwar Mahadev Temple Sardarpura(wav),,https://www.google.com/maps/place/Kapileshwar+Mahadev+Temple+Sardarpura(wav)/data=!4m2!3m1!1s0x395b36a9b87b5fff:0x78ebf69bdcbcb4b7,,
Sun Temple Varman,,https://www.google.com/maps/place/Sun+Temple+Varman/data=!4m2!3m1!1s0x395ccd27f0435325:0x1943c4237cd1103f,,
"Moghiya Shib Temple, Kachua, Bagerhat",,"https://www.google.com/maps/place/Moghiya+Shib+Temple,+Kachua,+Bagerhat/data=!4m2!3m1!1s0x39fff91ffd5a8e2d:0xf4e08231ff400c84",,
যোগীর থান,,https://www.google.com/maps/place/%E0%A6%AF%E0%A7%8B%E0%A6%97%E0%A7%80%E0%A6%B0+%E0%A6%A5%E0%A6%BE%E0%A6%A8/data=!4m2!3m1!1s0x39fc854b4d2aefa5:0x3893dc418d5a6065,,
Bihar Dhap,,https://www.google.com/maps/place/Bihar+Dhap/data=!4m2!3m1!1s0x39fcf9172d6459f3:0x6c29b0c0d8da1bff,,
Itakhola Mura,,https://www.google.com/maps/place/Itakhola+Mura/data=!4m2!3m1!1s0x37547c25934c7e51:0xde9c6f91b223ff83,,
Sharda Mandir (Shardibal),,https://www.google.com/maps/place/Sharda+Mandir+(Shardibal)/data=!4m2!3m1!1s0x38e16d90a0682259:0x4d74b761fbf22e95,,
Kadwaha Temples (Group 4),,https://www.google.com/maps/place/Kadwaha+Temples+(Group+4)/data=!4m2!3m1!1s0x397a1d46d862983d:0x6a77413613dc9b6a,,
"Mandir Shri Thakur Haridev Ji Maharaj, Govardhan",,"https://www.google.com/maps/place/Mandir+Shri+Thakur+Haridev+Ji+Maharaj,+Govardhan/data=!4m2!3m1!1s0x39730e7df841c753:0xc3d7a8b0e8fc9f75",,
Lohare Palpeshwar Caves,,https://www.google.com/maps/place/Lohare+Palpeshwar+Caves/data=!4m2!3m1!1s0x3bc25c6627bee0bb:0xed3d036e00e05444,,
"Shree Hucchimalli Temple,Aihole",,"https://www.google.com/maps/place/Shree+Hucchimalli+Temple,Aihole/data=!4m2!3m1!1s0x3bb8783124311d55:0xb483bdbc76d9891a",,
Hoysala Eshwara temple,,https://www.google.com/maps/place/Hoysala+Eshwara+temple/data=!4m2!3m1!1s0x3ba5590060489fb5:0xb13d7d8a32e0cf6b,,
Hoysala era Shri Lakshmikantha Temple (Mulluru),,https://www.google.com/maps/place/Hoysala+era+Shri+Lakshmikantha+Temple+(Mulluru)/data=!4m2!3m1!1s0x3baf588dcee1766d:0xcc9a0800d50b1196,,
Pandav Temple,,https://www.google.com/maps/place/Pandav+Temple/data=!4m2!3m1!1s0x391e37c9dfcf095b:0x7825532774ea889f,,
Firangai Devi Temple,,https://www.google.com/maps/place/Firangai+Devi+Temple/data=!4m2!3m1!1s0x3bc100085952380d:0x4e6df78646aa5714,,
Kapileshwara Mahadev Mandir,,https://www.google.com/maps/place/Kapileshwara+Mahadev+Mandir/data=!4m2!3m1!1s0x3be05f5be9b3b519:0x81cf446565236636,,
Ruins of an ancient temple complex,,https://www.google.com/maps/place/Ruins+of+an+ancient+temple+complex/data=!4m2!3m1!1s0x39511f006445a8c1:0x19d557251563cffa,,
Surya Mandir Kotay,,https://www.google.com/maps/place/Surya+Mandir+Kotay/data=!4m2!3m1!1s0x3950fb6a320cc445:0x63911718430f8fed,,
"Bhuvaneshwar Shiva ટેમ્પલ, (મહંત રાહુલગીરી બાપુ)",,"https://www.google.com/maps/place/Bhuvaneshwar+Shiva+%E0%AA%9F%E0%AB%87%E0%AA%AE%E0%AB%8D%E0%AA%AA%E0%AA%B2,+(%E0%AA%AE%E0%AA%B9%E0%AA%82%E0%AA%A4+%E0%AA%B0%E0%AA%BE%E0%AA%B9%E0%AB%81%E0%AA%B2%E0%AA%97%E0%AB%80%E0%AA%B0%E0%AB%80+%E0%AA%AC%E0%AA%BE%E0%AA%AA%E0%AB%81)/data=!4m2!3m1!1s0x3950c57be3453981:0x8149122d194784d5",,
