Title,Note,URL,Tags,Comment
,,,,
Masjid mughal sarai,,https://www.google.com/maps/place/Masjid+mughal+sarai/data=!4m2!3m1!1s0x390fc5006a36a239:0x183698866a625ea9,,
KATRA MASJID,,https://www.google.com/maps/place/KATRA+MASJID/data=!4m2!3m1!1s0x39fbd654a76d1d91:0xf578cc1ccf565936,,
Uchail Shankarpasha Shahi Jame Mosjid,,https://www.google.com/maps/place/Uchail+Shankarpasha+Shahi+Jame+Mosjid/data=!4m2!3m1!1s0x37515072e3b15f7d:0x87c8e15b54ed1159,,
Mohammad Pannah Masjid,,https://www.google.com/maps/place/Mohammad+Pannah+Masjid/data=!4m2!3m1!1s0x39511e01aba38589:0x36b9f0f21f6b8371,,
Lat ki masjid,,https://www.google.com/maps/place/Lat+ki+masjid/data=!4m2!3m1!1s0x3912338c250e9def:0x583ef2d8803c6ede,,
Dargah of Zafar Khan Ghazi,,https://www.google.com/maps/place/Dargah+of+Zafar+Khan+Ghazi/data=!4m2!3m1!1s0x39f893586d7d1a3d:0x433b21a5ea2ebe1a,,
Shaik roza,,https://www.google.com/maps/place/Shaik+roza/data=!4m2!3m1!1s0x3bc8b9668b85c6ef:0x3edc1c8d69112b1f,,
Sunehri Masjid,,https://www.google.com/maps/place/Sunehri+Masjid/data=!4m2!3m1!1s0x390cfd1e2ed1ec0d:0xb341e6c5c83f65e7,,
Goaldi Mosque,,https://www.google.com/maps/place/Goaldi+Mosque/data=!4m2!3m1!1s0x3755b350443c3081:0x61c4b3eb7c4e75c8,,
Hazrat Haji Khaja Shahbaz Jame Masjid,,https://www.google.com/maps/place/Hazrat+Haji+Khaja+Shahbaz+Jame+Masjid/data=!4m2!3m1!1s0x3755b8ef0f81925f:0x419985cb087b60d9,,
Kartalab Khan Masjid,,https://www.google.com/maps/place/Kartalab+Khan+Masjid/data=!4m2!3m1!1s0x3755b8e226f07bf3:0x672cb72c22057ac0,,
Kherua Masjid,,https://www.google.com/maps/place/Kherua+Masjid/data=!4m2!3m1!1s0x39fdb32205afae79:0x3ac0c0b2eda7dd3a,,
Dai Anga Masjid,,https://www.google.com/maps/place/Dai+Anga+Masjid/data=!4m2!3m1!1s0x39191b39c79c760b:0xf6635c859122fee0,,
HASTSAL Minar (mini qutub minar),,https://www.google.com/maps/place/HASTSAL+Minar+(mini+qutub+minar)/data=!4m2!3m1!1s0x390d0553b62fc48b:0x4028d425e4191d3e,,
Mahabat Khan Mosque,,https://www.google.com/maps/place/Mahabat+Khan+Mosque/data=!4m2!3m1!1s0x38d93d62bd2030c7:0x3fcdfb776487cdf6,,
Masjid Imambada,,https://www.google.com/maps/place/Masjid+Imambada/data=!4m2!3m1!1s0x399ed471d86e3abf:0x25e9ca2eaf4395a1,,
Odathil Masjid,,https://www.google.com/maps/place/Odathil+Masjid/data=!4m2!3m1!1s0x3ba426519eeaa297:0xf5901765e47ee761,,
Wasif Manzil,,https://www.google.com/maps/place/Wasif+Manzil/data=!4m2!3m1!1s0x39fbd7007376481d:0x6a2625543184707e,,
Nawab Shahi Jame Mosque Dhanbari,,https://www.google.com/maps/place/Nawab+Shahi+Jame+Mosque+Dhanbari/data=!4m2!3m1!1s0x39fd88fbab1cbfeb:0x365e128cd459ef6d,,
Jama Masjid Shahganj,,https://www.google.com/maps/place/Jama+Masjid+Shahganj/data=!4m2!3m1!1s0x399a127807eeb7f9:0xbc73acdb97bf32a9,,
Tomb of Shah Quli Khan,,https://www.google.com/maps/place/Tomb+of+Shah+Quli+Khan/data=!4m2!3m1!1s0x3912b5ed48da14dd:0x983eb077655bd062,,
Malwa Fort,,https://www.google.com/maps/place/Malwa+Fort/data=!4m2!3m1!1s0x397d97f221e64ccd:0xe632f1ee678f3adc,,
Teen Gumbad (Masjid),,https://www.google.com/maps/place/Teen+Gumbad+(Masjid)/data=!4m2!3m1!1s0x39626b00229c05c5:0x93b741c0aa362c3,,
Peer Ki Gali,,https://www.google.com/maps/place/Peer+Ki+Gali/data=!4m2!3m1!1s0x38e1dc14ba8b876f:0xab94b80901f6ea4d,,
Saleempur Fort Mosque,,https://www.google.com/maps/place/Saleempur+Fort+Mosque/data=!4m2!3m1!1s0x399bdd71eef598f7:0x8c5db9118e1e7d92,,
JAMA MASJID,,https://www.google.com/maps/place/JAMA+MASJID/data=!4m2!3m1!1s0x390d2f435645c521:0xf374efcc8bbea57f,,
Jama masjid Karimia & Dargah,,https://www.google.com/maps/place/Jama+masjid+Karimia+%26+Dargah/data=!4m2!3m1!1s0x390d1fb54c8208ab:0xd35bb43efb4a732,,
Shahi Jama Masjid,,https://www.google.com/maps/place/Shahi+Jama+Masjid/data=!4m2!3m1!1s0x390d2584afde1bfb:0x4cf30cce79ae11ef,,
Jama Masjid,,https://www.google.com/maps/place/Jama+Masjid/data=!4m2!3m1!1s0x390cddbca5b250eb:0xd1e2eb05824c0f5e,,
Jama Masjid Jajau Sarai,,https://www.google.com/maps/place/Jama+Masjid+Jajau+Sarai/data=!4m2!3m1!1s0x3973f7006b90b249:0x242d45a8fe830aa0,,
Jama Masjid,,https://www.google.com/maps/place/Jama+Masjid/data=!4m2!3m1!1s0x390eee0c42650f65:0xb12e45eb5987a98f,,
Jama Masjid,,https://www.google.com/maps/place/Jama+Masjid/data=!4m2!3m1!1s0x3974873b003e0e77:0xa29200fe5f675bb2,,
Jama Masjid,,https://www.google.com/maps/place/Jama+Masjid/data=!4m2!3m1!1s0x390afbbeb816f1fb:0x2c1923fe18a27f0a,,
Jama Masjid,,https://www.google.com/maps/place/Jama+Masjid/data=!4m2!3m1!1s0x397519d36301a045:0xca612f8c8a7062dd,,
Jama Masjid,,https://www.google.com/maps/place/Jama+Masjid/data=!4m2!3m1!1s0x390acbfae0a80e6d:0xc8875eeb42c82d7d,,
Mirzapur Shahi Jame Masjid,,https://www.google.com/maps/place/Mirzapur+Shahi+Jame+Masjid/data=!4m2!3m1!1s0x39e4f30971a69d75:0x1b82e213a45c58db,,
Mirzapur Imaambara,,https://www.google.com/maps/place/Mirzapur+Imaambara/data=!4m2!3m1!1s0x39e4f333bc209911:0xfe36bcbace04ad8d,,
Firoz Minar,,https://www.google.com/maps/place/Firoz+Minar/data=!4m2!3m1!1s0x39fa5575c230f937:0xaac373ee3824f947,,
Kherur Heritage Masjid,,https://www.google.com/maps/place/Kherur+Heritage+Masjid/data=!4m2!3m1!1s0x39fa31005d56140f:0x878814e70a4c1fd0,,
Nayabad Masjid,,https://www.google.com/maps/place/Nayabad+Masjid/data=!4m2!3m1!1s0x39e4ae4411ab81fd:0x9dd1665491197665,,
Tantipara Masjid,,https://www.google.com/maps/place/Tantipara+Masjid/data=!4m2!3m1!1s0x39fa550e4ff05069:0x6b604fc83a65b9aa,,
Kismat Maria Masjid,,https://www.google.com/maps/place/Kismat+Maria+Masjid/data=!4m2!3m1!1s0x39fbf5ea83fcc8fd:0x117cdc1a4273fc5c,,
Patthar mahal Masjid,,https://www.google.com/maps/place/Patthar+mahal+Masjid/data=!4m2!3m1!1s0x3983415b36a6a3db:0x5fab158866aee80e,,
Baradari,,https://www.google.com/maps/place/Baradari/data=!4m2!3m1!1s0x39fa8dff1a0312cd:0x451a2746c5e8ab91,,
Jami Masjid - جامع مسجد,,https://www.google.com/maps/place/Jami+Masjid+-+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m2!3m1!1s0x39fa8d1355c179df:0x9eadefc5de09bbb3,,
Chhoto Sona Masjid,,https://www.google.com/maps/place/Chhoto+Sona+Masjid/data=!4m2!3m1!1s0x39fae266818f4851:0x9016d6b581fc70c4,,
