Title,Note,URL,Tags,Comment
,,,,
Laddan Fort.,,https://www.google.com/maps/place/Laddan+Fort./data=!4m2!3m1!1s0x391dcdf2b6782881:0x6ada9b9d84e31a15,,
Sivan Temple,,https://www.google.com/maps/place/Sivan+Temple/data=!4m2!3m1!1s0x3b047ccd886d1943:0x9e0bf40caf5412a6,,
Uvari Sri Suyambulinga Swamy Temple,,https://www.google.com/maps/place/Uvari+Sri+Suyambulinga+Swamy+Temple/data=!4m2!3m1!1s0x3b04805dfaa55145:0xebcfb9e62e50719f,,
Mahadevar Temple,,https://www.google.com/maps/place/Mahadevar+Temple/data=!4m2!3m1!1s0x3b04f951f8931735:0xc119836df1af70b6,,
"Shivalayam 10, Thiruvithamcode Arulmigu Mahadevar Temple",,"https://www.google.com/maps/place/Shivalayam+10,+Thiruvithamcode+Arulmigu+Mahadevar+Temple/data=!4m2!3m1!1s0x3b04f8d7878a4575:0xde7038cdd53a681d",,
Arulmigu Idar Theertha Perumal Kovil,,https://www.google.com/maps/place/Arulmigu+Idar+Theertha+Perumal+Kovil/data=!4m2!3m1!1s0x3b04f13d1f224aff:0x5cedc32110114d7b,,
Velimalai Sri Kumaraswamy Temple,,https://www.google.com/maps/place/Velimalai+Sri+Kumaraswamy+Temple/data=!4m2!3m1!1s0x3b04f84bfe2793b3:0x903df9a1ba52d678,,
Arulmigu Keralapuram Mahadevar and Adhishaya Vinayagar Temple,,https://www.google.com/maps/place/Arulmigu+Keralapuram+Mahadevar+and+Adhishaya+Vinayagar+Temple/data=!4m2!3m1!1s0x3b04f8dd7a577e07:0x1383c6c8f05fdc92,,
Karneshwar Mahadev Temple,,https://www.google.com/maps/place/Karneshwar+Mahadev+Temple/data=!4m2!3m1!1s0x3962d9b4f56c6d97:0x1986c99d86ca7ad9,,
Bada Mandir Ambesar,,https://www.google.com/maps/place/Bada+Mandir+Ambesar/data=!4m2!3m1!1s0x39691b20b73b6719:0x9d1dd4900761a1c9,,
Gopal Temple,,https://www.google.com/maps/place/Gopal+Temple/data=!4m2!3m1!1s0x396efb8007dbf5eb:0x78e4cce9286ffd12,,
Akneswar Mahadev Temple,,https://www.google.com/maps/place/Akneswar+Mahadev+Temple/data=!4m2!3m1!1s0x396efba69c7801b5:0x231155afeb9be43e,,
Hindu/ Vishnu Temple,,https://www.google.com/maps/place/Hindu%2F+Vishnu+Temple/data=!4m2!3m1!1s0x3927580ca3df03a9:0x5d1d200daf1ddf60,,
Prachin Thakubaari,,https://www.google.com/maps/place/Prachin+Thakubaari/data=!4m2!3m1!1s0x398d500856073dd1:0x393b4f5812ae0d2b,,
Narmada Mandir,,https://www.google.com/maps/place/Narmada+Mandir/data=!4m2!3m1!1s0x39879163a17d89e9:0x915f99e33a56b6b1,,
Shiv Mandir,,https://www.google.com/maps/place/Shiv+Mandir/data=!4m2!3m1!1s0x3984f3287e11fe37:0x4cf29445d203f3c5,,
"Very Old Shiv Temple, Jurmaniya",,"https://www.google.com/maps/place/Very+Old+Shiv+Temple,+Jurmaniya/data=!4m2!3m1!1s0x39845eb01bef39fb:0x189fe19d3d6140f6",,
SHIV Temple PARASI,,https://www.google.com/maps/place/SHIV+Temple+PARASI/data=!4m2!3m1!1s0x39850426fb0f386f:0xa61138e43ca4dcf9,,
Gola math temple,,https://www.google.com/maps/place/Gola+math+temple/data=!4m2!3m1!1s0x39838b281787c973:0x97821d47b9c1e6e9,,
Sri Parvathi Parameshwara devasthanam,,https://www.google.com/maps/place/Sri+Parvathi+Parameshwara+devasthanam/data=!4m2!3m1!1s0x3bcbe466cdbca65b:0x6e0c5cfc11882775,,
Meenakshipuram Rock cut cave temple,,https://www.google.com/maps/place/Meenakshipuram+Rock+cut+cave+temple/data=!4m2!3m1!1s0x3b00c18df95a4c63:0x1225d10abf39dc98,,
Kudaivarai Shri Sivan Temple (Arittapatti),,https://www.google.com/maps/place/Kudaivarai+Shri+Sivan+Temple+(Arittapatti)/data=!4m2!3m1!1s0x3b00c00de21d1df3:0x51a3fae80d9adccf,,
Bettada Shri Chikkathirupati Venkateshwara Swamy Temple,,https://www.google.com/maps/place/Bettada+Shri+Chikkathirupati+Venkateshwara+Swamy+Temple/data=!4m2!3m1!1s0x3bafbe2a601c97b1:0x28bc6432cb9ef288,,
Sri Dodda Beereshwara Swamy Temple,,https://www.google.com/maps/place/Sri+Dodda+Beereshwara+Swamy+Temple/data=!4m2!3m1!1s0x3bafad9f7cd46eab:0x91126687b22afcc1,,
Shri Bettada Thimmappaswamy Temple,,https://www.google.com/maps/place/Shri+Bettada+Thimmappaswamy+Temple/data=!4m2!3m1!1s0x3bafb2365f72f8a7:0x30fe69de8dac32c0,,
Sri Annadaaneshwara Matha (Halakere),,https://www.google.com/maps/place/Sri+Annadaaneshwara+Matha+(Halakere)/data=!4m2!3m1!1s0x3bb85cbc56cb28cf:0x98a4de2efc912395,,
Sri Ranganatha swamy temple,,https://www.google.com/maps/place/Sri+Ranganatha+swamy+temple/data=!4m2!3m1!1s0x3ba53ffc91eaef77:0x5f3c7723000d9d0a,,
Anciant Hoysala Shri Yoga Narasimha temple,,https://www.google.com/maps/place/Anciant+Hoysala+Shri+Yoga+Narasimha+temple/data=!4m2!3m1!1s0x3ba525c174f28fc5:0x953005bd376c5605,,
Ancient Hoysala Shri Lakshmi Janardhana Swami Temple,,https://www.google.com/maps/place/Ancient+Hoysala+Shri+Lakshmi+Janardhana+Swami+Temple/data=!4m2!3m1!1s0x3ba53af610ad23fb:0x6cbd9fae02b67a21,,
Ancient Shri Gopalakrishna Temple,,https://www.google.com/maps/place/Ancient+Shri+Gopalakrishna+Temple/data=!4m2!3m1!1s0x3bbbfde4c389d19f:0xf1c309ba14d05d5f,,
Ancient Shri Narasimhaswamy Temple,,https://www.google.com/maps/place/Ancient+Shri+Narasimhaswamy+Temple/data=!4m2!3m1!1s0x3bbbf9ee34da10e5:0xb8fcfbca1f15af8e,,
Subarnameru Shiva Mandir,,https://www.google.com/maps/place/Subarnameru+Shiva+Mandir/data=!4m2!3m1!1s0x3a23e799a72a465d:0xbf5c9179b3c6e2bb,,
Shree KanaviShiddeshwar Temple.(Kanavi),,https://www.google.com/maps/place/Shree+KanaviShiddeshwar+Temple.(Kanavi)/data=!4m2!3m1!1s0x3bbbcff7d2662781:0xa4bfb2b7d870f097,,
Nrusinghanath Temple,,https://www.google.com/maps/place/Nrusinghanath+Temple/data=!4m2!3m1!1s0x3a25d72b3e0f5a0f:0x4810ec22239a22bb,,
Budharaja Mandir,,https://www.google.com/maps/place/Budharaja+Mandir/data=!4m2!3m1!1s0x3a21168b65c0abbf:0x403c760cf6c6f4f6,,
Ancient Sri Veerabhadreshwara Swamy Temple || Neralagi,,https://www.google.com/maps/place/Ancient+Sri+Veerabhadreshwara+Swamy+Temple+%7C%7C+Neralagi/data=!4m2!3m1!1s0x3bb9578c0ee01ddd:0x279ddc4e40d1929f,,
Revanasiddeswara Temple Navanagara Bagalkot,,https://www.google.com/maps/place/Revanasiddeswara+Temple+Navanagara+Bagalkot/data=!4m2!3m1!1s0x3bc77913beb8999b:0xf6462ee27f023e25,,
Shri Gudde Hanumantha Temple,,https://www.google.com/maps/place/Shri+Gudde+Hanumantha+Temple/data=!4m2!3m1!1s0x3bc780dc14a12b55:0x53a14059497697d2,,
"Ayyanagudi, Sri Gangadhareshwar Temple",,"https://www.google.com/maps/place/Ayyanagudi,+Sri+Gangadhareshwar+Temple/data=!4m2!3m1!1s0x3bc7fa4f05113fdb:0x72b88c182e976400",,
"Shree Mangaladevi Temple,Mangalagudda",,"https://www.google.com/maps/place/Shree+Mangaladevi+Temple,Mangalagudda/data=!4m2!3m1!1s0x3bb87bd8e2702125:0x18ab4605e41e57f8",,
Shri Digambareshwar Temple,,https://www.google.com/maps/place/Shri+Digambareshwar+Temple/data=!4m2!3m1!1s0x3bc77308e83e01d3:0xbe9fe1c177fd92c6,,
Ancient Shri Kalmeshwara Temple (Rakkasagi),,https://www.google.com/maps/place/Ancient+Shri+Kalmeshwara+Temple+(Rakkasagi)/data=!4m2!3m1!1s0x3bb876190959a40d:0xe10b0a513332b256,,
Gennur Mahalaxmi new temple,,https://www.google.com/maps/place/Gennur+Mahalaxmi+new+temple/data=!4m2!3m1!1s0x3bc70dc0b8814245:0x6acdcb1c00b37ea4,,
