Title,Note,URL,Tags,Comment
,,,,
"Noldenga Fort,Telwa bazar",,"https://www.google.com/maps/place/Noldenga+Fort,Telwa+bazar/data=!4m2!3m1!1s0x39f1738d5ca4f59d:0x466dfda8e7d4a6a3",,
Fort Of Jasana,,https://www.google.com/maps/place/Fort+Of+Jasana/data=!4m2!3m1!1s0x3914031c0304be7b:0x70e5e8348a8ae3d8,,
MPT Samrat Vikramaditya The Heritage,,https://www.google.com/maps/place/MPT+Samrat+Vikramaditya+The+Heritage/data=!4m2!3m1!1s0x396375006d47b4b3:0x3c88c5b43d28a03a,,
"chandrachud wada, Kanhersar",,"https://www.google.com/maps/place/chandrachud+wada,+Kanhersar/data=!4m2!3m1!1s0x3bc2cdaa9d7b7ff9:0x6c67fad89345c45e",,
Rajwada Bhale DNSB,,https://www.google.com/maps/place/Rajwada+Bhale+DNSB/data=!4m2!3m1!1s0x3bc22f2ebf141ea5:0x24c677a4e9816ccd,,
Adalat Rajwada,,https://www.google.com/maps/place/Adalat+Rajwada/data=!4m2!3m1!1s0x3bc23988cedd220d:0x26f830a44416d967,,
Rajwada(pavnaai devi),,https://www.google.com/maps/place/Rajwada(pavnaai+devi)/data=!4m2!3m1!1s0x3bbf710038b3b033:0x9a9257187f523a71,,
Nipani fort,,https://www.google.com/maps/place/Nipani+fort/data=!4m2!3m1!1s0x3bc0f3a8f0a0a3c9:0xda40fbb3b6d6df53,,
Nanibai Wada (Shahu Chikhali ),,https://www.google.com/maps/place/Nanibai+Wada+(Shahu+Chikhali+)/data=!4m2!3m1!1s0x3bc0f1ceeddef885:0x4c254ea27d7dcdf7,,
Kadavur Jamin Palace,,https://www.google.com/maps/place/Kadavur+Jamin+Palace/data=!4m2!3m1!1s0x3baa110055bb70fd:0x9f55ebc3654acec6,,
Sivagangai Palace,,https://www.google.com/maps/place/Sivagangai+Palace/data=!4m2!3m1!1s0x3b00fadaae3b1273:0xeb27ec93b616dc03,,
शिवापूर वाडा - Shivapur Wada,,https://www.google.com/maps/place/%E0%A4%B6%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%AA%E0%A5%82%E0%A4%B0+%E0%A4%B5%E0%A4%BE%E0%A4%A1%E0%A4%BE+-+Shivapur+Wada/data=!4m2!3m1!1s0x3bc293141a7e6d03:0x2377ea08700ed333,,
The Maharaja Palace (Sarkar Wada),,https://www.google.com/maps/place/The+Maharaja+Palace+(Sarkar+Wada)/data=!4m2!3m1!1s0x395fc58a11b2c555:0xeae221f933ea663d,,
Malancha Niwas,,https://www.google.com/maps/place/Malancha+Niwas/data=!4m2!3m1!1s0x3753f6aa51b6c1ff:0xb3ce2ba4e235b5a8,,
Baniachong Raj Bari,,https://www.google.com/maps/place/Baniachong+Raj+Bari/data=!4m2!3m1!1s0x375137fbb68f8767:0x3732014d28406ded,,
Gourarang Zamindar Bari,,https://www.google.com/maps/place/Gourarang+Zamindar+Bari/data=!4m2!3m1!1s0x3750dbc1f7d91b55:0xa6ca5e4b7307d9d0,,
Puthiya kovilakam Heritage,,https://www.google.com/maps/place/Puthiya+kovilakam+Heritage/data=!4m2!3m1!1s0x3ba63b82ea61e7e9:0x6d26896d36030beb,,
Nanacha wada(pawar),,https://www.google.com/maps/place/Nanacha+wada(pawar)/data=!4m2!3m1!1s0x3bc17b60958e51fd:0x65ce9a72d75c8cb4,,
Piplia Fort,,https://www.google.com/maps/place/Piplia+Fort/data=!4m2!3m1!1s0x3965dde1cc48b4d1:0x9748f24555bf1bc1,,
Maharaj wada Palace,,https://www.google.com/maps/place/Maharaj+wada+Palace/data=!4m2!3m1!1s0x39637574924fa3cb:0x56e8df2a947c3166,,
The Rajbari Bawali,,https://www.google.com/maps/place/The+Rajbari+Bawali/data=!4m2!3m1!1s0x3a02638485f17a41:0xc6346db33381c513,,
Shanghumugham Palace,,https://www.google.com/maps/place/Shanghumugham+Palace/data=!4m2!3m1!1s0x3b05bc8744a0ea35:0x6c44a1db0ad7b6be,,
Kushak mahal,,https://www.google.com/maps/place/Kushak+mahal/data=!4m2!3m1!1s0x390ce306a50ebf25:0xfdf6ac540b15c337,,
Mukhi House Museum,,https://www.google.com/maps/place/Mukhi+House+Museum/data=!4m2!3m1!1s0x394c71f8da7a0165:0xd7c0266a4d269f85,,
The Calico Museum of Textiles,,https://www.google.com/maps/place/The+Calico+Museum+of+Textiles/data=!4m2!3m1!1s0x395e8472b482907f:0x4e40a0c83ece73b5,,
