Title,Note,URL,Tags,Comment
,,,,
varakhsha,,https://www.google.com/maps/place/varakhsha/data=!4m2!3m1!1s0x3f5a9616e5555555:0x88ff7631053352bc,,
Ancient Wall of Balkh,,https://www.google.com/maps/place/Ancient+Wall+of+Balkh/data=!4m2!3m1!1s0x3f34ef0fbc230eb7:0xf8171945def37d75,,
Subashi Ancient City,,https://www.google.com/maps/place/Subashi+Ancient+City/data=!4m2!3m1!1s0x386e5029341e7eed:0x3b32901c18e1ab17,,
Kal'ai Mug,,https://www.google.com/maps/place/Kal'ai+Mug/data=!4m2!3m1!1s0x38b17934291beb07:0x69491515f492127e,,
Herat Citadel,,https://www.google.com/maps/place/Herat+Citadel/data=!4m2!3m1!1s0x3f3ce6dc4581a51d:0xd862ea320d4ae6a2,,
Ancient Balkh Archeological Site,,https://www.google.com/maps/place/Ancient+Balkh+Archeological+Site/data=!4m2!3m1!1s0x3f34eeb4fb9c8e85:0x5c9b20afec89bf0b,,
Historical Museum of Sughd Region,,https://www.google.com/maps/place/Historical+Museum+of+Sughd+Region/data=!4m2!3m1!1s0x38b1b3abad6ef5bb:0xfb2b940e964a1efe,,
Palace of Khudáyár Khán,,https://www.google.com/maps/place/Palace+of+Khud%C3%A1y%C3%A1r+Kh%C3%A1n/data=!4m2!3m1!1s0x38baeec3c33d7347:0xc2c6c765f877a9de,,
Andijan,,https://www.google.com/maps/place/Andijan/data=!4m2!3m1!1s0x38bc901d6b13d4ef:0xfc45bcaa7973dfac,,
Ko'kaldosh Madrasasi,,https://www.google.com/maps/place/Ko'kaldosh+Madrasasi/data=!4m2!3m1!1s0x38ae8b9c3ad08cef:0x98ffc301ab615249,,
Registan,,https://www.google.com/maps/place/Registan/data=!4m2!3m1!1s0x3f4d18b7c2e59337:0x532c8e039ecc92af,,
Historic Centre of Shakhrisyabz,,https://www.google.com/maps/place/Historic+Centre+of+Shakhrisyabz/data=!4m2!3m1!1s0x3f4c9a95965fa07d:0x7ad4d073e0acbe1c,,
