Title,Note,URL,Tags,Comment
,,,,
Shiv Mandir,,https://www.google.com/maps/place/Shiv+Mandir/data=!4m2!3m1!1s0x3984f3287e11fe37:0x4cf29445d203f3c5,,
SHIV Temple PARASI,,https://www.google.com/maps/place/SHIV+Temple+PARASI/data=!4m2!3m1!1s0x39850426fb0f386f:0xa61138e43ca4dcf9,,
"Maharaj Ki Kuti ,Paikauli",,"https://www.google.com/maps/place/Maharaj+Ki+Kuti+,Paikauli/data=!4m2!3m1!1s0x3993d0667db225f9:0x69996b05dd523f92",,
Suraj Kund,,https://www.google.com/maps/place/Suraj+Kund/data=!4m2!3m1!1s0x3976c68558488c1b:0xb67140ee1357b484,,
Bakor Nature Camp,,https://www.google.com/maps/place/Bakor+Nature+Camp/data=!4m2!3m1!1s0x39675365c2dd556f:0x5ada4b1e119b563a,,
Naganna Step Well,,https://www.google.com/maps/place/Naganna+Step+Well/data=!4m2!3m1!1s0x3bccdfb576cbf363:0xc98cb6f1ca01a9df,,
Sita Baoli / Sita Stepwell,,https://www.google.com/maps/place/Sita+Baoli+%2F+Sita+Stepwell/data=!4m2!3m1!1s0x3a28b50051146e99:0x53d24a6082793eba,,
Shiv temple,,https://www.google.com/maps/place/Shiv+temple/data=!4m2!3m1!1s0x3967e34804388053:0xcd97e6c1d46cb3,,
Sahu Pokhar,,https://www.google.com/maps/place/Sahu+Pokhar/data=!4m2!3m1!1s0x39ed11f91e75af43:0x6992332a4c77320,,
The Archaeological Remains of Benisagar,,https://www.google.com/maps/place/The+Archaeological+Remains+of+Benisagar/data=!4m2!3m1!1s0x3a1e5d280e7aebd9:0x24e13e08ca87b710,,
Chalukya era Shri Pingleshwar Temple & Stepwell,,https://www.google.com/maps/place/Chalukya+era+Shri+Pingleshwar+Temple+%26+Stepwell/data=!4m2!3m1!1s0x3bd0224765ebabcb:0x6a0271588f9ebf7e,,
Kankarala Fort,,https://www.google.com/maps/place/Kankarala+Fort/data=!4m2!3m1!1s0x3bde939b32578dc7:0xb391617a39bf75ea,,
Sikhara Srisaila Pushkarini,,https://www.google.com/maps/place/Sikhara+Srisaila+Pushkarini/data=!4m2!3m1!1s0x3bb56fd47f8ced59:0x48a0494373d5524c,,
Teerth Kund Archaeological site 3 Ter.,,https://www.google.com/maps/place/Teerth+Kund+Archaeological+site+3+Ter./data=!4m2!3m1!1s0x3bc57561bd1d68bb:0x24efda4166f3de44,,
Shree Sadguru Sadanand Swamy Matha,,https://www.google.com/maps/place/Shree+Sadguru+Sadanand+Swamy+Matha/data=!4m2!3m1!1s0x3bcf3b95dd0a3cb1:0x4f91ed2f550fb89b,,
Sri Kala Hanuman Temple,,https://www.google.com/maps/place/Sri+Kala+Hanuman+Temple/data=!4m2!3m1!1s0x3bcb97a0059f2c41:0xbfddac56de77ffb0,,
Shiv Mandir,,https://www.google.com/maps/place/Shiv+Mandir/data=!4m2!3m1!1s0x39998034a98a4c2f:0x8692e532a69e721e,,
Bawadi wale Hanumanji baba ka mandir,,https://www.google.com/maps/place/Bawadi+wale+Hanumanji+baba+ka+mandir/data=!4m2!3m1!1s0x396d406094f293a5:0x92bb314855f1a1c7,,
Dhaulpur bavdi,,https://www.google.com/maps/place/Dhaulpur+bavdi/data=!4m2!3m1!1s0x3973ff279eb7c475:0x29a97c9e34b148d2,,
"Mahakali Mandir Kund, Pologround",,"https://www.google.com/maps/place/Mahakali+Mandir+Kund,+Pologround/data=!4m2!3m1!1s0x395db8e690f6c20d:0xdfef5e5eecd2391d",,
Devgad Shri Ram Bavali,,https://www.google.com/maps/place/Devgad+Shri+Ram+Bavali/data=!4m2!3m1!1s0x3bd575b63036ffaf:0xf5d264a7a8be7bc1,,
झील का बाड़ा तालाब,,https://www.google.com/maps/place/%E0%A4%9D%E0%A5%80%E0%A4%B2+%E0%A4%95%E0%A4%BE+%E0%A4%AC%E0%A4%BE%E0%A4%A1%E0%A4%BC%E0%A4%BE+%E0%A4%A4%E0%A4%BE%E0%A4%B2%E0%A4%BE%E0%A4%AC/data=!4m2!3m1!1s0x3973b7d2842a5691:0xff7727fe8f22ae71,,
"Kaithali Shiva Temple, Pattambi",,"https://www.google.com/maps/place/Kaithali+Shiva+Temple,+Pattambi/data=!4m2!3m1!1s0x3ba7c5d208ae0661:0x76f9dd2361f0361c",,
Sri Ganesha Mandira,,https://www.google.com/maps/place/Sri+Ganesha+Mandira/data=!4m2!3m1!1s0x3bb77f929eba918f:0x8d3f6771b4d53c9a,,
Bintoliya Shiv Mandir,,https://www.google.com/maps/place/Bintoliya+Shiv+Mandir/data=!4m2!3m1!1s0x3992bafe20e05687:0x23c7bc9779fecb9e,,
KEDAR GUDDA TEMPLE,,https://www.google.com/maps/place/KEDAR+GUDDA+TEMPLE/data=!4m2!3m1!1s0x3bd1ea04ba811cef:0xec6adb5e67e5831f,,
Baneshwar Temple,,https://www.google.com/maps/place/Baneshwar+Temple/data=!4m2!3m1!1s0x3bc2b198278829f1:0x24006a2218519c56,,
Shree Someshwar Mandir,,https://www.google.com/maps/place/Shree+Someshwar+Mandir/data=!4m2!3m1!1s0x3bc2bf1f092fac8d:0x42de00baa1f90723,,
Shri Shukacharya Mandir,,https://www.google.com/maps/place/Shri+Shukacharya+Mandir/data=!4m2!3m1!1s0x3bcff5c6392861e3:0x5eab6590e3e8a12b,,
Vaishaki Teerth Baramsar,,https://www.google.com/maps/place/Vaishaki+Teerth+Baramsar/data=!4m2!3m1!1s0x394795592f87cd31:0xf8ce331a51ac3e9e,,
Buddhist temple( Mulgandh kuti vihar ),,https://www.google.com/maps/place/Buddhist+temple(+Mulgandh+kuti+vihar+)/data=!4m2!3m1!1s0x3999cfb1ac5b1017:0x57efc7417e1330ad,,
Arulmigu Kannudaya Nayagi Amman Temple,,https://www.google.com/maps/place/Arulmigu+Kannudaya+Nayagi+Amman+Temple/data=!4m2!3m1!1s0x3b00fa1a9e2af3df:0xb675870a082bff73,,
Lord Shiva Beedam Temple,,https://www.google.com/maps/place/Lord+Shiva+Beedam+Temple/data=!4m2!3m1!1s0x3baa54547caaef3f:0x8531f5a3e36db010,,
భ్రుగు తీర్ధము,,https://www.google.com/maps/place/%E0%B0%AD%E0%B1%8D%E0%B0%B0%E0%B1%81%E0%B0%97%E0%B1%81+%E0%B0%A4%E0%B1%80%E0%B0%B0%E0%B1%8D%E0%B0%A7%E0%B0%AE%E0%B1%81/data=!4m2!3m1!1s0x3bb3ce5fcbb2f937:0x351fdb8eb95aef1,,
Mallikarjun Mandir,,https://www.google.com/maps/place/Mallikarjun+Mandir/data=!4m2!3m1!1s0x3bea005ed08360ab:0x7aa592a440e29c53,,
Sri Mahalingeswara Swamy Temple,,https://www.google.com/maps/place/Sri+Mahalingeswara+Swamy+Temple/data=!4m2!3m1!1s0x3a37a95cd63ffdb7:0xe8e8fa8b6d804c0e,,
"Devyani Kund and temples, Sambhar lake India",,"https://www.google.com/maps/place/Devyani+Kund+and+temples,+Sambhar+lake+India/data=!4m2!3m1!1s0x396c6fa772411d4b:0x8354862e32c41c8e",,
Kaalikaamatha Temple,,https://www.google.com/maps/place/Kaalikaamatha+Temple/data=!4m2!3m1!1s0x3bcbf93687b26b0d:0x56f2c95c7252aa21,,
"Kashi Vishweshwar Mandir , Shinde Wasti khandali 413113",,"https://www.google.com/maps/place/Kashi+Vishweshwar+Mandir+,+Shinde+Wasti+khandali+413113/data=!4m2!3m1!1s0x3bc40b45e9934385:0x854e2ea74a2dadaa",,
Vasad Stepwell Anand,,https://www.google.com/maps/place/Vasad+Stepwell+Anand/data=!4m2!3m1!1s0x395fb52456fb721d:0xa1b9d187469466d3,,
Stepwell,,https://www.google.com/maps/place/Stepwell/data=!4m2!3m1!1s0x3bb1e32905874527:0x19387adcc1b02552,,
Korutla Stepwell,,https://www.google.com/maps/place/Korutla+Stepwell/data=!4m2!3m1!1s0x3bcd0b2e8f73d1bf:0xb2243b8b7107dba1,,
Rani Ajab Kuwari Stepwell,,https://www.google.com/maps/place/Rani+Ajab+Kuwari+Stepwell/data=!4m2!3m1!1s0x39845bee42351d49:0xb4d8c0a7398adaec,,
Stepwell,,https://www.google.com/maps/place/Stepwell/data=!4m2!3m1!1s0x396237bac3741bfd:0x92c18309b11808f0,,
Bill Stepwell,,https://www.google.com/maps/place/Bill+Stepwell/data=!4m2!3m1!1s0x395fc798f1639357:0xc96ae4211e2fc792,,
Saiyed Jalaluddin Vav (Stepwell) Girdharnagar(Ruined),,https://www.google.com/maps/place/Saiyed+Jalaluddin+Vav+(Stepwell)+Girdharnagar(Ruined)/data=!4m2!3m1!1s0x395e85433e016ccf:0xa36183310c211e06,,
Bhalej Stepwell Anand,,https://www.google.com/maps/place/Bhalej+Stepwell+Anand/data=!4m2!3m1!1s0x395e49b5303015ef:0x7af9f0c4786e0285,,
KANTAVA STEPWELL (કંટાવા ની વાવ),,https://www.google.com/maps/place/KANTAVA+STEPWELL+(%E0%AA%95%E0%AA%82%E0%AA%9F%E0%AA%BE%E0%AA%B5%E0%AA%BE+%E0%AA%A8%E0%AB%80+%E0%AA%B5%E0%AA%BE%E0%AA%B5)/data=!4m2!3m1!1s0x395bd9006e2944c7:0xf50bfce1fb96c946,,
Majisa ki Bavdi Stepwell,,https://www.google.com/maps/place/Majisa+ki+Bavdi+Stepwell/data=!4m2!3m1!1s0x396a21005c0ad153:0x81b8ba8eb8f7a046,,
Varsingpur Stepwell,,https://www.google.com/maps/place/Varsingpur+Stepwell/data=!4m2!3m1!1s0x3be2fdc457312ab1:0xd5b19ddb41978d01,,
Takatuka Stepwell,,https://www.google.com/maps/place/Takatuka+Stepwell/data=!4m2!3m1!1s0x395d85007b3cdc4b:0xb6e0112893b074cc,,
Bhadrakali Vav Stepwell Umreth Anand,,https://www.google.com/maps/place/Bhadrakali+Vav+Stepwell+Umreth+Anand/data=!4m2!3m1!1s0x395e385eab31a2f1:0x1b6bccd24b60bfe,,
Saavli Stepwell,,https://www.google.com/maps/place/Saavli+Stepwell/data=!4m2!3m1!1s0x39600f78e31b02a5:0x6f8cecec5f0775fd,,
Tintoi Stepwell 2,,https://www.google.com/maps/place/Tintoi+Stepwell+2/data=!4m2!3m1!1s0x395d8d1ed163643d:0xc010492797321bfc,,
Nav Grah Stepwell,,https://www.google.com/maps/place/Nav+Grah+Stepwell/data=!4m2!3m1!1s0x395fc5a278ae0f81:0xc7a200bd2f4ef690,,
Valan Stepwell (Vav),,https://www.google.com/maps/place/Valan+Stepwell+(Vav)/data=!4m2!3m1!1s0x395f93562a7c19c1:0xc12175f356e42c4f,,
Papvinash Mandir,,https://www.google.com/maps/place/Papvinash+Mandir/data=!4m2!3m1!1s0x3bcf8393cb6875a1:0xddb4cef0e919ecfe,,
Airwan Ancient Shiv Mandir,,https://www.google.com/maps/place/Airwan+Ancient+Shiv+Mandir/data=!4m2!3m1!1s0x391c7313d6e6c4d5:0x6a6e6c82f4fb8c14,,
Ancient Chalukya Shri Rameshwara Temple,,https://www.google.com/maps/place/Ancient+Chalukya+Shri+Rameshwara+Temple/data=!4m2!3m1!1s0x3bc329e24609f8d5:0x689698198232c35d,,
Pakka Pokhara Shiv Mandir,,https://www.google.com/maps/place/Pakka+Pokhara+Shiv+Mandir/data=!4m2!3m1!1s0x399133fa35cbaadd:0xc0917be51c30139a,,
Prachin Naga Baba ki Kuti aur Ganesh ji kund,,https://www.google.com/maps/place/Prachin+Naga+Baba+ki+Kuti+aur+Ganesh+ji+kund/data=!4m2!3m1!1s0x39918b004a6c6ddf:0xefa58bb4464b2ac5,,
"The Ancient Temple, Ladhoo",,"https://www.google.com/maps/place/The+Ancient+Temple,+Ladhoo/data=!4m2!3m1!1s0x38e221e127b8d071:0x966bfdab3023e559",,
Radha Kund,,https://www.google.com/maps/place/Radha+Kund/data=!4m2!3m1!1s0x3999f1fd2fd5139b:0xe89a8249c7c2e77e,,
"Gagol Religious Hindu Temple, Vishwamitra Ashram",,"https://www.google.com/maps/place/Gagol+Religious+Hindu+Temple,+Vishwamitra+Ashram/data=!4m2!3m1!1s0x390c63b34884bf8b:0xb77e5e62cc21780",,
NAGARESHWARA Ancient Temple,,https://www.google.com/maps/place/NAGARESHWARA+Ancient+Temple/data=!4m2!3m1!1s0x3bc9a7c44ff11527:0xd76e3b7deda3de05,,
Tameshwar Nath Mandir,,https://www.google.com/maps/place/Tameshwar+Nath+Mandir/data=!4m2!3m1!1s0x39912376f8401ba9:0x11958d9576703611,,
