Title,Note,URL,Tags,Comment
,,,,
Gangoli Shivalay,,https://www.google.com/maps/place/Gangoli+Shivalay/data=!4m2!3m1!1s0x39854ad337f9959b:0x5ee5ae267ea6af40,,
Parthivapuram Shri Parthasarathy Temple,,https://www.google.com/maps/place/Parthivapuram+Shri+Parthasarathy+Temple/data=!4m2!3m1!1s0x3b050075565b6f75:0xd5744a8a944df144,,
Gopal Mandir Indore,,https://www.google.com/maps/place/Gopal+Mandir+Indore/data=!4m2!3m1!1s0x3962fd0a1f17959d:0xafa726a24dc0fbe6,,
Chhatris by Ahilyabai,,https://www.google.com/maps/place/Chhatris+by+Ahilyabai/data=!4m2!3m1!1s0x3962fda8c6716dd5:0xeea0f58ba3a229f9,,
Madivala machidevara Honda,,https://www.google.com/maps/place/Madivala+machidevara+Honda/data=!4m2!3m1!1s0x3bcf3b01fb88a9f1:0x5e2e1c4680aeb440,,
Seth Bhandashah Jain Temple,,https://www.google.com/maps/place/Seth+Bhandashah+Jain+Temple/data=!4m2!3m1!1s0x393fe78b57395717:0x1a6cd2357f795b9d,,
Prachin Mandir Vishnukoop Shree Laxmi Narayan Mandir,,https://www.google.com/maps/place/Prachin+Mandir+Vishnukoop+Shree+Laxmi+Narayan+Mandir/data=!4m2!3m1!1s0x390e475a7c13a05b:0x45d7feb458869252,,
Shri Vireshwar Temple,,https://www.google.com/maps/place/Shri+Vireshwar+Temple/data=!4m2!3m1!1s0x3be80740eb5a0fe3:0x8b2e098204ab634e,,
Panamalai Thalagireeshwarar Shiva Temple,,https://www.google.com/maps/place/Panamalai+Thalagireeshwarar+Shiva+Temple/data=!4m2!3m1!1s0x3bacb32cdda30ab1:0x331cad2e7fb46fee,,
Shri Ram Mandir,,https://www.google.com/maps/place/Shri+Ram+Mandir/data=!4m2!3m1!1s0x3bc3a5381d2c6c41:0xfd18daf7a8c23ea5,,
Shree Malhar Gautameshwar Mandir,,https://www.google.com/maps/place/Shree+Malhar+Gautameshwar+Mandir/data=!4m2!3m1!1s0x3bc2fdb0f349c119:0xbdf97f316ddc8d01,,
Karanji Honda Santhebennuru,,https://www.google.com/maps/place/Karanji+Honda+Santhebennuru/data=!4m2!3m1!1s0x3bba4143d5f64eaf:0x6fc1601f5039484c,,
Sidheshwar Mahadev Temple Toka,,https://www.google.com/maps/place/Sidheshwar+Mahadev+Temple+Toka/data=!4m2!3m1!1s0x3bdb7e8a9863695d:0x8cb197b648d6281e,,
"Jalakandeswarar Temple, Vellore",,"https://www.google.com/maps/place/Jalakandeswarar+Temple,+Vellore/data=!4m2!3m1!1s0x3bad38c0861f4319:0x3feaa707faf375f7",,
"Sri Ranganatha Swamy Temple, Srirangam",,"https://www.google.com/maps/place/Sri+Ranganatha+Swamy+Temple,+Srirangam/data=!4m2!3m1!1s0x3baaf677ebfd8c89:0xc57d350aa60b4c6c",,
Ambika Mata Mandir Jagat,,https://www.google.com/maps/place/Ambika+Mata+Mandir+Jagat/data=!4m2!3m1!1s0x3967bfa753ac0487:0x572506f598918e9c,,
Changa Vateshwar Mandir,,https://www.google.com/maps/place/Changa+Vateshwar+Mandir/data=!4m2!3m1!1s0x3bc2eff346dbcde3:0xfd0dd3168b85a6ce,,
Sangameshwar Temple,,https://www.google.com/maps/place/Sangameshwar+Temple/data=!4m2!3m1!1s0x3bc2ef8af7e60c31:0xd80b242074f6333f,,
Siddeswara Temple,,https://www.google.com/maps/place/Siddeswara+Temple/data=!4m2!3m1!1s0x3bb968e29e3678af:0x8962388c2c364c7e,,
Jalandhar Nath Ji Temple Maha Mandir,,https://www.google.com/maps/place/Jalandhar+Nath+Ji+Temple+Maha+Mandir/data=!4m2!3m1!1s0x39418d0a25dee4b7:0xf008af5980f49444,,
"Kumbhariya Jain Mandir, Ambaji",,"https://www.google.com/maps/place/Kumbhariya+Jain+Mandir,+Ambaji/data=!4m2!3m1!1s0x395d22f033e9f7cd:0xb134a007ae3b4465",,
Pashupatinath Temple,,https://www.google.com/maps/place/Pashupatinath+Temple/data=!4m2!3m1!1s0x39eb191aaaaaaaab:0x424c7d0a60df9091,,
Krishna Mandir,,https://www.google.com/maps/place/Krishna+Mandir/data=!4m2!3m1!1s0x39eb19c59efe8fe7:0xd8b03b0a1809bbfb,,
Mhepi Ajima Temple,,https://www.google.com/maps/place/Mhepi+Ajima+Temple/data=!4m2!3m1!1s0x39eb18e0b241cfe5:0xf757eee26d267252,,
Taleju Temple,,https://www.google.com/maps/place/Taleju+Temple/data=!4m2!3m1!1s0x39eb1856025cc86b:0x25c94a661e5bf981,,
"24°20'58.1""N 73°41'43.2""E",,"https://www.google.com/maps/search/24.349472,73.695333",,
"Shree Kshethra Rajarajeshwari Temple,Polali",,"https://www.google.com/maps/place/Shree+Kshethra+Rajarajeshwari+Temple,Polali/data=!4m2!3m1!1s0x3ba357e8a5855a0d:0xd7126677a5e7f683",,
Ranakpur Jain Temple,,https://www.google.com/maps/place/Ranakpur+Jain+Temple/data=!4m2!3m1!1s0x3968200ebea75025:0xded51f5beb355524,,
