Title,Note,URL,Tags,Comment
,,,,
Old Palace,,https://www.google.com/maps/place/Old+Palace/data=!4m2!3m1!1s0x3bc3b03057eaf047:0xf61190dc0476b488,,
शिवापूर वाडा - Shivapur Wada,,https://www.google.com/maps/place/%E0%A4%B6%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%AA%E0%A5%82%E0%A4%B0+%E0%A4%B5%E0%A4%BE%E0%A4%A1%E0%A4%BE+-+Shivapur+Wada/data=!4m2!3m1!1s0x3bc293141a7e6d03:0x2377ea08700ed333,,
The Calico Museum of Textiles,,https://www.google.com/maps/place/The+Calico+Museum+of+Textiles/data=!4m2!3m1!1s0x395e8472b482907f:0x4e40a0c83ece73b5,,
Dokka Seethammagari Nivasam,,https://www.google.com/maps/place/Dokka+Seethammagari+Nivasam/data=!4m2!3m1!1s0x3a37e8182d2b7459:0xfb6437990843f9f5,,
Pradnya Path Shala Mandal,,https://www.google.com/maps/place/Pradnya+Path+Shala+Mandal/data=!4m2!3m1!1s0x3bc25d218363e819:0x36113928298b6403,,
Balagade vada,,https://www.google.com/maps/place/Balagade+vada/data=!4m2!3m1!1s0x3bc183a3d063bcbd:0x27aa20335a5c8aec,,
Gurjar Kothi,,https://www.google.com/maps/place/Gurjar+Kothi/data=!4m2!3m1!1s0x399f8b01c96cde5b:0x3cea9e65420bf7b0,,
"माँ ऊमिया धाम चौक, बेरछी",,"https://www.google.com/maps/place/%E0%A4%AE%E0%A4%BE%E0%A4%81+%E0%A4%8A%E0%A4%AE%E0%A4%BF%E0%A4%AF%E0%A4%BE+%E0%A4%A7%E0%A4%BE%E0%A4%AE+%E0%A4%9A%E0%A5%8C%E0%A4%95,+%E0%A4%AC%E0%A5%87%E0%A4%B0%E0%A4%9B%E0%A5%80/data=!4m2!3m1!1s0x39634f726a6b4f41:0x5ed7ac9f6a367346",,
Sai Radha Heritage Muloor,,https://www.google.com/maps/place/Sai+Radha+Heritage+Muloor/data=!4m2!3m1!1s0x3bbcb1a582d51d11:0xa52f8f5e98a10efb,,
Kanchi Kudil,,https://www.google.com/maps/place/Kanchi+Kudil/data=!4m2!3m1!1s0x3a52c2533c760f4f:0xc08fe303606edef8,,
The Vaadhyar's House,,https://www.google.com/maps/place/The+Vaadhyar's+House/data=!4m2!3m1!1s0x3b0065240444626f:0xfcf2495e4bb4832d,,
SASRM Heritage House,,https://www.google.com/maps/place/SASRM+Heritage+House/data=!4m2!3m1!1s0x3b00643072e5304d:0x6a9fb9516b10b486,,
"Chettinadu Mansion, Kanadukathan",,"https://www.google.com/maps/place/Chettinadu+Mansion,+Kanadukathan/data=!4m2!3m1!1s0x3b006439d92ba107:0x95ec5cf2ae2d1aef",,
Kanadukathan Pethaperumal chettiar PALACE,,https://www.google.com/maps/place/Kanadukathan+Pethaperumal+chettiar+PALACE/data=!4m2!3m1!1s0x3b0065a37378aa87:0x64d40e35cf622c6b,,
Chettinadu Narayana Vilas,,https://www.google.com/maps/place/Chettinadu+Narayana+Vilas/data=!4m2!3m1!1s0x3b00643984d13a0f:0x3b13daa1f8fc41b0,,
Chettinad Maharaja's Palace,,https://www.google.com/maps/place/Chettinad+Maharaja's+Palace/data=!4m2!3m1!1s0x3b006439a51467d9:0xb449bc9462cb8cfc,,
Alagan Chettiyaar Kali Aayaal Pothu Padappu Veedu,,https://www.google.com/maps/place/Alagan+Chettiyaar+Kali+Aayaal+Pothu+Padappu+Veedu/data=!4m2!3m1!1s0x3b00666563d042bb:0xc3ccac85a92d59ec,,
Sri Durgai Amman Kovil Padaippu Veedu,,https://www.google.com/maps/place/Sri+Durgai+Amman+Kovil+Padaippu+Veedu/data=!4m2!3m1!1s0x3b0085b3a0302c4b:0x3f04a9dd70401cb1,,
Sangathar House,,https://www.google.com/maps/place/Sangathar+House/data=!4m2!3m1!1s0x3b0065a47ce3e8b9:0x8c61cf54d8975bff,,
Saratha Vilas Chettinad Hotel,,https://www.google.com/maps/place/Saratha+Vilas+Chettinad+Hotel/data=!4m2!3m1!1s0x3b0065a6a1ee24db:0xfc4b89fb9564be29,,
Shanmuga Vilas,,https://www.google.com/maps/place/Shanmuga+Vilas/data=!4m2!3m1!1s0x3b0065a4709b48bf:0x5bcc18aaba5c50ca,,
Mathoor nagara Viduthi,,https://www.google.com/maps/place/Mathoor+nagara+Viduthi/data=!4m2!3m1!1s0x3b005d598c274fe5:0xa919919b195951e,,
Ghundinath Maharaj Wada,,https://www.google.com/maps/place/Ghundinath+Maharaj+Wada/data=!4m2!3m1!1s0x3bdb1347de3f7717:0xa84611caa22c4906,,
Dauji Ki Kothi,,https://www.google.com/maps/place/Dauji+Ki+Kothi/data=!4m2!3m1!1s0x397779f68f17094d:0x5c95f758a35125c4,,
Hutatma Rajguru Smarak (Rajguru Wada),,https://www.google.com/maps/place/Hutatma+Rajguru+Smarak+(Rajguru+Wada)/data=!4m2!3m1!1s0x3bc2cad3898a80ad:0xb86e69f6d29daf04,,
Dakshina Chitra Museum,,https://www.google.com/maps/place/Dakshina+Chitra+Museum/data=!4m2!3m1!1s0x3a525a8e2bb47f8f:0x58a72389ff4df633,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bc2f5a13c052a8f:0xbc719d73a9984932,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x397da17ede30abbd:0xcd061d2e1d1b818,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bbca4b02a311083:0x966a447b74210007,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bc2c01537a5fc4d:0x675a4102aa0fdb68,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x395fcfe48d60c8d5:0xf24b95446683e4d6,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x3bddeb19cc7a09f9:0x615f7a7e9e86b6b,,
Baradari,,https://www.google.com/maps/place/Baradari/data=!4m2!3m1!1s0x38df20b066a05e47:0x7b0b13d375adb146,,
Jamadar (Jadon) Haweli,,https://www.google.com/maps/place/Jamadar+(Jadon)+Haweli/data=!4m2!3m1!1s0x3bdf2b5ebd2b220d:0x2f115e7142a7efe,,
Swatantryaveer Savarkar Smarak,,https://www.google.com/maps/place/Swatantryaveer+Savarkar+Smarak/data=!4m2!3m1!1s0x3bdd95fa54bf0cd1:0xbdd42ae607214cd2,,
Dr. Hedgewar's House,,https://www.google.com/maps/place/Dr.+Hedgewar's+House/data=!4m2!3m1!1s0x3bd4c0b5d55a85af:0xc667587212d37021,,
Apte wada,,https://www.google.com/maps/place/Apte+wada/data=!4m2!3m1!1s0x3bc8ad3712c65665:0x39fa68c7db44a816,,
Kavitkar Wada,,https://www.google.com/maps/place/Kavitkar+Wada/data=!4m2!3m1!1s0x3bc2c06b0d24e68f:0x2af1b1db71015127,,
JADHAV INAMDARANCHA WADA,,https://www.google.com/maps/place/JADHAV+INAMDARANCHA+WADA/data=!4m2!3m1!1s0x3bc23bcb0412e277:0x27ba170b3ea3fddd,,
Shisode wada,,https://www.google.com/maps/place/Shisode+wada/data=!4m2!3m1!1s0x3bd40d34dd7053e1:0x352432f7df0bf421,,
Wada,,https://www.google.com/maps/place/Wada/data=!4m2!3m1!1s0x3bdb13d63f16cccf:0x8ac8400fe1e90679,,
Himachal Heritage Village,,https://www.google.com/maps/place/Himachal+Heritage+Village/data=!4m2!3m1!1s0x3904b23b45ff38c7:0x1378fab35ad6a1ec,,
